osmid,y,x,street_count,geometry
537972402,39.9818916,116.341777,4,POINT (116.341777 39.9818916)
537972460,39.9798121,116.3381184,4,POINT (116.3381184 39.9798121)
537972463,39.9817699,116.3380196,4,POINT (116.3380196 39.9817699)
537972466,39.9842649,116.3379135,3,POINT (116.3379135 39.9842649)
1030342348,39.979936,116.3418759,4,POINT (116.3418759 39.979936)
1195735415,39.9836071,116.337074,3,POINT (116.337074 39.9836071)
1195735418,39.9834083,116.341715,4,POINT (116.341715 39.9834083)
1195735419,39.9799843,116.3440033,3,POINT (116.3440033 39.9799843)
1195735421,39.9838947,116.3370126,3,POINT (116.3370126 39.9838947)
1195735422,39.9835688,116.3359151,3,POINT (116.3359151 39.9835688)
1195735429,39.9780088,116.3441125,4,POINT (116.3441125 39.9780088)
1195735430,39.9836281,116.3379378,3,POINT (116.3379378 39.9836281)
1195735431,39.9832931,116.3379538,4,POINT (116.3379538 39.9832931)
1195735432,39.9797739,116.3368724,3,POINT (116.3368724 39.9797739)
1195735434,39.9780218,116.3419722,3,POINT (116.3419722 39.9780218)
1195735439,39.9779478,116.3388681,3,POINT (116.3388681 39.9779478)
1195735449,39.9820628,116.3466339,3,POINT (116.3466339 39.9820628)
1195735453,39.9780162,116.3442432,3,POINT (116.3442432 39.9780162)
1195735463,39.984219,116.3369714,3,POINT (116.3369714 39.984219)
1195735466,39.9819706,116.3432964,4,POINT (116.3432964 39.9819706)
1195735470,39.978684,116.3470179,3,POINT (116.3470179 39.978684)
1195735480,39.9798328,116.3388822,3,POINT (116.3388822 39.9798328)
1195735927,39.9769039,116.3420185,3,POINT (116.3420185 39.9769039)
1195735928,39.976958,116.3441655,3,POINT (116.3441655 39.976958)
2690908609,39.9799751,116.3435222,3,POINT (116.3435222 39.9799751)
2690908613,39.9834456,116.3432294,4,POINT (116.3432294 39.9834456)
2706651465,39.9827769,116.3452119,1,POINT (116.3452119 39.9827769)
2706671832,39.9839485,116.3450337,3,POINT (116.3450337 39.9839485)
2706671833,39.9839058,116.3433468,3,POINT (116.3433468 39.9839058)
2706671834,39.9834678,116.3439529,3,POINT (116.3439529 39.9834678)
2706671835,39.9819906,116.3440211,3,POINT (116.3440211 39.9819906)
3715971773,39.9827517,116.3468148,3,POINT (116.3468148 39.9827517)
4903413165,39.9779651,116.3394707,3,POINT (116.3394707 39.9779651)
5541650047,39.9808463,116.3410698,3,POINT (116.3410698 39.9808463)
5541650048,39.9807849,116.3389673,3,POINT (116.3389673 39.9807849)
5541650049,39.9808233,116.3418296,3,POINT (116.3418296 39.9808233)
5541650050,39.9808033,116.3410718,3,POINT (116.3410718 39.9808033)
5541650051,39.980361,116.3410951,3,POINT (116.3410951 39.980361)
5541650052,39.9815097,116.3410359,3,POINT (116.3410359 39.9815097)
5541650053,39.981166,116.3410547,3,POINT (116.3410547 39.981166)
5541650054,39.9811055,116.3389487,3,POINT (116.3389487 39.9811055)
5541650055,39.9803409,116.3401215,3,POINT (116.3401215 39.9803409)
5541650056,39.9808156,116.3400945,4,POINT (116.3400945 39.9808156)
5541650060,39.9811388,116.3400664,4,POINT (116.3400664 39.9811388)
5541650061,39.9814831,116.3400443,3,POINT (116.3400443 39.9814831)
5541650062,39.9803363,116.3399285,3,POINT (116.3399285 39.9803363)
5541650063,39.9808094,116.3399014,4,POINT (116.3399014 39.9808094)
5541650067,39.9811308,116.3398821,4,POINT (116.3398821 39.9811308)
5541650068,39.9814789,116.3398674,3,POINT (116.3398674 39.9814789)
5541650069,39.980373,116.3418491,3,POINT (116.3418491 39.980373)
5541650071,39.9815283,116.3417932,3,POINT (116.3417932 39.9815283)
5541650075,39.9802959,116.3380922,3,POINT (116.3380922 39.9802959)
5541650076,39.9803187,116.3389226,3,POINT (116.3389226 39.9803187)
5541650077,39.9814622,116.3389235,3,POINT (116.3389235 39.9814622)
5541650078,39.9814268,116.3380426,3,POINT (116.3380426 39.9814268)
5546915060,39.9798444,116.3391914,3,POINT (116.3391914 39.9798444)
5546915061,39.9803281,116.3391683,3,POINT (116.3391683 39.9803281)
6813609788,39.9832433,116.3359293,3,POINT (116.3359293 39.9832433)
6813629027,39.9787578,116.3419382,3,POINT (116.3419382 39.9787578)
6813629029,39.9797101,116.3426854,3,POINT (116.3426854 39.9797101)
6813629034,39.9797633,116.3425946,3,POINT (116.3425946 39.9797633)
6813629035,39.9797456,116.3418891,3,POINT (116.3418891 39.9797456)
6924289498,39.9820358,116.3457056,3,POINT (116.3457056 39.9820358)
6924289500,39.9800754,116.3467039,3,POINT (116.3467039 39.9800754)
6924289501,39.9814631,116.3434606,3,POINT (116.3434606 39.9814631)
6924289502,39.9815446,116.3466587,3,POINT (116.3466587 39.9815446)
6924289556,39.9818314,116.3399388,4,POINT (116.3399388 39.9818314)
6924289557,39.981481,116.3399577,3,POINT (116.3399577 39.981481)
6924289558,39.983346,116.3398229,3,POINT (116.3398229 39.983346)
6924289559,39.977563,116.3369847,1,POINT (116.3369847 39.977563)
6924450339,39.9816859,116.3351215,3,POINT (116.3351215 39.9816859)
6924450349,39.9800415,116.345595,3,POINT (116.345595 39.9800415)
6924450350,39.9798209,116.3456067,4,POINT (116.3456067 39.9798209)
6924450353,39.9792709,116.3456323,1,POINT (116.3456323 39.9792709)
6941756583,39.9839018,116.3432275,3,POINT (116.3432275 39.9839018)
6941761698,39.9835296,116.3464404,3,POINT (116.3464404 39.9835296)
8166955146,39.9822862,116.3399106,3,POINT (116.3399106 39.9822862)
