u,v,key,osmid,name,highway,oneway,reversed,length,width,geometry
528881632,10076463206,0,161289132,静淑苑路,tertiary,False,True,60.811,,"LINESTRING (116.3426926 40.0063478, 116.3427055 40.005801)"
1343383514,11181484542,0,119617631,图书馆路,residential,False,False,63.642,,"LINESTRING (116.3400925 40.0019334, 116.3393456 40.001918)"
1343383514,1343383540,0,119617631,图书馆路,residential,False,True,14.763,,"LINESTRING (116.3400925 40.0019334, 116.3402658 40.0019354)"
1343383514,6251473892,0,187924798,北林北门路,residential,False,False,174.196,5,"LINESTRING (116.3400925 40.0019334, 116.340042 40.0034995)"
1343383539,11181484538,0,42364857,北林银杏大道,residential,False,False,64.245,,"LINESTRING (116.336951 40.0018599, 116.3369898 40.0012829)"
1343383539,5094589579,0,42364857,北林银杏大道,residential,False,True,213.376,,"LINESTRING (116.336951 40.0018599, 116.3368575 40.0037775)"
1343383539,5094589569,0,119617631,图书馆路,residential,False,True,126.292,,"LINESTRING (116.336951 40.0018599, 116.3384328 40.0018991)"
1343383540,1343383514,0,119617631,图书馆路,residential,False,False,14.763,,"LINESTRING (116.3402658 40.0019354, 116.3400925 40.0019334)"
1343383540,1735462752,0,119617631,图书馆路,residential,False,True,88.489,,"LINESTRING (116.3402658 40.0019354, 116.3413045 40.0019497)"
1343383540,9998879577,0,321833271,,residential,False,True,102.603,5,"LINESTRING (116.3402658 40.0019354, 116.3402758 40.0010127)"
1735425008,9998879584,0,42364857,北林银杏大道,residential,False,True,45.448,,"LINESTRING (116.3370442 40.0004642, 116.3370172 40.0008724)"
1735425008,9160181492,0,"[321833266, 321833267, 119617630]",,residential,False,False,249.779,5,"LINESTRING (116.3370442 40.0004642, 116.3381369 40.0004858, 116.3383153 40.0004385, 116.3383633 39.9998711, 116.3392713 39.9998882)"
1735462750,1735462751,0,321833263,,residential,False,True,99.933,5,"LINESTRING (116.3401936 40.0005524, 116.3413656 40.000593)"
1735462750,9998879577,0,321833271,,residential,False,False,53.288,5,"LINESTRING (116.3401936 40.0005524, 116.3402796 40.0006577, 116.3402758 40.0010127)"
1735462750,9160181492,0,"[321833266, 321833271]",,residential,False,True,147.206,5,"LINESTRING (116.3401936 40.0005524, 116.3401016 40.0004413, 116.3401259 39.9999042, 116.3392713 39.9998882)"
1735462751,1735462750,0,321833263,,residential,False,False,99.933,5,"LINESTRING (116.3413656 40.000593, 116.3401936 40.0005524)"
