u,v,key,osmid,name,highway,oneway,reversed,length,geometry
746804826,8662360253,0,60105853,校园西路,residential,False,False,75.0,"LINESTRING (116.3125488 39.9567605, 116.3134287 39.956766)"
746804826,2629760246,0,60105853,校园西路,residential,False,True,192.603,"LINESTRING (116.3125488 39.9567605, 116.3102898 39.9567178)"
746804826,8662360252,0,934714247,,residential,False,True,25.195,"LINESTRING (116.3125488 39.9567605, 116.3125118 39.9569853)"
746804826,8662360276,0,934714247,,residential,False,False,167.007,"LINESTRING (116.3125488 39.9567605, 116.3125751 39.9561146, 116.3132456 39.9561023, 116.3136372 39.9561064, 116.313691 39.9561028)"
2377138401,2377138431,0,934713613,,residential,False,True,51.907,"LINESTRING (116.3148235 39.956197, 116.3147745 39.9566623)"
2377138401,8662360256,0,934713613,,residential,False,False,47.432,"LINESTRING (116.3148235 39.956197, 116.3148692 39.9560875, 116.3148692 39.9557759)"
2377138401,8662360276,0,934714247,,residential,False,True,98.55600000000001,"LINESTRING (116.3148235 39.956197, 116.3147105 39.956147, 116.31434 39.9560981, 116.313884 39.9560899, 116.313691 39.9561028)"
2377138415,2629760250,0,257453039,,residential,False,False,110.192,"LINESTRING (116.3133323 39.957749, 116.3146176 39.9578558)"
2377138415,2629760253,0,257453039,,residential,False,True,154.036,"LINESTRING (116.3133323 39.957749, 116.3115356 39.9575997)"
2377138415,2377138434,0,934714249,,residential,False,False,98.553,"LINESTRING (116.3133323 39.957749, 116.3134437 39.9569678, 116.3134801 39.9568713)"
2377138431,2377138401,0,934713613,,residential,False,False,51.907,"LINESTRING (116.3147745 39.9566623, 116.3148235 39.956197)"
2377138431,2629760250,0,934713613,,residential,False,True,133.383,"LINESTRING (116.3147745 39.9566623, 116.3146176 39.9578558)"
2377138431,2377138436,0,934714248,,residential,False,True,92.33500000000001,"LINESTRING (116.3147745 39.9566623, 116.3139055 39.9566862, 116.3138304 39.9566883, 116.3137185 39.956751)"
