osmid,y,x,street_count,geometry
746804826,39.9567605,116.3125488,4,POINT (116.3125488 39.9567605)
2377138401,39.956197,116.3148235,3,POINT (116.3148235 39.956197)
2377138415,39.957749,116.3133323,3,POINT (116.3133323 39.957749)
2377138431,39.9566623,116.3147745,3,POINT (116.3147745 39.9566623)
2377138434,39.9568713,116.3134801,3,POINT (116.3134801 39.9568713)
2377138436,39.956751,116.3137185,3,POINT (116.3137185 39.956751)
2629760242,39.9583083,116.3157687,3,POINT (116.3157687 39.9583083)
2629760244,39.9574942,116.3102967,3,POINT (116.3102967 39.9574942)
2629760246,39.9567178,116.3102898,4,POINT (116.3102898 39.9567178)
2629760249,39.9587868,116.314521,4,POINT (116.314521 39.9587868)
2629760250,39.9578558,116.3146176,4,POINT (116.3146176 39.9578558)
2629760251,39.9584367,116.3102641,3,POINT (116.3102641 39.9584367)
2629760252,39.9585329,116.3113961,3,POINT (116.3113961 39.9585329)
2629760253,39.9575997,116.3115356,3,POINT (116.3115356 39.9575997)
3577937728,39.9566724,116.3076546,3,POINT (116.3076546 39.9566724)
3577937730,39.9572184,116.3077632,3,POINT (116.3077632 39.9572184)
3577937732,39.9587215,116.3077115,3,POINT (116.3077115 39.9587215)
3577937733,39.9587052,116.3065811,3,POINT (116.3065811 39.9587052)
3577937734,39.956654,116.306591,3,POINT (116.306591 39.956654)
7821451108,39.9584932,116.3157465,3,POINT (116.3157465 39.9584932)
7821451111,39.9584634,116.316427,3,POINT (116.316427 39.9584634)
8662360252,39.9569853,116.3125118,1,POINT (116.3125118 39.9569853)
8662360253,39.956766,116.3134287,3,POINT (116.3134287 39.956766)
8662360256,39.9557759,116.3148692,1,POINT (116.3148692 39.9557759)
8662360260,39.9566927,116.3136655,3,POINT (116.3136655 39.9566927)
8662360276,39.9561028,116.313691,3,POINT (116.313691 39.9561028)
8662383349,39.9592136,116.3076324,3,POINT (116.3076324 39.9592136)
8662383374,39.9592357,116.3101851,3,POINT (116.3101851 39.9592357)
8662392248,39.9566933,116.3088669,3,POINT (116.3088669 39.9566933)
8662392252,39.9591786,116.3057994,1,POINT (116.3057994 39.9591786)
8662392253,39.9591786,116.3065101,4,POINT (116.3065101 39.9591786)
8662392259,39.9599095,116.3119587,1,POINT (116.3119587 39.9599095)
8662392261,39.9599468,116.3142972,1,POINT (116.3142972 39.9599468)
9352021344,39.955911,116.3102901,1,POINT (116.3102901 39.955911)
