u,v,key,osmid,name,highway,oneway,reversed,length,geometry
537973050,1856733320,0,42943335,乐育路,residential,False,False,123.243,"LINESTRING (116.3602068 39.9602719, 116.3616505 39.9603345)"
537973050,2733383589,0,267948581,,service,False,True,19.042,"LINESTRING (116.3602068 39.9602719, 116.3599836 39.9602644)"
537973050,1226520277,0,42943334,京师路,residential,False,False,134.95000000000002,"LINESTRING (116.3602068 39.9602719, 116.3601645 39.9609449, 116.3601249 39.9614839)"
537973050,6153792434,0,42943334,京师路,residential,False,True,24.382,"LINESTRING (116.3602068 39.9602719, 116.3602183 39.9601495, 116.3602273 39.9600532)"
1226520212,4907044070,0,106617830,,residential,False,False,14.782,"LINESTRING (116.3554152 39.9635948, 116.3554231 39.963462)"
1226520234,1226520316,0,106617831,晨曦路,service,False,False,14.554,"LINESTRING (116.3559191 39.9589801, 116.3560897 39.9589857)"
1226520234,4907129187,0,106617831,晨曦路,service,False,True,52.496,"LINESTRING (116.3559191 39.9589801, 116.3553032 39.9589759)"
1226520234,4907041816,0,106617835,,service,False,False,64.026,"LINESTRING (116.3559191 39.9589801, 116.3559167 39.9584043)"
1226520236,1226520278,0,267952851,辅仁路,residential,False,False,26.68,"LINESTRING (116.3555398 39.9613313, 116.3558526 39.9613406)"
1226520236,4907129879,0,499426662,,residential,False,True,22.998,"LINESTRING (116.3555398 39.9613313, 116.3552707 39.961316)"
1226520236,4907044070,0,499433549,励耘路,residential,False,True,237.132,"LINESTRING (116.3555398 39.9613313, 116.3554231 39.963462)"
1226520258,4907090818,0,106617833,,residential,False,True,18.706,"LINESTRING (116.3588485 39.9614446, 116.3588371 39.9616126)"
1226520258,4907090817,0,267952851,辅仁路,residential,False,True,61.803,"LINESTRING (116.3588485 39.9614446, 116.3581241 39.9614194)"
1226520258,1226520277,0,267952851,辅仁路,residential,False,False,108.873,"LINESTRING (116.3588485 39.9614446, 116.3599108 39.9614773, 116.3601249 39.9614839)"
1226520271,4907030719,0,106617832,立身路,service,False,False,6.844,"LINESTRING (116.3559147 39.9579282, 116.355995 39.9579277)"
1226520271,4907037421,0,106617832,立身路,service,False,True,10.987,"LINESTRING (116.3559147 39.9579282, 116.3557858 39.9579272)"
1226520271,4907041816,0,106617835,,service,False,True,52.94,"LINESTRING (116.3559147 39.9579282, 116.3559159 39.9582113, 116.3559167 39.9584043)"
1226520275,4907053512,0,42943334,京师路,residential,False,False,20.535,"LINESTRING (116.3603323 39.9589312, 116.3603151 39.9591154)"
1226520275,4907086692,0,42943334,京师路,residential,False,True,29.64,"LINESTRING (116.3603323 39.9589312, 116.3603568 39.9586653)"
1226520275,4907123401,0,106617831,晨曦路,service,False,True,15.429,"LINESTRING (116.3603323 39.9589312, 116.3601513 39.9589332)"
1226520277,4907053515,0,42943334,京师路,residential,False,False,47.91,"LINESTRING (116.3601249 39.9614839, 116.3600854 39.9619137)"
1226520277,537973050,0,42943334,京师路,residential,False,True,134.95000000000002,"LINESTRING (116.3601249 39.9614839, 116.3601645 39.9609449, 116.3602068 39.9602719)"
1226520277,1226520258,0,267952851,辅仁路,residential,False,True,108.873,"LINESTRING (116.3601249 39.9614839, 116.3599108 39.9614773, 116.3588485 39.9614446)"
1226520277,4907053518,0,499428270,,service,False,True,96.482,"LINESTRING (116.3601249 39.9614839, 116.3602449 39.9615476, 116.3603197 39.9616228, 116.3605812 39.9616979, 116.36088 39.9617409, 116.3608615 39.9619546)"
1226520277,4907053729,0,499428272,,service,False,False,49.898,"LINESTRING (116.3601249 39.9614839, 116.3602262 39.9614474, 116.3602776 39.9613472, 116.3604224 39.9613328, 116.3605111 39.9613293, 116.360518 39.9612542)"
1226520278,4907041818,0,267952851,辅仁路,residential,False,False,68.594,"LINESTRING (116.3558526 39.9613406, 116.3566566 39.9613685)"
1226520278,1226520236,0,267952851,辅仁路,residential,False,True,26.68,"LINESTRING (116.3558526 39.9613406, 116.3555398 39.9613313)"
1226520278,4907041825,0,106617836,,service,False,True,47.599000000000004,"LINESTRING (116.3558526 39.9613406, 116.3558585 39.961282, 116.3558956 39.9609138)"
1226520288,6225740643,0,499427389,丽泽路,residential,False,False,25.512,"LINESTRING (116.3586948 39.9635443, 116.358994 39.9635516)"
1226520288,4907090823,0,499427389,丽泽路,residential,False,True,57.064,"LINESTRING (116.3586948 39.9635443, 116.3580256 39.9635275)"
1226520288,4907096936,0,106617833,,residential,False,False,99.264,"LINESTRING (116.3586948 39.9635443, 116.3587417 39.9629031, 116.35876 39.962653)"
1226520307,4907086691,0,42943334,京师路,residential,False,False,11.649,"LINESTRING (116.3604273 39.9579021, 116.3604176 39.9580066)"
1226520307,2733378147,0,42943334,京师路,residential,False,True,38.328,"LINESTRING (116.3604273 39.9579021, 116.3604802 39.9575598)"
1226520307,4907123398,0,106617832,立身路,service,False,True,38.295,"LINESTRING (116.3604273 39.9579021, 116.359978 39.9579021)"
1226520316,4907041824,0,106617831,晨曦路,service,False,False,100.923,"LINESTRING (116.3560897 39.9589857, 116.3572735 39.958965)"
1226520316,1226520234,0,106617831,晨曦路,service,False,True,14.554,"LINESTRING (116.3560897 39.9589857, 116.3559191 39.9589801)"
1226520316,4907129185,0,106617836,,service,False,False,213.43900000000002,"LINESTRING (116.3560897 39.9589857, 116.3561116 39.9592047, 116.3560826 39.9595274, 116.3560375 39.9599532, 116.3559873 39.9603466, 116.355943 39.9608668, 116.3559007 39.9608634)"
1856733319,2733378159,0,267947992,,service,False,True,13.401,"LINESTRING (116.3631345 39.9576605, 116.3629773 39.9576583)"
1856733319,2733378154,0,968672849,,service,False,True,48.597,"LINESTRING (116.3631345 39.9576605, 116.3630951 39.9580965)"
1856733319,2733378152,0,267947992,,service,False,False,11.661999999999999,"LINESTRING (116.3631345 39.9576605, 116.3632092 39.9576615, 116.3632713 39.9576624)"
1856733319,2733378160,0,499432546,,service,False,False,93.54299999999999,"LINESTRING (116.3631345 39.9576605, 116.3632025 39.9569434, 116.363043 39.9569444)"
1856733320,4907054921,0,42943335,乐育路,residential,False,False,7.856,"LINESTRING (116.3616505 39.9603345, 116.3617426 39.9603373)"
1856733320,537973050,0,42943335,乐育路,residential,False,True,123.243,"LINESTRING (116.3616505 39.9603345, 116.3602068 39.9602719)"
1856733320,6153792441,0,175017612,,service,False,True,43.784000000000006,"LINESTRING (116.3616505 39.9603345, 116.3616539 39.9602991, 116.3616881 39.9599418)"
1856733322,4907057472,0,42943335,乐育路,residential,False,False,80.543,"LINESTRING (116.3628928 39.9603977, 116.3638339 39.9604635)"
1856733322,4907053732,0,42943335,乐育路,residential,False,True,15.64,"LINESTRING (116.3628928 39.9603977, 116.3627097 39.9603884)"
1856733322,4907053514,0,175017613,,service,False,False,130.45,"LINESTRING (116.3628928 39.9603977, 116.3629857 39.9592267)"
2733378147,1226520307,0,42943334,京师路,residential,False,False,38.328,"LINESTRING (116.3604802 39.9575598, 116.3604273 39.9579021)"
2733378147,4907037427,0,42943334,京师路,residential,False,True,50.846,"LINESTRING (116.3604802 39.9575598, 116.3605326 39.9571043)"
2733378147,2733378148,0,267947992,,service,False,False,122.546,"LINESTRING (116.3604802 39.9575598, 116.3619153 39.9576269)"
2733378148,2733378156,0,267947992,,service,False,False,18.834,"LINESTRING (116.3619153 39.9576269, 116.3621361 39.9576335)"
2733378148,2733378147,0,267947992,,service,False,True,122.546,"LINESTRING (116.3619153 39.9576269, 116.3604802 39.9575598)"
2733378148,2733378153,0,267947993,,service,False,False,45.575,"LINESTRING (116.3619153 39.9576269, 116.3618826 39.958036)"
2733378148,2733378157,0,"[267948000, 267947993]",,service,False,"[False, True]",98.044,"LINESTRING (116.3619153 39.9576269, 116.3619637 39.956919, 116.3621888 39.9569294)"
2733378152,4907081680,0,267947992,,service,False,False,82.09,"LINESTRING (116.3632713 39.9576624, 116.3642341 39.9576815)"
2733378152,1856733319,0,267947992,,service,False,True,11.661999999999999,"LINESTRING (116.3632713 39.9576624, 116.3632092 39.9576615, 116.3631345 39.9576605)"
2733378152,4907081681,0,"[499432544, 267947994]",,service,False,"[False, True]",144.53300000000002,"LINESTRING (116.3632713 39.9576624, 116.3633209 39.9569399, 116.3640725 39.9569546)"
2733378153,5136949083,0,267947993,,service,False,False,74.402,"LINESTRING (116.3618826 39.958036, 116.3618166 39.9587032)"
2733378153,2733378148,0,267947993,,service,False,True,45.575,"LINESTRING (116.3618826 39.958036, 116.3619153 39.9576269)"
2733378153,2733378155,0,267947996,,service,False,False,19.024,"LINESTRING (116.3618826 39.958036, 116.3621054 39.9580463)"
2733378153,6153825287,0,499433179,,service,False,False,24.248,"LINESTRING (116.3618826 39.958036, 116.3615982 39.9580303)"
2733378154,2733378158,0,267947996,,service,False,True,13.096,"LINESTRING (116.3630951 39.9580965, 116.3629422 39.9580849)"
2733378154,1856733319,0,968672849,,service,False,False,48.597,"LINESTRING (116.3630951 39.9580965, 116.3631345 39.9576605)"
2733378154,4907053514,0,"[968672849, 968672850, 175017613]",,service,False,True,126.02600000000001,"LINESTRING (116.3630951 39.9580965, 116.3630897 39.9581257, 116.3630321 39.958755, 116.3629857 39.9592267)"
2733378155,2733378198,0,267947996,,service,False,False,11.485,"LINESTRING (116.3621054 39.9580463, 116.3622399 39.9580525)"
2733378155,2733378153,0,267947996,,service,False,True,19.024,"LINESTRING (116.3621054 39.9580463, 116.3618826 39.958036)"
2733378155,2733378156,0,267947998,,service,False,False,45.976,"LINESTRING (116.3621054 39.9580463, 116.3621361 39.9576335)"
2733378156,2733378199,0,267947992,,service,False,False,12.41,"LINESTRING (116.3621361 39.9576335, 116.3622816 39.9576377)"
2733378156,2733378148,0,267947992,,service,False,True,18.834,"LINESTRING (116.3621361 39.9576335, 116.3619153 39.9576269)"
2733378156,2733378222,0,267947998,,service,False,False,22.22,"LINESTRING (116.3621361 39.9576335, 116.3621511 39.957434)"
2733378156,2733378155,0,267947998,,service,False,True,45.976,"LINESTRING (116.3621361 39.9576335, 116.3621054 39.9580463)"
2733378157,2733378204,0,267947998,,service,False,True,18.244,"LINESTRING (116.3621888 39.9569294, 116.3621765 39.9570932)"
2733378157,2733378200,0,267948000,,service,False,False,12.916,"LINESTRING (116.3621888 39.9569294, 116.3623403 39.956932)"
2733378157,2733378148,0,"[267948000, 267947993]",,service,False,"[False, True]",98.044,"LINESTRING (116.3621888 39.9569294, 116.3619637 39.956919, 116.3619153 39.9576269)"
2733378158,2733378154,0,267947996,,service,False,False,13.096,"LINESTRING (116.3629422 39.9580849, 116.3630951 39.9580965)"
2733378158,2733378201,0,267947996,,service,False,True,12.227,"LINESTRING (116.3629422 39.9580849, 116.362799 39.9580783)"
2733378158,2733378159,0,267947999,,service,False,False,47.53,"LINESTRING (116.3629422 39.9580849, 116.3629773 39.9576583)"
2733378159,1856733319,0,267947992,,service,False,False,13.401,"LINESTRING (116.3629773 39.9576583, 116.3631345 39.9576605)"
2733378159,2733378202,0,267947992,,service,False,True,11.72,"LINESTRING (116.3629773 39.9576583, 116.3628399 39.9576542)"
2733378159,2733378228,0,267947999,,service,False,False,20.868,"LINESTRING (116.3629773 39.9576583, 116.3629946 39.9574711)"
2733378159,2733378158,0,267947999,,service,False,True,47.53,"LINESTRING (116.3629773 39.9576583, 116.3629422 39.9580849)"
2733378160,2733378207,0,267947999,,service,False,True,20.41,"LINESTRING (116.363043 39.9569444, 116.3630262 39.9571275)"
2733378160,2733378203,0,267948000,,service,False,True,12.302,"LINESTRING (116.363043 39.9569444, 116.3628987 39.9569419)"
2733378160,1856733319,0,499432546,,service,False,True,93.54299999999999,"LINESTRING (116.363043 39.9569444, 116.3632025 39.9569434, 116.3631345 39.9576605)"
2733378198,2733378201,0,267947996,,service,False,False,47.74,"LINESTRING (116.3622399 39.9580525, 116.362799 39.9580783)"
2733378198,2733378155,0,267947996,,service,False,True,11.485,"LINESTRING (116.3622399 39.9580525, 116.3621054 39.9580463)"
2733378198,2733378199,0,267948004,,service,False,False,46.26,"LINESTRING (116.3622399 39.9580525, 116.3622816 39.9576377)"
2733378199,2733378230,0,267947992,,service,False,False,23.098,"LINESTRING (116.3622816 39.9576377, 116.3625524 39.9576457)"
2733378199,2733378156,0,267947992,,service,False,True,12.41,"LINESTRING (116.3622816 39.9576377, 116.3621361 39.9576335)"
2733378199,2733378224,0,267948004,,service,False,False,21.972,"LINESTRING (116.3622816 39.9576377, 116.362298 39.9574405)"
2733378199,2733378198,0,267948004,,service,False,True,46.26,"LINESTRING (116.3622816 39.9576377, 116.3622399 39.9580525)"
2733378200,2733378203,0,267948000,,service,False,False,47.607,"LINESTRING (116.3623403 39.956932, 116.3628987 39.9569419)"
2733378200,2733378157,0,267948000,,service,False,True,12.916,"LINESTRING (116.3623403 39.956932, 116.3621888 39.9569294)"
2733378200,2733378205,0,267948004,,service,False,True,18.641,"LINESTRING (116.3623403 39.956932, 116.3623264 39.9570993)"
2733378200,2733378211,0,267948007,,service,False,False,26.500999999999998,"LINESTRING (116.3623403 39.956932, 116.3624132 39.9569568, 116.3624618 39.9569863, 116.3625467 39.9570157, 116.3626194 39.9570327)"
2733378201,2733378158,0,267947996,,service,False,False,12.227,"LINESTRING (116.362799 39.9580783, 116.3629422 39.9580849)"
2733378201,2733378198,0,267947996,,service,False,True,47.74,"LINESTRING (116.362799 39.9580783, 116.3622399 39.9580525)"
2733378201,2733378202,0,267948005,,service,False,False,47.287,"LINESTRING (116.362799 39.9580783, 116.3628399 39.9576542)"
2733378202,2733378159,0,267947992,,service,False,False,11.72,"LINESTRING (116.3628399 39.9576542, 116.3629773 39.9576583)"
