u,v,key,osmid,highway,oneway,reversed,length,geometry
644603140,4489507894,0,50633427,service,False,False,280.929,"LINESTRING (116.3144549 40.022856, 116.3141623 40.0253725)"
644603140,7110910243,0,50633427,service,False,True,108.134,"LINESTRING (116.3144549 40.022856, 116.3146182 40.0218916)"
644603140,644603158,0,50633430,service,False,True,329.654,"LINESTRING (116.3144549 40.022856, 116.310609 40.0225166)"
644603140,7110910226,0,761099454,service,False,True,372.827,"LINESTRING (116.3144549 40.022856, 116.316483 40.0230629, 116.3165903 40.0230362, 116.3166413 40.0229849, 116.3167868 40.0224457, 116.3168961 40.0213643)"
644603158,644603140,0,50633430,service,False,False,329.654,"LINESTRING (116.310609 40.0225166, 116.3144549 40.022856)"
644603158,7110910252,0,50633430,service,False,True,78.62,"LINESTRING (116.310609 40.0225166, 116.3096892 40.0224552)"
644603158,7110910246,0,1061288351,service,False,True,191.521,"LINESTRING (116.310609 40.0225166, 116.3108423 40.0208035)"
644603168,8967925525,0,50633438,service,False,False,90.432,"LINESTRING (116.3109764 40.0196738, 116.3120328 40.0197569)"
644603168,7110910246,0,1061288351,service,False,False,126.135,"LINESTRING (116.3109764 40.0196738, 116.3109094 40.0202325, 116.3108423 40.0208035)"
644603192,7110910237,0,50633427,service,False,False,120.327,"LINESTRING (116.314802 40.0199832, 116.3147 40.0210625)"
644603192,7110910239,0,50633438,service,False,True,113.836,"LINESTRING (116.314802 40.0199832, 116.3134728 40.0198742)"
644603192,7110910222,0,761099453,service,False,False,193.535,"LINESTRING (116.314802 40.0199832, 116.3158554 40.020064, 116.316078 40.0201133, 116.3170549 40.0201923)"
4489507567,4489507579,0,452149079,service,False,False,14.207,"LINESTRING (116.309485 40.0264807, 116.3094766 40.0263531)"
4489507567,4489507569,0,452149072,service,False,False,300.683,"LINESTRING (116.309485 40.0264807, 116.3093562 40.0274337, 116.3116282 40.0275814)"
4489507567,4489507569,1,452149072,service,False,True,300.733,"LINESTRING (116.309485 40.0264807, 116.3117487 40.0266203, 116.3116282 40.0275814)"
4489507569,4489507567,0,452149072,service,False,False,300.733,"LINESTRING (116.3116282 40.0275814, 116.3117487 40.0266203, 116.309485 40.0264807)"
4489507569,4489507567,1,452149072,service,False,True,300.683,"LINESTRING (116.3116282 40.0275814, 116.3093562 40.0274337, 116.309485 40.0264807)"
4489507571,9995121939,0,452149073,service,False,False,21.755,"LINESTRING (116.3130364 40.0284613, 116.3130113 40.028656)"
4489507571,4489507578,0,"[969155538, 452149077]",service,False,False,228.163,"LINESTRING (116.3130364 40.0284613, 116.3130453 40.0283067, 116.3130537 40.0278003, 116.3129921 40.027749, 116.3127346 40.0277253, 116.3126956 40.0276678, 116.3128431 40.0266162)"
4489507578,4489507582,0,452149077,service,False,False,235.416,"LINESTRING (116.3128431 40.0266162, 116.3100931 40.0263974)"
4489507578,4489507571,0,"[969155538, 452149077]",service,False,True,228.16299999999998,"LINESTRING (116.3128431 40.0266162, 116.3126956 40.0276678, 116.3127346 40.0277253, 116.3129921 40.027749, 116.3130537 40.0278003, 116.3130453 40.0283067, 116.3130364 40.0284613)"
4489507578,4489507894,0,"[452149080, 50633427]",service,False,"[False, True]",239.77300000000002,"LINESTRING (116.3128431 40.0266162, 116.3128942 40.02653, 116.3139647 40.026602, 116.3141623 40.0253725)"
4489507579,4489507582,0,452149077,service,False,True,52.724,"LINESTRING (116.3094766 40.0263531, 116.3100931 40.0263974)"
4489507579,4489507580,0,452149079,service,False,False,103.062,"LINESTRING (116.3094766 40.0263531, 116.3096003 40.0254311)"
4489507579,4489507567,0,452149079,service,False,True,14.207,"LINESTRING (116.3094766 40.0263531, 116.309485 40.0264807)"
