osmid,y,x,street_count,geometry
644603140,40.022856,116.3144549,4,POINT (116.3144549 40.022856)
644603158,40.0225166,116.310609,3,POINT (116.310609 40.0225166)
644603168,40.0196738,116.3109764,3,POINT (116.3109764 40.0196738)
644603192,40.0199832,116.314802,4,POINT (116.314802 40.0199832)
4489507567,40.0264807,116.309485,3,POINT (116.309485 40.0264807)
4489507569,40.0275814,116.3116282,3,POINT (116.3116282 40.0275814)
4489507571,40.0284613,116.3130364,3,POINT (116.3130364 40.0284613)
4489507578,40.0266162,116.3128431,3,POINT (116.3128431 40.0266162)
4489507579,40.0263531,116.3094766,3,POINT (116.3094766 40.0263531)
4489507580,40.0254311,116.3096003,3,POINT (116.3096003 40.0254311)
4489507582,40.0263974,116.3100931,3,POINT (116.3100931 40.0263974)
4489507894,40.0253725,116.3141623,3,POINT (116.3141623 40.0253725)
4489507895,40.0254865,116.3158283,1,POINT (116.3158283 40.0254865)
7110910222,40.0201923,116.3170549,3,POINT (116.3170549 40.0201923)
7110910223,40.02018,116.3172212,1,POINT (116.3172212 40.02018)
7110910226,40.0213643,116.3168961,3,POINT (116.3168961 40.0213643)
7110910231,40.0211569,116.314689,3,POINT (116.314689 40.0211569)
7110910233,40.020886,116.3121054,4,POINT (116.3121054 40.020886)
7110910234,40.020964,116.3133548,4,POINT (116.3133548 40.020964)
7110910237,40.0210625,116.3147,3,POINT (116.3147 40.0210625)
7110910238,40.0217685,116.3132637,3,POINT (116.3132637 40.0217685)
7110910239,40.0198742,116.3134728,3,POINT (116.3134728 40.0198742)
7110910243,40.0218916,116.3146182,3,POINT (116.3146182 40.0218916)
7110910244,40.019774,116.3122502,3,POINT (116.3122502 40.019774)
7110910246,40.0208035,116.3108423,3,POINT (116.3108423 40.0208035)
7110910252,40.0224552,116.3096892,3,POINT (116.3096892 40.0224552)
8967913909,40.0196348,116.3125482,1,POINT (116.3125482 40.0196348)
8967913910,40.0188706,116.3132992,1,POINT (116.3132992 40.0188706)
8967925524,40.019608,116.3120574,3,POINT (116.3120574 40.019608)
8967925525,40.0197569,116.3120328,3,POINT (116.3120328 40.0197569)
9784664333,40.0223831,116.3086805,3,POINT (116.3086805 40.0223831)
9995121939,40.028656,116.3130113,3,POINT (116.3130113 40.028656)
