u,v,key,osmid,name,highway,oneway,reversed,length,geometry,maxspeed
537972402,5541650071,0,42943243,校园东路,service,False,False,40.421,"LINESTRING (116.341777 39.9818916, 116.3417932 39.9815283)",
537972402,6924289556,0,572267663,校园中路,service,False,True,156.763,"LINESTRING (116.341777 39.9818916, 116.3399388 39.9818314)",
537972402,1195735418,0,42943243,校园东路,service,False,True,168.732,"LINESTRING (116.341777 39.9818916, 116.3417203 39.9832796, 116.341715 39.9834083)",
537972402,1195735466,0,479448966,,service,False,True,129.937,"LINESTRING (116.341777 39.9818916, 116.341864 39.9819107, 116.3432964 39.9819706)",
537972460,5541650075,0,42943244,校园西路,service,False,False,53.842,"LINESTRING (116.3381184 39.9798121, 116.3380922 39.9802959)",20
537972460,1195735480,0,88777868,校园南路,service,False,False,65.121,"LINESTRING (116.3381184 39.9798121, 116.3388822 39.9798328)",
537972460,1195735432,0,88777868,校园南路,service,False,True,106.251,"LINESTRING (116.3381184 39.9798121, 116.3368724 39.9797739)",
537972460,1195735439,0,"[626788251, 42943244]",校园西路,service,False,True,266.07,"LINESTRING (116.3381184 39.9798121, 116.3382078 39.9779719, 116.3382114 39.9779244, 116.3388681 39.9779478)",20
537972463,1195735431,0,42943244,校园西路,service,False,False,169.465,"LINESTRING (116.3380196 39.9817699, 116.3379538 39.9832931)",20
537972463,5541650078,0,42943244,校园西路,service,False,True,38.201,"LINESTRING (116.3380196 39.9817699, 116.3380426 39.9814268)",20
537972463,6924289556,0,572267663,校园中路,service,False,False,163.665,"LINESTRING (116.3380196 39.9817699, 116.3399388 39.9818314)",
537972463,6924450339,0,572267663,校园中路,service,False,True,247.104,"LINESTRING (116.3380196 39.9817699, 116.3351215 39.9816859)",
537972466,1195735430,0,42943244,校园西路,service,False,True,70.839,"LINESTRING (116.3379135 39.9842649, 116.3379378 39.9836281)",20
537972466,1195735463,0,949420420,,service,False,False,80.429,"LINESTRING (116.3379135 39.9842649, 116.3369714 39.984219)",
1030342348,6813629035,0,42943243,校园东路,service,False,False,21.201,"LINESTRING (116.3418759 39.979936, 116.3418891 39.9797456)",
1030342348,5541650069,0,42943243,校园东路,service,False,True,48.646,"LINESTRING (116.3418759 39.979936, 116.3418491 39.980373)",
1030342348,2690908609,0,88777868,校园南路,service,False,False,140.341,"LINESTRING (116.3418759 39.979936, 116.3435222 39.9799751)",
1030342348,5546915060,0,88777868,校园南路,service,False,True,228.961,"LINESTRING (116.3418759 39.979936, 116.3408585 39.9799013, 116.3407873 39.9798989, 116.3401352 39.9798766, 116.3391914 39.9798444)",
1195735415,1195735430,0,103562827,,service,False,False,73.633,"LINESTRING (116.337074 39.9836071, 116.3379378 39.9836281)",
1195735415,1195735422,0,103562827,,service,False,True,98.831,"LINESTRING (116.337074 39.9836071, 116.3359151 39.9835688)",
1195735415,1195735421,0,103562828,,service,False,True,32.756,"LINESTRING (116.337074 39.9836071, 116.3370576 39.9837693, 116.3370181 39.9838384, 116.3370126 39.9838947)",
1195735418,6924289558,0,572267664,校园北路,service,False,True,161.358,"LINESTRING (116.341715 39.9834083, 116.3398229 39.983346)",
1195735418,537972402,0,42943243,校园东路,service,False,False,168.732,"LINESTRING (116.341715 39.9834083, 116.3417203 39.9832796, 116.341777 39.9818916)",
1195735418,2690908613,0,739520300,校园北路,service,False,False,129.117,"LINESTRING (116.341715 39.9834083, 116.3418033 39.9834055, 116.3432294 39.9834456)",
1195735419,6924450349,0,88777868,校园南路,service,False,False,135.77,"LINESTRING (116.3440033 39.9799843, 116.345595 39.9800415)",
1195735419,2690908609,0,88777868,校园南路,service,False,True,41.005,"LINESTRING (116.3440033 39.9799843, 116.3435222 39.9799751)",
1195735419,1195735429,0,103562825,科技园路,service,False,False,219.863,"LINESTRING (116.3440033 39.9799843, 116.3441125 39.9780088)",
1195735421,1195735463,0,103562828,,service,False,True,36.231,"LINESTRING (116.3370126 39.9838947, 116.3369714 39.984219)",
1195735421,8789523960,0,727033775,,service,False,False,112.046,"LINESTRING (116.3370126 39.9838947, 116.3356985 39.9838556)",
1195735421,1195735415,0,103562828,,service,False,False,32.756,"LINESTRING (116.3370126 39.9838947, 116.3370181 39.9838384, 116.3370576 39.9837693, 116.337074 39.9836071)",
1195735422,1195735415,0,103562827,,service,False,False,98.831,"LINESTRING (116.3359151 39.9835688, 116.337074 39.9836071)",
