element_type,osmid,nodes,amenity,geometry
way,832499665,"[7772407564, 7772407565, 7772407566, 7772407567, 7772407564]",bicycle_parking,"POLYGON ((116.1437096 40.2461287, 116.1437057 40.2460875, 116.1437245 40.2460864, 116.1437284 40.2461277, 116.1437096 40.2461287))"
way,832499666,"[7772407568, 7772407569, 7772407570, 7772407571, 7772407568]",bicycle_parking,"POLYGON ((116.1444552 40.2461041, 116.1444513 40.2460628, 116.14447 40.2460618, 116.1444739 40.246103, 116.1444552 40.2461041))"
way,832503503,"[7772443200, 7772443201, 7772443202, 7772443203, 7772443200]",bicycle_parking,"POLYGON ((116.1456511 40.2487346, 116.1456344 40.2487242, 116.1456712 40.2486897, 116.1456879 40.2487001, 116.1456511 40.2487346))"
way,832503504,"[7772443204, 7772443205, 7772443206, 7772443207, 7772443204]",bicycle_parking,"POLYGON ((116.1456103 40.2487172, 116.1455936 40.2487068, 116.1456304 40.2486724, 116.1456471 40.2486828, 116.1456103 40.2487172))"
way,832503505,"[7772443208, 7772443209, 7772443210, 7772443211, 7772443208]",bicycle_parking,"POLYGON ((116.1457334 40.2486629, 116.1457192 40.2486526, 116.1458224 40.2485696, 116.145836 40.2485794, 116.1457334 40.2486629))"
way,832503506,"[7772443212, 7772443213, 7772443214, 7772443215, 7772443212]",bicycle_parking,"POLYGON ((116.1457063 40.2486368, 116.1456902 40.2486257, 116.1457913 40.2485399, 116.1458072 40.2485508, 116.1457063 40.2486368))"
way,832503507,"[7772443216, 7772443217, 7772443218, 7772443219, 7772443216]",bicycle_parking,"POLYGON ((116.1429767 40.2488549, 116.1429624 40.2488673, 116.1427745 40.248744, 116.1427906 40.24873, 116.1429767 40.2488549))"
way,832503508,"[7772443220, 7772443221, 7772443222, 7772443223, 7772443220]",bicycle_parking,"POLYGON ((116.1429994 40.2488359, 116.1429851 40.2488483, 116.142799 40.2487234, 116.1428133 40.248711, 116.1429994 40.2488359))"
way,832503509,"[7772443224, 7772443225, 7772443226, 7772443227, 7772443224]",bicycle_parking,"POLYGON ((116.1429435 40.2488988, 116.1429305 40.2489102, 116.1427734 40.2488053, 116.1427865 40.2487939, 116.1429435 40.2488988))"
way,871070129,"[7772443194, 7772443195, 7772443192, 7772443193, 7772443194]",bicycle_parking,"POLYGON ((116.145708 40.2487615, 116.1456914 40.2487503, 116.1458601 40.2486046, 116.1458767 40.2486158, 116.145708 40.2487615))"
way,871086451,"[8114185489, 8114080270, 8114080271, 8114185487, 8114185489]",bicycle_parking,"POLYGON ((116.1388284 40.2501606, 116.1388288 40.2501366, 116.1389311 40.2501377, 116.1389306 40.2501617, 116.1388284 40.2501606))"
way,871086452,"[8114185486, 8114185488, 8114185483, 8114080272, 8114185486]",bicycle_parking,"POLYGON ((116.1389683 40.2501604, 116.1389704 40.2501377, 116.1391733 40.2501554, 116.1391699 40.2501773, 116.1389683 40.2501604))"
way,871086453,"[8114080273, 8114185484, 8114080275, 8114080274, 8114080273]",bicycle_parking,"POLYGON ((116.1392552 40.2501769, 116.1392485 40.2501554, 116.1394185 40.2501244, 116.1394252 40.2501459, 116.1392552 40.2501769))"
way,871086454,"[8114185491, 8114185475, 8114185474, 8114185492, 8114185491]",bicycle_parking,"POLYGON ((116.1397822 40.2501702, 116.1397859 40.2501467, 116.1399951 40.2501661, 116.1399914 40.2501896, 116.1397822 40.2501702))"
way,871086455,"[8114185494, 8114185493, 8114185496, 8114185495, 8114185494]",bicycle_parking,"POLYGON ((116.1400371 40.2501837, 116.1400269 40.2501635, 116.1401415 40.2501298, 116.1401517 40.25015, 116.1400371 40.2501837))"
way,871086456,"[8114185498, 8114185497, 8114185500, 8114185499, 8114185498]",bicycle_parking,"POLYGON ((116.1402013 40.2501381, 116.1401909 40.2501162, 116.1402762 40.2500926, 116.1402866 40.2501145, 116.1402013 40.2501381))"
way,871086457,"[8114185472, 8114185501, 8114185505, 8114185471, 8114185472]",bicycle_parking,"POLYGON ((116.1403145 40.2501117, 116.1403216 40.2500912, 116.1404807 40.2501233, 116.1404737 40.2501434, 116.1403145 40.2501117))"
way,871086458,"[8114185504, 8114185509, 8114185507, 8114185506, 8114185504]",bicycle_parking,"POLYGON ((116.1405181 40.2501523, 116.1405249 40.2501323, 116.1406539 40.2501583, 116.1406471 40.250178, 116.1405181 40.2501523))"
way,871086482,"[8114186790, 8114186791, 8114186788, 8114186789, 8114186790]",bicycle_parking,"POLYGON ((116.1410739 40.2501013, 116.1410721 40.2500794, 116.1412665 40.2500701, 116.1412683 40.2500919, 116.1410739 40.2501013))"
way,871086483,"[8114186786, 8114186787, 8114186784, 8114186785, 8114186786]",bicycle_parking,"POLYGON ((116.1413095 40.2500886, 116.1413078 40.250068, 116.1415382 40.2500565, 116.1415399 40.250077, 116.1413095 40.2500886))"
way,871086484,"[8114186782, 8114186783, 8114186780, 8114186781, 8114186782]",bicycle_parking,"POLYGON ((116.1415842 40.2500721, 116.1415827 40.2500516, 116.1417541 40.2500446, 116.1417556 40.250065, 116.1415842 40.2500721))"
way,871086485,"[7772395544, 7772395545, 7772395546, 7772395547, 7772395544]",bicycle_parking,"POLYGON ((116.1409021 40.2504801, 116.140927 40.2504845, 116.1409981 40.2502517, 116.1409732 40.2502473, 116.1409021 40.2504801))"
way,871086486,"[8114186747, 8114186748, 8114186749, 8114186750, 8114186747]",bicycle_parking,"POLYGON ((116.1408666 40.2504765, 116.1408397 40.2504719, 116.1409103 40.2502346, 116.1409371 40.2502392, 116.1408666 40.2504765))"
way,871086487,"[8114186796, 8114186795, 8114186794, 8114186793, 8114186796]",bicycle_parking,"POLYGON ((116.1409891 40.250196, 116.1410108 40.2501999, 116.1410372 40.2501136, 116.1410155 40.2501098, 116.1409891 40.250196))"
way,871086488,"[8114186760, 8114186761, 8114186762, 8114186763, 8114186760]",bicycle_parking,"POLYGON ((116.1409488 40.2501886, 116.1409226 40.2501846, 116.1409453 40.2500988, 116.1409715 40.2501028, 116.1409488 40.2501886))"
way,988638613,"[9138080291, 9138080290, 9138080289, 9138080288, 9138080291]",bicycle_parking,"POLYGON ((116.1413916 40.2508424, 116.1413901 40.2508219, 116.1415615 40.2508149, 116.141563 40.2508353, 116.1413916 40.2508424))"
way,1061044256,"[9748892366, 9748892367, 9748892368, 9748892369, 9748892366]",bicycle_parking,"POLYGON ((116.1402515 40.2516951, 116.1402515 40.2516811, 116.1404044 40.2516808, 116.1404044 40.2516948, 116.1402515 40.2516951))"
way,1061044257,"[9748892370, 9748892371, 9748892372, 9748892373, 9748892370]",bicycle_parking,"POLYGON ((116.1402543 40.2516636, 116.1402543 40.2516497, 116.1404072 40.2516494, 116.1404072 40.2516634, 116.1402543 40.2516636))"
way,1061044258,"[9748892374, 9748892375, 9748892376, 9748892377, 9748892374]",bicycle_parking,"POLYGON ((116.1402552 40.2516151, 116.1402552 40.2516011, 116.1404081 40.2516008, 116.1404081 40.2516148, 116.1402552 40.2516151))"
way,1089626387,"[9981201993, 9981201995, 9981201996, 8114080265, 9981201993]",bicycle_parking,"POLYGON ((116.1388447 40.2509026, 116.1388456 40.250887, 116.13896 40.2508907, 116.1389592 40.2509062, 116.1388447 40.2509026))"
way,1089626388,"[9981201997, 9981201998, 9981201999, 9981201994, 9981201997]",bicycle_parking,"POLYGON ((116.1393868 40.2508931, 116.1393911 40.2508709, 116.1394896 40.2508821, 116.1394853 40.2509043, 116.1393868 40.2508931))"
way,1089626389,"[9981202000, 9981202002, 9981202003, 9981202001, 9981202000]",bicycle_parking,"POLYGON ((116.1390278 40.2509007, 116.1390248 40.2508865, 116.1391201 40.2508781, 116.1391231 40.2508927, 116.1390278 40.2509007))"
way,1089626390,"[9981202004, 9981202006, 9981202007, 9981202005, 9981202004]",bicycle_parking,"POLYGON ((116.1391629 40.2508893, 116.1391613 40.2508765, 116.1392379 40.2508677, 116.1392394 40.2508805, 116.1391629 40.2508893))"
way,1089626391,"[9981202008, 8114080256, 9981202009, 9981202010, 9981202008]",bicycle_parking,"POLYGON ((116.1397107 40.2508393, 116.1396816 40.2508363, 116.1397034 40.250716, 116.1397325 40.250719, 116.1397107 40.2508393))"
way,1089626392,"[8114185482, 9981202011, 8114185476, 9981202012, 8114185482]",bicycle_parking,"POLYGON ((116.1397057 40.2503597, 116.1396765 40.2503567, 116.1397072 40.2502034, 116.1397363 40.2502064, 116.1397057 40.2503597))"
way,1089626393,"[10246279445, 9981202015, 8114186657, 10246279444, 10246279445]",bicycle_parking,"POLYGON ((116.1405745 40.2499743, 116.1406952 40.2499703, 116.1406961 40.2499854, 116.1405754 40.2499894, 116.1405745 40.2499743))"
way,1089626394,"[9981202016, 9981234317, 9981234318, 9981234319, 9981202016]",bicycle_parking,"POLYGON ((116.1418963 40.2508154, 116.1418794 40.250814, 116.1419022 40.2506515, 116.141919 40.2506529, 116.1418963 40.2508154))"
way,1090894836,"[9991961217, 9991961219, 9991961220, 9991961218, 9991961217]",bicycle_parking,"POLYGON ((116.1389356 40.2500315, 116.138936 40.2500137, 116.1390456 40.2500152, 116.1390452 40.2500329, 116.1389356 40.2500315))"
way,1120280875,"[10246266185, 10246266186, 10246266187, 10246266188, 10246266185]",bicycle_parking,"POLYGON ((116.1398071 40.2509009, 116.1398053 40.2508785, 116.1399047 40.2508739, 116.1399065 40.2508963, 116.1398071 40.2509009))"
way,1120280876,"[10246266189, 10246266190, 10246266191, 10246266192, 10246266189]",bicycle_parking,"POLYGON ((116.1400637 40.2508894, 116.1400618 40.250867, 116.1401612 40.2508621, 116.1401631 40.2508844, 116.1400637 40.2508894))"
way,1120280877,"[10246266193, 9981305829, 10246266194, 8114080249, 10246266193]",bicycle_parking,"POLYGON ((116.1403154 40.2508772, 116.1403197 40.250855, 116.1404182 40.2508662, 116.1404139 40.2508884, 116.1403154 40.2508772))"
way,1120282778,"[10246279443, 10246279442, 9981202013, 9981202014, 10246279443]",bicycle_parking,"POLYGON ((116.1404786 40.2499773, 116.1404796 40.2499929, 116.1403605 40.2499972, 116.1403595 40.2499816, 116.1404786 40.2499773))"
way,1120282779,"[10246279446, 10246279447, 10246279448, 10246279449, 10246279446]",bicycle_parking,"POLYGON ((116.1399854 40.2500317, 116.1399847 40.2500472, 116.1398655 40.2500439, 116.1398663 40.2500283, 116.1399854 40.2500317))"
