element_type,osmid,geometry,nodes,building:colour,building:levels,height,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:shape,addr:housename,building,layer,roof:material,building:material,ref,roof:height,roof:levels,amenity,bench,bin,lit,shelter_type,capacity,man_made,content,office,material,construction,building:level,building:prefabricated,ways,type,note,healthcare
way,673279464,"POLYGON ((116.1455358 40.2554974, 116.1462254 40.2556925, 116.1466032 40.2549144, 116.1459138 40.2547193, 116.1455358 40.2554974))","[6305137126, 6305137127, 6305137128, 6305137129, 6305137126]",gray,错层,15,工程实习中心,工程实习中心,工程实习中心,工程實習中心,darkgrey,,泰瑞楼,industrial,1,,,,,,,,,,,,,,,,,,,,,,
way,673279468,"POLYGON ((116.1397976 40.2522587, 116.1398014 40.251796, 116.1399959 40.2517969, 116.1399955 40.2518385, 116.1404396 40.2518406, 116.1404386 40.2519643, 116.1404121 40.2519642, 116.1404096 40.2522661, 116.1403931 40.252266, 116.140391 40.2525194, 116.1398504 40.2525168, 116.1398524 40.2522589, 116.1397976 40.2522587))","[6305137139, 6305137140, 7761005966, 7761005965, 6305137141, 7761005970, 7761005969, 7761005971, 7761005972, 6305137142, 7761005968, 7761005967, 6305137139]",maroon,4,,紫竹餐厅,紫竹餐厅,紫竹餐厅,紫竹餐廳,maroon,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,673279470,"POLYGON ((116.1397282 40.2513325, 116.1397242 40.2512798, 116.1397157 40.2511685, 116.139849 40.2511641, 116.1404951 40.2511427, 116.1405001 40.2512164, 116.1405019 40.251242, 116.1405062 40.2513051, 116.1397282 40.2513325))","[6305137147, 10246266177, 6305137148, 9956851464, 6305137149, 9981305836, 10246266184, 6305137150, 6305137147]",maroon',7,22,樱花苑3号楼,樱花苑3号楼,樱花苑3号楼,櫻花苑3號樓,darkgrey,hipped,,apartments,,steel,concrete,3,2,1,,,,,,,,,,,,,,,,,
way,673279471,"POLYGON ((116.1398107 40.2508118, 116.1398006 40.2506632, 116.1399186 40.2506585, 116.1399714 40.2506564, 116.140295 40.2506436, 116.140277 40.2503794, 116.1399546 40.2503922, 116.1398918 40.2503947, 116.1398293 40.2503971, 116.139782 40.250399, 116.1397716 40.2502458, 116.140447 40.250219, 116.1404525 40.2502994, 116.1404533 40.2503118, 116.1404541 40.2503236, 116.1404796 40.2506998, 116.1404809 40.2507187, 116.1404821 40.2507368, 116.1404854 40.2507851, 116.1398107 40.2508118))","[6305137151, 6305629183, 9956851458, 8114020474, 6305629180, 6305629179, 8114020475, 9956851459, 8114185481, 6305629178, 6305137152, 6305137153, 9981305851, 9981305853, 9981305850, 9981305838, 9981305852, 9981305837, 6305137154, 6305137151]",maroon,7,22,樱花苑4号楼,樱花苑4号楼,樱花苑4号楼,櫻花苑4號樓,darkgrey,hipped,,apartments,,steel,concrete,4,2,1,,,,,,,,,,,,,,,,,
way,673279472,"POLYGON ((116.1398759 40.2499643, 116.1398617 40.2497999, 116.1398989 40.2497981, 116.1399951 40.2497933, 116.1400503 40.2497905, 116.1405127 40.2497674, 116.1404861 40.2494571, 116.140022 40.2494802, 116.1399725 40.2494827, 116.1398981 40.2494864, 116.1398366 40.2494895, 116.1398319 40.2494347, 116.1398306 40.2494195, 116.1398294 40.2494053, 116.139824 40.2493419, 116.1406646 40.2492998, 116.1406668 40.2493238, 116.1406689 40.2493468, 116.1406706 40.2493672, 116.1407136 40.2498708, 116.1407151 40.2498877, 116.1407162 40.2499013, 116.1407181 40.2499221, 116.140008 40.2499577, 116.1399923 40.2499585, 116.1399772 40.2499593, 116.1398759 40.2499643))","[6305137155, 6305819444, 8114186682, 9956851462, 8114186649, 6305819441, 6305819440, 8114186650, 9956851463, 8114186679, 6305819439, 10246279428, 10246279432, 10246279429, 6305137156, 6305137157, 10246279414, 10246279427, 10246279415, 8114186659, 9981305844, 9981305840, 6305137158, 8114186654, 10246279438, 10246279436, 6305137155]",maroon,9,28,樱花苑5号楼,樱花苑5号楼,樱花苑5号楼,櫻花苑5號樓,darkgrey,hipped,,apartments,,steel,concrete,5,2,1,,,,,,,,,,,,,,,,,
way,673279473,"POLYGON ((116.1388883 40.2499794, 116.138827 40.2493354, 116.1396458 40.24929, 116.1396606 40.249445, 116.1396306 40.2494467, 116.1395345 40.249452, 116.1394707 40.2494555, 116.1389962 40.2494818, 116.1390277 40.2498132, 116.1395018 40.249787, 116.1395651 40.2497835, 116.1396677 40.2497778, 116.1396883 40.2497767, 116.1397033 40.2499342, 116.1388883 40.2499794))","[6305137159, 6305137160, 6305137161, 6305819849, 8114186636, 9956851461, 8114186648, 6305819850, 6305819851, 8114186647, 9956851460, 10246286818, 6305819854, 6305137162, 6305137159]",maroon,7,22,樱花苑2号楼,樱花苑2号楼,樱花苑2号楼,櫻花苑2號樓,darkgrey,hipped,,apartments,,steel,concrete,2,2,1,,,,,,,,,,,,,,,,,
way,673279474,"POLYGON ((116.138853 40.2508077, 116.1388044 40.2502428, 116.1395695 40.2502045, 116.1395832 40.2503628, 116.1395322 40.2503654, 116.1394674 40.2503686, 116.1394102 40.2503715, 116.1389993 40.2503921, 116.1390212 40.2506462, 116.1394316 40.2506256, 116.1394862 40.2506229, 116.1395655 40.2506189, 116.1395983 40.2506173, 116.1396114 40.2507697, 116.138853 40.2508077))","[6305137163, 6305137164, 6305137165, 6305629185, 8114080287, 9956851457, 8114020473, 6305629186, 6305629187, 8114020472, 9956851456, 8114080290, 6305629184, 6305137166, 6305137163]",maroon,7,22,樱花苑1号楼,,,,darkgrey,hipped,,apartments,,steel,concrete,1,2,1,,,,,,,,,,,,,,,,,
way,673279475,"POLYGON ((116.1408011 40.2513203, 116.1407909 40.2512327, 116.1407895 40.2512207, 116.1407884 40.2512105, 116.1407844 40.2511764, 116.141417 40.2511339, 116.1414629 40.2511308, 116.1415125 40.2511274, 116.141614 40.2511206, 116.1416306 40.2512645, 116.1408011 40.2513203))","[6305137167, 7772302018, 9981305835, 7772302013, 6305137168, 7772302010, 9231925599, 8114186814, 6305137169, 6305137170, 6305137167]",maroon,7,22,樱花苑6号楼,樱花苑6号楼,樱花苑6号楼,櫻花苑6號樓,darkgrey,hipped,,apartments,,steel,concrete,6,2,1,,,,,,,,,,,,,,,,,
way,673279476,"POLYGON ((116.1411658 40.2507886, 116.1411618 40.2507414, 116.1411603 40.250724, 116.1411585 40.2507016, 116.1411213 40.2502607, 116.1411196 40.2502396, 116.1411183 40.2502247, 116.141113 40.2501614, 116.1418137 40.250127, 116.1418217 40.2502216, 116.1418242 40.2502522, 116.141704 40.2502582, 116.1415915 40.2502637, 116.1413223 40.2502769, 116.141353 40.2506405, 116.1416227 40.2506272, 116.1417336 40.2506218, 116.141838 40.2506166, 116.1418397 40.2506366, 116.1418497 40.250755, 116.1411658 40.2507886))","[6305137172, 10246266203, 10246266207, 10246266204, 7772395550, 8114186756, 8114186770, 6305137173, 6305137174, 8114186775, 6305629176, 9956851467, 9138080293, 6305629161, 6305629159, 9138080292, 9956851466, 6305629175, 10246266200, 6305137175, 6305137172]",maroon,9,28,樱花苑7号楼,樱花苑7号楼,樱花苑7号楼,櫻花苑7號樓,darkgrey,hipped,,apartments,,steel,concrete,7,2,1,,,,,,,,,,,,,,,,,
way,673279481,"POLYGON ((116.1430259 40.2474715, 116.1429188 40.2474221, 116.1428782 40.247447, 116.1428138 40.2473782, 116.1428289 40.2473691, 116.1427985 40.2473533, 116.1427571 40.2473734, 116.1426723 40.2473013, 116.1426889 40.2472882, 116.1424389 40.2471283, 116.1422441 40.2470036, 116.1421316 40.2469317, 116.1420942 40.2469641, 116.1419233 40.2468235, 116.1419562 40.2467975, 116.1419316 40.2467735, 116.1418903 40.2467983, 116.1417586 40.2466817, 116.1417955 40.246663, 116.1417814 40.2466388, 116.14195 40.2465143, 116.1421428 40.2463971, 116.1423508 40.2463218, 116.1425637 40.2462834, 116.1428309 40.246444, 116.1430546 40.2466047, 116.1433759 40.2469231, 116.1435547 40.2471705, 116.1433461 40.2473354, 116.1430259 40.2474715))","[6305137193, 6312617064, 6312617063, 6312617062, 6312617061, 6312617060, 6312617058, 6312617059, 6305137194, 10197705522, 10197705521, 6305137195, 6312617048, 6312617049, 6312617050, 6312617051, 6312617052, 6312617053, 6312617054, 6305137196, 6312617056, 6305137197, 6312617055, 6305137198, 6312617057, 6305137199, 6305137200, 6305137201, 6305137202, 6305137193]",red,4,17,北京化工大学体育馆,北京化工大学体育馆,北京化工大学体育馆,北京化工大學體育館,darkgrey,,,stadium,,,,,,,,,,,,,,,,,,,,,,,
