u,v,key,osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,bridge,tunnel,access,service
6305075098,6305075102,0,673274039,unclassified,20,False,True,49.88,"LINESTRING (116.1443933 40.2461664, 116.1438072 40.2461995)",,,,,,
6305075098,7759816729,0,812421541,footway,,False,False,5.814,"LINESTRING (116.1443933 40.2461664, 116.1444618 40.2461662)",,,,,,
6305075098,6305075099,0,836745764,unclassified,20,False,False,41.761,"LINESTRING (116.1443933 40.2461664, 116.1444202 40.2465414)",,,,,,
6305075099,6305075103,0,673329006,unclassified,20,False,True,49.9,"LINESTRING (116.1444202 40.2465414, 116.1438338 40.2465739)",,,,,,
6305075099,6305075098,0,836745764,unclassified,20,False,True,41.761,"LINESTRING (116.1444202 40.2465414, 116.1443933 40.2461664)",,,,,,
6305075099,6312618236,0,836745764,unclassified,20,False,False,138.522,"LINESTRING (116.1444202 40.2465414, 116.1445226 40.2476713, 116.1445303 40.2477843)",,,,,,
6305075102,6305075098,0,673274039,unclassified,20,False,False,49.88,"LINESTRING (116.1438072 40.2461995, 116.1443933 40.2461664)",,,,,,
6305075102,7588367075,0,673274039,unclassified,20,False,True,7.586,"LINESTRING (116.1438072 40.2461995, 116.143718 40.2462039)",,,,,,
6305075102,6305629453,0,831018705,unclassified,20,False,False,38.742,"LINESTRING (116.1438072 40.2461995, 116.1438321 40.2465474)",,,,,,
6305075103,6305075099,0,673329006,unclassified,20,False,False,49.9,"LINESTRING (116.1438338 40.2465739, 116.1444202 40.2465414)",,,,,,
6305075103,6305629453,0,831018705,unclassified,20,False,True,2.95,"LINESTRING (116.1438338 40.2465739, 116.1438321 40.2465474)",,,,,,
6305075103,6305075105,0,831018705,unclassified,20,False,False,133.571,"LINESTRING (116.1438338 40.2465739, 116.143914 40.2476435, 116.1439286 40.2477729)",,,,,,
6305075105,7759502631,0,836745767,unclassified,20,False,True,9.332,"LINESTRING (116.1439286 40.2477729, 116.1440385 40.2477702)",2,宏德大道,,,,
