osmid,y,x,street_count,geometry
1361147473,39.9692784,116.4229106,3,POINT (116.4229106 39.9692784)
8266387843,39.9688351,116.4229279,3,POINT (116.4229279 39.9688351)
8266387845,39.9692242,116.4198499,3,POINT (116.4198499 39.9692242)
8266387874,39.969438,116.4229079,3,POINT (116.4229079 39.969438)
8962820677,39.9688651,116.424102,3,POINT (116.424102 39.9688651)
9951082412,39.9686913,116.420053,3,POINT (116.420053 39.9686913)
9952802284,39.9704916,116.423955,1,POINT (116.423955 39.9704916)
9952802285,39.9704732,116.4228809,4,POINT (116.4228809 39.9704732)
9952802286,39.9705059,116.4219704,1,POINT (116.4219704 39.9705059)
9952802296,39.9704323,116.424063,1,POINT (116.424063 39.9704323)
9952802297,39.9694642,116.4241141,4,POINT (116.4241141 39.9694642)
9952802299,39.9687432,116.4240943,1,POINT (116.4240943 39.9687432)
