osmid,y,x,street_count,geometry
1226520217,39.9571448,116.3512011,3,POINT (116.3512011 39.9571448)
1226520237,39.9609281,116.3510338,4,POINT (116.3510338 39.9609281)
1226520254,39.9619767,116.3524682,3,POINT (116.3524682 39.9619767)
1226520260,39.9608725,116.3493082,3,POINT (116.3493082 39.9608725)
1226520273,39.9609793,116.3525175,4,POINT (116.3525175 39.9609793)
1226520295,39.9619405,116.3509816,4,POINT (116.3509816 39.9619405)
2463866299,39.9597728,116.3493692,4,POINT (116.3493692 39.9597728)
2463866300,39.9598126,116.3501595,4,POINT (116.3501595 39.9598126)
2857344066,39.9570142,116.3518339,4,POINT (116.3518339 39.9570142)
2857344067,39.9571432,116.3526763,3,POINT (116.3526763 39.9571432)
2857344069,39.9610165,116.3542224,3,POINT (116.3542224 39.9610165)
2857344071,39.9616516,116.3541734,4,POINT (116.3541734 39.9616516)
2857344072,39.9619069,116.3492546,3,POINT (116.3492546 39.9619069)
2857344074,39.9624461,116.352445,3,POINT (116.352445 39.9624461)
3511265494,39.9583869,116.351151,4,POINT (116.351151 39.9583869)
3511265495,39.9583896,116.3502096,3,POINT (116.3502096 39.9583896)
3511265498,39.9588188,116.3524885,3,POINT (116.3524885 39.9588188)
3511265499,39.9583794,116.352472,3,POINT (116.352472 39.9583794)
4017437062,39.9598447,116.3510875,4,POINT (116.3510875 39.9598447)
4017578097,39.9627818,116.3499895,4,POINT (116.3499895 39.9627818)
4017578098,39.9630859,116.3493254,1,POINT (116.3493254 39.9630859)
4017578099,39.9630973,116.3499693,3,POINT (116.3499693 39.9630973)
4017578100,39.9619329,116.3500568,4,POINT (116.3500568 39.9619329)
4017578101,39.962352,116.3492457,3,POINT (116.3492457 39.962352)
4017578102,39.9623989,116.3509594,4,POINT (116.3509594 39.9623989)
4017578103,39.9608878,116.3501004,3,POINT (116.3501004 39.9608878)
4017581631,39.9630092,116.3517072,3,POINT (116.3517072 39.9630092)
4017581632,39.9629825,116.3509343,3,POINT (116.3509343 39.9629825)
4017824612,39.9573177,116.3494217,3,POINT (116.3494217 39.9573177)
4017824613,39.9573383,116.3502549,3,POINT (116.3502549 39.9573383)
4017824614,39.9578195,116.3494077,3,POINT (116.3494077 39.9578195)
4017824615,39.9578361,116.3502368,3,POINT (116.3502368 39.9578361)
4017824616,39.9581278,116.3493992,3,POINT (116.3493992 39.9581278)
4017824617,39.9581446,116.3502255,3,POINT (116.3502255 39.9581446)
4017824618,39.9575234,116.3511876,3,POINT (116.3511876 39.9575234)
4017824619,39.957543,116.3525109,4,POINT (116.3525109 39.957543)
4017824620,39.9575604,116.3536239,1,POINT (116.3536239 39.9575604)
4017824621,39.9583827,116.3547505,1,POINT (116.3547505 39.9583827)
4017824624,39.959312,116.3493792,3,POINT (116.3493792 39.959312)
4017824625,39.9593787,116.3531552,3,POINT (116.3531552 39.9593787)
4017824626,39.9593655,116.3524656,3,POINT (116.3524656 39.9593655)
4017824627,39.9609937,116.3531173,3,POINT (116.3531173 39.9609937)
4017832019,39.9602552,116.3531327,3,POINT (116.3531327 39.9602552)
4017832023,39.9610265,116.3547033,4,POINT (116.3547033 39.9610265)
4017834789,39.9604305,116.3501438,1,POINT (116.3501438 39.9604305)
4017834790,39.9593257,116.3501709,3,POINT (116.3501709 39.9593257)
4017834791,39.960303,116.3493338,3,POINT (116.3493338 39.960303)
4017834792,39.9603946,116.3531314,3,POINT (116.3531314 39.9603946)
4017834793,39.9598696,116.3518393,3,POINT (116.3518393 39.9598696)
4017834794,39.959355,116.3518606,3,POINT (116.3518606 39.959355)
4017834796,39.9632716,116.3523861,1,POINT (116.3523861 39.9632716)
4017837361,39.9631471,116.352395,3,POINT (116.352395 39.9631471)
4017837362,39.9631968,116.3545773,3,POINT (116.3545773 39.9631968)
4017837363,39.9631642,116.3531618,3,POINT (116.3531618 39.9631642)
4017837365,39.9633977,116.3545641,3,POINT (116.3545641 39.9633977)
4017837366,39.9636074,116.3545534,1,POINT (116.3545534 39.9636074)
4017838654,39.9593668,116.3525394,3,POINT (116.3525394 39.9593668)
4017840114,39.9603457,116.351052,4,POINT (116.351052 39.9603457)
4017840115,39.9614088,116.3510073,3,POINT (116.3510073 39.9614088)
4017840117,39.9606141,116.3525453,3,POINT (116.3525453 39.9606141)
4017840118,39.9606129,116.3531262,3,POINT (116.3531262 39.9606129)
4017840119,39.9593419,116.3511055,4,POINT (116.3511055 39.9593419)
4017893147,39.9571433,116.3518296,3,POINT (116.3518296 39.9571433)
4017893148,39.9580237,116.3511657,3,POINT (116.3511657 39.9580237)
4017893149,39.9580318,116.3524854,3,POINT (116.3524854 39.9580318)
4017911121,39.9583865,116.3534148,3,POINT (116.3534148 39.9583865)
4017911124,39.9573328,116.3546459,1,POINT (116.3546459 39.9573328)
4017911125,39.9571416,116.352535,3,POINT (116.352535 39.9571416)
4017924034,39.9578775,116.3524975,3,POINT (116.3524975 39.9578775)
4017924035,39.9578938,116.3532656,1,POINT (116.3532656 39.9578938)
4017924041,39.9616368,116.3536182,3,POINT (116.3536182 39.9616368)
4017924042,39.9631733,116.3540595,3,POINT (116.3540595 39.9631733)
4017931889,39.9621291,116.3541472,3,POINT (116.3541472 39.9621291)
4017931890,39.962129,116.3546393,3,POINT (116.3546393 39.962129)
4017931891,39.9616626,116.3546647,3,POINT (116.3546647 39.9616626)
4017931892,39.9624436,116.3541208,3,POINT (116.3541208 39.9624436)
4017931893,39.9624457,116.3546209,3,POINT (116.3546209 39.9624457)
4017931894,39.9627869,116.3540919,3,POINT (116.3540919 39.9627869)
4017931895,39.9628033,116.3546001,3,POINT (116.3546001 39.9628033)
4017931896,39.9627622,116.3492637,1,POINT (116.3492637 39.9627622)
4017931897,39.9628075,116.3509397,3,POINT (116.3509397 39.9628075)
4017931898,39.9625319,116.3492262,1,POINT (116.3492262 39.9625319)
4121570006,39.9615987,116.3524825,3,POINT (116.3524825 39.9615987)
5184436001,39.9630222,116.3524039,3,POINT (116.3524039 39.9630222)
5184510887,39.9619441,116.3512411,3,POINT (116.3512411 39.9619441)
5184510898,39.9624079,116.3512153,3,POINT (116.3512153 39.9624079)
8821671890,39.9623737,116.3500219,4,POINT (116.3500219 39.9623737)
8821671891,39.9587814,116.3511287,4,POINT (116.3511287 39.9587814)
8821671892,39.9603232,116.3501448,4,POINT (116.3501448 39.9603232)
8821671893,39.9603808,116.3525467,4,POINT (116.3525467 39.9603808)
8973662951,39.9627803,116.3518882,1,POINT (116.3518882 39.9627803)
8973662952,39.9630124,116.3518799,3,POINT (116.3518799 39.9630124)
8973662957,39.9634669,116.3516897,1,POINT (116.3516897 39.9634669)
8973662958,39.9623448,116.3535417,3,POINT (116.3535417 39.9623448)
8973662959,39.9622969,116.3524524,3,POINT (116.3524524 39.9622969)
8973662960,39.9631676,116.3534948,3,POINT (116.3534948 39.9631676)
8973662969,39.9572458,116.3536553,3,POINT (116.3536553 39.9572458)
8973662970,39.9572385,116.3530892,3,POINT (116.3530892 39.9572385)
8973662971,39.9571473,116.3530908,3,POINT (116.3530908 39.9571473)
8973691525,39.9575326,116.3516803,4,POINT (116.3516803 39.9575326)
