u,v,key,osmid,name,highway,oneway,reversed,length,service,geometry,tunnel
1598814958,1808717245,0,146612951,银杏大道,residential,False,False,16.154,,"LINESTRING (116.4717178 39.8748612, 116.4719071 39.8748606)",
1808717112,5258122209,0,169707880,,residential,False,False,44.89,,"LINESTRING (116.4727816 39.8706201, 116.4727803 39.8710238)",
1808717112,5258122202,0,169707880,,residential,False,True,30.695,,"LINESTRING (116.4727816 39.8706201, 116.4731412 39.8706147)",
1808717118,5258122173,0,169707850,,residential,False,False,19.129,,"LINESTRING (116.4757513 39.8772694, 116.4757468 39.8774414)",
1808717118,1808717121,0,169707850,,residential,False,True,13.102,,"LINESTRING (116.4757513 39.8772694, 116.4757481 39.8771516)",
1808717118,2139848966,0,169707870,,footway,False,True,84.894,,"LINESTRING (116.4757513 39.8772694, 116.4747565 39.8772773)",
1808717121,1808717118,0,169707850,,residential,False,False,13.102,,"LINESTRING (116.4757481 39.8771516, 116.4757513 39.8772694)",
1808717121,5258122156,0,1047352405,思源路,residential,False,False,33.792,,"LINESTRING (116.4757481 39.8771516, 116.4761441 39.8771511)",
1808717121,1808717396,0,1047352405,思源路,residential,False,True,21.427,,"LINESTRING (116.4757481 39.8771516, 116.475497 39.877152)",
1808717127,1808717213,0,169707841,日新路,residential,False,False,143.576,,"LINESTRING (116.4744821 39.8722957, 116.4761645 39.8722996)",
1808717127,1808717248,0,169707880,,residential,False,False,116.733,,"LINESTRING (116.4744821 39.8722957, 116.4744823 39.8712459)",
1808717127,1808717393,0,169707880,,residential,False,True,28.906,,"LINESTRING (116.4744821 39.8722957, 116.474187 39.8724233)",
1808717129,1808717301,0,169707885,,service,False,True,64.85,driveway,"LINESTRING (116.4726829 39.8764747, 116.471923 39.8764678)",
1808717129,1808717208,0,543815684,,unclassified,False,False,83.545,,"LINESTRING (116.4726829 39.8764747, 116.4736619 39.8764689)",
1808717129,9630747849,0,543815686,,path,False,False,45.512,,"LINESTRING (116.4726829 39.8764747, 116.4726846 39.8760654)",
1808717129,5257003799,0,1047352425,,path,False,True,56.879,,"LINESTRING (116.4726829 39.8764747, 116.4722788 39.8760679)",
1808717150,1808717203,0,169707863,,residential,False,False,13.121,,"LINESTRING (116.472048 39.8771633, 116.4720486 39.8772813)",
1808717150,1808717197,0,1047352405,思源路,residential,False,False,25.976,,"LINESTRING (116.472048 39.8771633, 116.4723524 39.8771623)",
1808717150,1808717301,0,"[1047352405, 169707798]","['秋实路', '思源路']",residential,False,True,82.019,,"LINESTRING (116.472048 39.8771633, 116.471905 39.8770407, 116.4719152 39.8766987, 116.471923 39.8764678)",
1808717162,1808717170,0,169707878,,residential,False,False,36.722,,"LINESTRING (116.4755013 39.8758116, 116.4759316 39.8758149)",
1808717162,1808717407,0,954600896,,residential,False,True,71.867,,"LINESTRING (116.4755013 39.8758116, 116.4755065 39.8764579)",
1808717162,1808717286,0,169707878,,residential,False,True,47.956,,"LINESTRING (116.4755013 39.8758116, 116.4752492 39.8758157, 116.4750977 39.8756083)",
1808717166,1808717247,0,169707880,,residential,False,False,87.512,,"LINESTRING (116.4727779 39.8717564, 116.4727762 39.8722998, 116.4730498 39.8724233)",
1808717166,5258122181,0,169707880,,residential,False,True,58.5,,"LINESTRING (116.4727779 39.8717564, 116.4727795 39.8712764, 116.4727796 39.8712303)",
1808717170,1808717162,0,169707878,,residential,False,True,36.722,,"LINESTRING (116.4759316 39.8758149, 116.4755013 39.8758116)",
1808717170,5257003753,0,543815665,,residential,False,False,95.826,,"LINESTRING (116.4759316 39.8758149, 116.4759469 39.8766766)",
1808717170,5258122168,0,543815665,,residential,False,True,64.683,,"LINESTRING (116.4759316 39.8758149, 116.4759364 39.8752332)",
1808717172,1808717358,0,169707798,秋实路,residential,False,False,50.794,,"LINESTRING (116.4719143 39.8756083, 116.471917 39.8760651)",
1808717172,1808717245,0,169707798,秋实路,residential,False,True,83.143,,"LINESTRING (116.4719143 39.8756083, 116.4719071 39.8748606)",
1808717172,5257003800,0,169707878,,residential,False,False,65.811,,"LINESTRING (116.4719143 39.8756083, 116.4726855 39.8756089)",
1808717194,1808717229,0,169707850,,residential,False,True,33.925,,"LINESTRING (116.4757418 39.8779487, 116.4757411 39.8777543, 116.4757415 39.8776436)",
1808717197,1808717313,0,169707852,,footway,False,False,57.172,,"LINESTRING (116.4723524 39.8771623, 116.4727601 39.8767543)",
1808717197,1808717211,0,1047352405,思源路,residential,False,False,34.791,,"LINESTRING (116.4723524 39.8771623, 116.4727601 39.8771609)",
1808717197,1808717150,0,1047352405,思源路,residential,False,True,25.976,,"LINESTRING (116.4723524 39.8771623, 116.472048 39.8771633)",
1808717203,1808717334,0,169707863,,residential,False,False,41.198,,"LINESTRING (116.4720486 39.8772813, 116.4720504 39.8776518)",
1808717203,1808717150,0,169707863,,residential,False,True,13.121,,"LINESTRING (116.4720486 39.8772813, 116.472048 39.8771633)",
1808717203,1808717326,0,169707870,,footway,False,False,138.155,,"LINESTRING (116.4720486 39.8772813, 116.4736676 39.8772813)",
1808717207,1808717213,0,169707836,春华路,residential,False,False,114.076,,"LINESTRING (116.4761686 39.8712737, 116.4761645 39.8722996)",
1808717207,5464996385,0,169707836,春华路,residential,False,True,40.942,,"LINESTRING (116.4761686 39.8712737, 116.4761691 39.8709055)",
1808717207,1808717390,0,169707882,博雅路,residential,False,False,267.775,,"LINESTRING (116.4761686 39.8712737, 116.4763132 39.871323, 116.476431 39.8713636, 116.4765673 39.8714278, 116.4769764 39.8716858, 116.4771006 39.8717487, 116.4772334 39.8718042, 116.4773276 39.8718372, 116.4774218 39.8718582, 116.4775794 39.8718778, 116.4777187 39.871886, 116.4778548 39.8718871, 116.4779779 39.8718729, 116.4782843 39.8718205, 116.478387 39.871821, 116.4785479 39.8718341, 116.4787062 39.8718531, 116.4790633 39.8718922)",
1808717207,1808717248,0,169707882,博雅路,residential,False,True,145.03,,"LINESTRING (116.4761686 39.8712737, 116.4760699 39.8712335, 116.4747805 39.8712436, 116.4744823 39.8712459)",
1808717208,1808717129,0,543815684,,unclassified,False,True,83.545,,"LINESTRING (116.4736619 39.8764689, 116.4726829 39.8764747)",
1808717208,9630747850,0,1047352422,,path,False,True,65.972,,"LINESTRING (116.4736619 39.8764689, 116.4730944 39.876066)",
1808717208,1808717299,0,169707797,学子路,residential,False,False,44.694,,"LINESTRING (116.4736619 39.8764689, 116.4736612 39.8764113, 116.4736684 39.876067)",
1808717208,1808717232,0,169707797,学子路,residential,False,True,76.604,,"LINESTRING (116.4736619 39.8764689, 116.4736628 39.8765972, 116.4736667 39.8771578)",
