osmid,y,x,street_count,geometry
1598814958,39.8748612,116.4717178,1,POINT (116.4717178 39.8748612)
1808717112,39.8706201,116.4727816,3,POINT (116.4727816 39.8706201)
1808717118,39.8772694,116.4757513,3,POINT (116.4757513 39.8772694)
1808717121,39.8771516,116.4757481,3,POINT (116.4757481 39.8771516)
1808717127,39.8722957,116.4744821,3,POINT (116.4744821 39.8722957)
1808717129,39.8764747,116.4726829,4,POINT (116.4726829 39.8764747)
1808717150,39.8771633,116.472048,3,POINT (116.472048 39.8771633)
1808717162,39.8758116,116.4755013,3,POINT (116.4755013 39.8758116)
1808717166,39.8717564,116.4727779,3,POINT (116.4727779 39.8717564)
1808717170,39.8758149,116.4759316,3,POINT (116.4759316 39.8758149)
1808717172,39.8756083,116.4719143,3,POINT (116.4719143 39.8756083)
1808717194,39.8779487,116.4757418,1,POINT (116.4757418 39.8779487)
1808717197,39.8771623,116.4723524,3,POINT (116.4723524 39.8771623)
1808717203,39.8772813,116.4720486,3,POINT (116.4720486 39.8772813)
1808717207,39.8712737,116.4761686,4,POINT (116.4761686 39.8712737)
1808717208,39.8764689,116.4736619,5,POINT (116.4736619 39.8764689)
1808717211,39.8771609,116.4727601,3,POINT (116.4727601 39.8771609)
1808717213,39.8722996,116.4761645,4,POINT (116.4761645 39.8722996)
1808717226,39.8706077,116.473613,3,POINT (116.473613 39.8706077)
1808717229,39.8776436,116.4757415,4,POINT (116.4757415 39.8776436)
1808717232,39.8771578,116.4736667,4,POINT (116.4736667 39.8771578)
1808717245,39.8748606,116.4719071,4,POINT (116.4719071 39.8748606)
1808717247,39.8724233,116.4730498,3,POINT (116.4730498 39.8724233)
1808717248,39.8712459,116.4744823,4,POINT (116.4744823 39.8712459)
1808717253,39.8748553,116.4736613,3,POINT (116.4736613 39.8748553)
1808717255,39.8729503,116.4809945,3,POINT (116.4809945 39.8729503)
1808717262,39.8727856,116.4785966,4,POINT (116.4785966 39.8727856)
1808717268,39.8771498,116.4770238,1,POINT (116.4770238 39.8771498)
1808717280,39.8771544,116.4747556,3,POINT (116.4747556 39.8771544)
1808717284,39.8748456,116.4775541,4,POINT (116.4775541 39.8748456)
1808717286,39.8756083,116.4750977,3,POINT (116.4750977 39.8756083)
1808717299,39.876067,116.4736684,3,POINT (116.4736684 39.876067)
1808717301,39.8764678,116.471923,3,POINT (116.471923 39.8764678)
1808717313,39.8767543,116.4727601,3,POINT (116.4727601 39.8767543)
1808717315,39.8771559,116.4742676,3,POINT (116.4742676 39.8771559)
1808717326,39.8772813,116.4736676,4,POINT (116.4736676 39.8772813)
1808717334,39.8776518,116.4720504,3,POINT (116.4720504 39.8776518)
1808717338,39.8766482,116.4775446,3,POINT (116.4775446 39.8766482)
1808717340,39.8766844,116.4755032,3,POINT (116.4755032 39.8766844)
1808717341,39.8756123,116.4736718,5,POINT (116.4736718 39.8756123)
1808717353,39.8728186,116.4804098,3,POINT (116.4804098 39.8728186)
1808717358,39.8760651,116.471917,3,POINT (116.471917 39.8760651)
1808717364,39.8706201,116.474466,3,POINT (116.474466 39.8706201)
1808717377,39.8748397,116.476175,3,POINT (116.476175 39.8748397)
1808717379,39.8748572,116.473039,3,POINT (116.473039 39.8748572)
1808717380,39.8748537,116.4741817,4,POINT (116.4741817 39.8748537)
1808717381,39.8776477,116.4747592,3,POINT (116.4747592 39.8776477)
1808717389,39.8771587,116.4734092,3,POINT (116.4734092 39.8771587)
1808717390,39.8718922,116.4790633,4,POINT (116.4790633 39.8718922)
1808717392,39.8748387,116.4759396,3,POINT (116.4759396 39.8748387)
1808717393,39.8724233,116.474187,3,POINT (116.474187 39.8724233)
1808717396,39.877152,116.475497,3,POINT (116.475497 39.877152)
1808717397,39.87787,116.473672,1,POINT (116.473672 39.87787)
1808717407,39.8764579,116.4755065,3,POINT (116.4755065 39.8764579)
1808717409,39.8776642,116.4736705,3,POINT (116.4736705 39.8776642)
1808717411,39.8729545,116.4730474,3,POINT (116.4730474 39.8729545)
1808717412,39.8779564,116.472052,1,POINT (116.472052 39.8779564)
1808717415,39.8729524,116.4719233,3,POINT (116.4719233 39.8729524)
2139848966,39.8772773,116.4747565,4,POINT (116.4747565 39.8772773)
5257003753,39.8766766,116.4759469,3,POINT (116.4759469 39.8766766)
5257003754,39.875236,116.475089,3,POINT (116.475089 39.875236)
5257003780,39.8764603,116.4751002,3,POINT (116.4751002 39.8764603)
