u,v,key,osmid,highway,oneway,reversed,length,geometry
1226606444,1226606446,0,106623207,service,False,False,71.487,"LINESTRING (116.3067111 39.9532713, 116.3066693 39.9539134)"
1226606444,1226606500,0,106623209,service,False,False,117.192,"LINESTRING (116.3067111 39.9532713, 116.3080826 39.953345)"
1226606444,1226606451,0,106623209,service,False,True,135.008,"LINESTRING (116.3067111 39.9532713, 116.3051311 39.9531863)"
1226606446,1226606482,0,106623207,service,False,False,149.6,"LINESTRING (116.3066693 39.9539134, 116.3065039 39.9552528)"
1226606446,1226606444,0,106623207,service,False,True,71.487,"LINESTRING (116.3066693 39.9539134, 116.3067111 39.9532713)"
1226606446,1226606484,0,106623210,service,False,False,105.553,"LINESTRING (116.3066693 39.9539134, 116.3079042 39.9539841)"
1226606446,1226606461,0,106623210,service,False,True,134.143,"LINESTRING (116.3066693 39.9539134, 116.3055175 39.9538476, 116.3050999 39.9538237)"
1226606448,1226606482,0,106623211,service,False,False,135.728,"LINESTRING (116.3049121 39.95522, 116.3065039 39.9552528)"
1226606448,1226606461,0,106623202,service,False,False,156.114,"LINESTRING (116.3049121 39.95522, 116.3050233 39.9542701, 116.3050999 39.9538237)"
1226606448,6000710436,0,106623211,service,False,True,214.877,"LINESTRING (116.3049121 39.95522, 116.3038371 39.9552292, 116.3037268 39.9551364, 116.3038104 39.9541557)"
1226606451,1226606461,0,106623202,service,False,True,70.926,"LINESTRING (116.3051311 39.9531863, 116.3050999 39.9538237)"
1226606451,1226606444,0,106623209,service,False,False,135.008,"LINESTRING (116.3051311 39.9531863, 116.3067111 39.9532713)"
1226606451,6000710436,0,"[106623209, 106623211]",service,False,"[False, True]",215.579,"LINESTRING (116.3051311 39.9531863, 116.3040408 39.9531155, 116.3039105 39.953175, 116.3038104 39.9541557)"
1226606461,1226606451,0,106623202,service,False,False,70.926,"LINESTRING (116.3050999 39.9538237, 116.3051311 39.9531863)"
1226606461,1226606448,0,106623202,service,False,True,156.114,"LINESTRING (116.3050999 39.9538237, 116.3050233 39.9542701, 116.3049121 39.95522)"
1226606461,1226606446,0,106623210,service,False,False,134.143,"LINESTRING (116.3050999 39.9538237, 116.3055175 39.9538476, 116.3066693 39.9539134)"
1226606467,6000668633,0,106623210,service,False,True,8.087,"LINESTRING (116.3089614 39.9540448, 116.3088668 39.9540392)"
1226606467,1226606500,0,106623209,service,False,True,152.159,"LINESTRING (116.3089614 39.9540448, 116.3090114 39.953391, 116.3084004 39.9533621, 116.3080826 39.953345)"
1226606482,1226606446,0,106623207,service,False,True,149.6,"LINESTRING (116.3065039 39.9552528, 116.3066693 39.9539134)"
1226606482,1226606448,0,106623211,service,False,True,135.728,"LINESTRING (116.3065039 39.9552528, 116.3049121 39.95522)"
1226606482,6000668627,0,106623211,service,False,False,177.22400000000002,"LINESTRING (116.3065039 39.9552528, 116.3077517 39.9552817, 116.3078201 39.9552135, 116.3078577 39.9546634)"
1226606484,1226606488,0,106623210,service,False,False,11.522,"LINESTRING (116.3079042 39.9539841, 116.308039 39.9539918)"
1226606484,1226606446,0,106623210,service,False,True,105.553,"LINESTRING (116.3079042 39.9539841, 116.3066693 39.9539134)"
1226606484,6000668627,0,106623211,service,False,True,75.639,"LINESTRING (116.3079042 39.9539841, 116.3078577 39.9546634)"
1226606488,1226606500,0,106623208,service,False,False,72.017,"LINESTRING (116.308039 39.9539918, 116.3080826 39.953345)"
1226606488,1226606484,0,106623210,service,False,True,11.522,"LINESTRING (116.308039 39.9539918, 116.3079042 39.9539841)"
1226606488,6000668633,0,106623210,service,False,False,70.756,"LINESTRING (116.308039 39.9539918, 116.3088214 39.9540365, 116.3088668 39.9540392)"
1226606500,1226606488,0,106623208,service,False,True,72.017,"LINESTRING (116.3080826 39.953345, 116.308039 39.9539918)"
1226606500,1226606444,0,106623209,service,False,True,117.192,"LINESTRING (116.3080826 39.953345, 116.3067111 39.9532713)"
1226606500,1226606467,0,106623209,service,False,False,152.159,"LINESTRING (116.3080826 39.953345, 116.3084004 39.9533621, 116.3090114 39.953391, 116.3089614 39.9540448)"
6000668627,1226606484,0,106623211,service,False,False,75.639,"LINESTRING (116.3078577 39.9546634, 116.3079042 39.9539841)"
6000668627,1226606482,0,106623211,service,False,True,177.224,"LINESTRING (116.3078577 39.9546634, 116.3078201 39.9552135, 116.3077517 39.9552817, 116.3065039 39.9552528)"
6000668627,6000668633,0,636300844,service,False,False,151.612,"LINESTRING (116.3078577 39.9546634, 116.3087787 39.9546669, 116.3088124 39.9542908, 116.3088965 39.954171, 116.3088917 39.9540715, 116.3088605 39.9540531, 116.3088668 39.9540392)"
6000668633,1226606467,0,106623210,service,False,False,8.087,"LINESTRING (116.3088668 39.9540392, 116.3089614 39.9540448)"
6000668633,1226606488,0,106623210,service,False,True,70.756,"LINESTRING (116.3088668 39.9540392, 116.3088214 39.9540365, 116.308039 39.9539918)"
6000668633,6000668627,0,636300844,service,False,True,151.61200000000002,"LINESTRING (116.3088668 39.9540392, 116.3088605 39.9540531, 116.3088917 39.9540715, 116.3088965 39.954171, 116.3088124 39.9542908, 116.3087787 39.9546669, 116.3078577 39.9546634)"
6000710436,1226606448,0,106623211,service,False,False,214.877,"LINESTRING (116.3038104 39.9541557, 116.3037268 39.9551364, 116.3038371 39.9552292, 116.3049121 39.95522)"
6000710436,1226606451,0,"[106623209, 106623211]",service,False,"[False, True]",215.579,"LINESTRING (116.3038104 39.9541557, 116.3039105 39.953175, 116.3040408 39.9531155, 116.3051311 39.9531863)"
