osmid,y,x,street_count,geometry
1226606444,39.9532713,116.3067111,3,POINT (116.3067111 39.9532713)
1226606446,39.9539134,116.3066693,4,POINT (116.3066693 39.9539134)
1226606448,39.95522,116.3049121,3,POINT (116.3049121 39.95522)
1226606451,39.9531863,116.3051311,3,POINT (116.3051311 39.9531863)
1226606461,39.9538237,116.3050999,3,POINT (116.3050999 39.9538237)
1226606467,39.9540448,116.3089614,3,POINT (116.3089614 39.9540448)
1226606482,39.9552528,116.3065039,3,POINT (116.3065039 39.9552528)
1226606484,39.9539841,116.3079042,3,POINT (116.3079042 39.9539841)
1226606488,39.9539918,116.308039,3,POINT (116.308039 39.9539918)
1226606500,39.953345,116.3080826,3,POINT (116.3080826 39.953345)
6000668627,39.9546634,116.3078577,3,POINT (116.3078577 39.9546634)
6000668633,39.9540392,116.3088668,3,POINT (116.3088668 39.9540392)
6000710436,39.9541557,116.3038104,3,POINT (116.3038104 39.9541557)
