osmid,y,x,street_count,geometry
746856318,39.9507258,116.3400448,3,POINT (116.3400448 39.9507258)
746856360,39.9524138,116.3375625,3,POINT (116.3375625 39.9524138)
746856372,39.9511414,116.3367619,3,POINT (116.3367619 39.9511414)
746856431,39.9512831,116.3378916,3,POINT (116.3378916 39.9512831)
746856472,39.9510364,116.3406424,3,POINT (116.3406424 39.9510364)
746856478,39.9509964,116.3359184,4,POINT (116.3359184 39.9509964)
746856485,39.9483007,116.3371389,3,POINT (116.3371389 39.9483007)
746856493,39.9491147,116.3385029,3,POINT (116.3385029 39.9491147)
746856533,39.9496509,116.3333116,3,POINT (116.3333116 39.9496509)
746856564,39.9501622,116.3365912,3,POINT (116.3365912 39.9501622)
746856580,39.9503951,116.3381531,3,POINT (116.3381531 39.9503951)
746856603,39.9480478,116.3352419,4,POINT (116.3352419 39.9480478)
746856612,39.9498448,116.3342816,3,POINT (116.3342816 39.9498448)
746856694,39.9504205,116.3331092,3,POINT (116.3331092 39.9504205)
746856698,39.9518443,116.3366482,1,POINT (116.3366482 39.9518443)
746856718,39.9522226,116.3366445,3,POINT (116.3366445 39.9522226)
2081852683,39.9500872,116.3361724,3,POINT (116.3361724 39.9500872)
2081852685,39.9502364,116.33702,3,POINT (116.33702 39.9502364)
2081857351,39.9508351,116.3349746,4,POINT (116.3349746 39.9508351)
2081857357,39.9512569,116.3348423,1,POINT (116.3348423 39.9512569)
2081857364,39.9514146,116.3367426,3,POINT (116.3367426 39.9514146)
2720469549,39.950645,116.3340166,4,POINT (116.3340166 39.950645)
2720469554,39.9497536,116.3343089,3,POINT (116.3343089 39.9497536)
2720469555,39.9487109,116.3346212,1,POINT (116.3346212 39.9487109)
2720469561,39.948985,116.3359276,3,POINT (116.3359276 39.948985)
2720469564,39.9490107,116.3361148,3,POINT (116.3361148 39.9490107)
2720469565,39.9491411,116.3368916,3,POINT (116.3368916 39.9491411)
2720469568,39.949903,116.3351434,3,POINT (116.3351434 39.949903)
2720469569,39.94892,116.3354409,3,POINT (116.3354409 39.94892)
2720469572,39.9516991,116.3404496,4,POINT (116.3404496 39.9516991)
2720469976,39.9485416,116.3326405,3,POINT (116.3326405 39.9485416)
2720469977,39.9487033,116.3335963,3,POINT (116.3335963 39.9487033)
2720469978,39.9483624,116.3336987,3,POINT (116.3336987 39.9483624)
2720470482,39.9487872,116.333575,3,POINT (116.333575 39.9487872)
2720470483,39.9489483,116.3345437,3,POINT (116.3345437 39.9489483)
2720470484,39.9491182,116.333474,3,POINT (116.333474 39.9491182)
2720470485,39.9492723,116.3344449,3,POINT (116.3344449 39.9492723)
2720470486,39.9492127,116.332451,3,POINT (116.332451 39.9492127)
2720470487,39.9493842,116.3333929,3,POINT (116.3333929 39.9493842)
2720479568,39.949003,116.3378966,3,POINT (116.3378966 39.949003)
2720479569,39.9486473,116.3370369,3,POINT (116.3370369 39.9486473)
2720479570,39.9488191,116.3379521,3,POINT (116.3379521 39.9488191)
2720479571,39.9497561,116.3383076,3,POINT (116.3383076 39.9497561)
2720479572,39.9495145,116.3367818,3,POINT (116.3367818 39.9495145)
2720479573,39.9496567,116.3376945,3,POINT (116.3376945 39.9496567)
2720479574,39.9495639,116.3383717,3,POINT (116.3383717 39.9495639)
2720479575,39.9497181,116.3392286,3,POINT (116.3392286 39.9497181)
2720479576,39.9492555,116.3393588,3,POINT (116.3393588 39.9492555)
2720479577,39.9498566,116.3382813,3,POINT (116.3382813 39.9498566)
2720479578,39.9499862,116.3391558,3,POINT (116.3391558 39.9499862)
2720479580,39.9503348,116.340141,3,POINT (116.340141 39.9503348)
2720498146,39.9503445,116.3341161,3,POINT (116.3341161 39.9503445)
2720498147,39.9505127,116.3350753,3,POINT (116.3350753 39.9505127)
2720498148,39.9499242,116.3352621,3,POINT (116.3352621 39.9499242)
4177637246,39.9514411,116.3388635,3,POINT (116.3388635 39.9514411)
4177637281,39.9515616,116.3396049,3,POINT (116.3396049 39.9515616)
4419317407,39.9502408,116.3321357,3,POINT (116.3321357 39.9502408)
5117734206,39.9503512,116.3378199,3,POINT (116.3378199 39.9503512)
5117734209,39.9511988,116.337296,3,POINT (116.337296 39.9511988)
5117734217,39.9488497,116.3350535,3,POINT (116.3350535 39.9488497)
5117734218,39.9488398,116.3345753,3,POINT (116.3345753 39.9488398)
6318274272,39.9511457,116.3368269,3,POINT (116.3368269 39.9511457)
9037731246,39.9508689,116.3309146,1,POINT (116.3309146 39.9508689)
9037731250,39.9502232,116.3311292,1,POINT (116.3311292 39.9502232)
9037731255,39.9501451,116.3307001,3,POINT (116.3307001 39.9501451)
9037731256,39.9499856,116.3307712,3,POINT (116.3307712 39.9499856)
11173604232,39.9500321,116.3332113,4,POINT (116.3332113 39.9500321)
11173604233,39.9502101,116.3341606,3,POINT (116.3341606 39.9502101)
11173604234,39.9498636,116.3322514,3,POINT (116.3322514 39.9498636)
