element_type,osmid,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fast_food,opening_hours,name:en,nodes,building
node,1924725186,励耘学苑,19,100875,新街口外大街,restaurant,chinese,御马墩,御马墩,御马墩,禦馬墩,POINT (116.3641192 39.9598048),,,,,
node,3928133969,,,,,restaurant,,兰蕙餐厅,兰蕙餐厅,兰蕙餐厅,蘭蕙餐廳,POINT (116.355419 39.9576538),,,,,
node,5794747098,,,,,restaurant,chinese,白鹿江西餐厅,白鹿江西餐厅,白鹿江西餐厅,白鹿江西餐廳,POINT (116.359826 39.9636972),,,,,
node,6041082640,,,,,restaurant,chinese,教工食堂,教工食堂,教工食堂,教工食堂,POINT (116.3607406 39.9614911),cafeteria,,,,
node,6041082641,,,,,restaurant,chinese,实习餐馆,实习餐馆,实习餐馆,實習餐廳,POINT (116.3612523 39.9615235),,,,,
node,6041082642,,,,,restaurant,,京师大厦自助餐厅,京师大厦自助餐厅,京师大厦自助餐厅,京師大廈自助餐廳,POINT (116.3640144 39.9573195),,,,,
node,6041082643,,,,,restaurant,,兼味轩,兼味轩,兼味轩,兼味軒,POINT (116.3640249 39.9572101),,,,,
node,6041082645,,,,,restaurant,,新乐群食堂,新乐群食堂,新乐群食堂,新樂群食堂,POINT (116.3559266 39.9573331),,Mo-Su 09:00-21:00,,,
node,6041082646,,,,,restaurant,chinese,西北风味餐厅,西北风味餐厅,西北风味餐厅,西北風味餐廳,POINT (116.3566677 39.9573358),,,,,
node,6041082647,,,,,restaurant,,学五食堂,学五食堂,学五食堂,學五食堂,POINT (116.3566642 39.9577524),,,,,
node,6041082648,,,,,restaurant,chinese,想都香,想都香,想都香,想都香,POINT (116.3565464 39.9577817),,,,,
node,6041082649,,,,,restaurant,,学生第六食堂,学生第六食堂,学生第六食堂,學生第六食堂,POINT (116.363129 39.9601378),cafeteria,,,,
node,6041082650,,,,,restaurant,japanese,八喜日本料理,八喜日本料理,八喜日本料理,八喜日本料理,POINT (116.3639603 39.962164),,,,,
node,6041082651,,,,,restaurant,coffee_shop,爱德堡西餐咖啡吧,爱德堡西餐咖啡吧,爱德堡西餐咖啡吧,愛德堡西餐咖啡吧,POINT (116.3639774 39.962026),,,,,
node,6381462283,,,,,restaurant,,Western Restaurant,,,,POINT (116.3634202 39.9574306),,,Western Restaurant,,
way,499432986,,,,,restaurant,,教工食堂,教工食堂,教工食堂,教工食堂,"POLYGON ((116.3610327 39.9614115, 116.3610021 39.961669, 116.3605129 39.9616349, 116.3605232 39.9615485, 116.3603807 39.9615386, 116.360401 39.9613674, 116.3610327 39.9614115))",cafeteria,,,"[4907083464, 4907083465, 4907083466, 4907083467, 4907083468, 4907083469, 4907083464]",yes
way,499433000,,,,,restaurant,,实习餐厅,实习餐厅,实习餐厅,實習餐廳,"POLYGON ((116.3610219 39.9616814, 116.3610503 39.9613792, 116.3614663 39.9614021, 116.3614379 39.9617044, 116.3610219 39.9616814))",,,,"[4907085170, 4907085171, 4907085172, 4907085173, 4907085170]",yes
way,499434918,,,,,restaurant,,新乐群餐厅,新乐群餐厅,新乐群餐厅,新樂群餐廳,"POLYGON ((116.3556813 39.9574382, 116.3556813 39.9572208, 116.3561895 39.9572208, 116.3561895 39.9574382, 116.3556813 39.9574382))",,,,"[4907103309, 4907103310, 4907103311, 4907103312, 4907103309]",yes
way,499437078,,,,,restaurant,,西南餐厅,西南餐厅,西南餐厅,西南餐廳,"POLYGON ((116.3564911 39.9578176, 116.3564891 39.9576415, 116.3567656 39.9576396, 116.3569512 39.9576384, 116.3569533 39.9578145, 116.3564911 39.9578176))",,,,"[4907126958, 4907126959, 6381466138, 4907126960, 4907126961, 4907126958]",yes
way,499437130,,,,,restaurant,,西北餐厅,西北餐厅,西北餐厅,西北餐廳,"POLYGON ((116.3564956 39.9574182, 116.3564975 39.957229, 116.3569473 39.9572316, 116.3569454 39.9574207, 116.356763 39.9574197, 116.3564956 39.9574182))",,,,"[4907127033, 4907127034, 4907127035, 4907127036, 6381466139, 4907127033]",yes
