element_type,osmid,nodes,building,int_name,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,sport,geometry,addr:housename,addr:housenumber,addr:postcode,addr:street,roof:shape,roof:colour,man_made,amenity,fast_food,building:levels,ways,type
way,172257584,"[1831803286, 1831803359, 10226863962, 1831803390, 4907041813, 4907041812, 1831803296, 1831803286]",public,Qiujiduan Gymnasium,sports_centre,邱季端体育馆,邱季端体育馆,邱季端体育馆,邱季端體育館,basketball,"POLYGON ((116.3575476 39.9586775, 116.3575389 39.9580794, 116.3580403 39.9580752, 116.3586529 39.95807, 116.3586587 39.9584765, 116.3583136 39.9584794, 116.3583163 39.958671, 116.3575476 39.9586775))",,,,,,,,,,,,
way,172257586,"[1831803373, 1831803310, 1831803262, 1831803290, 1831803354, 1831803303, 1831803308, 1831803394, 1831803315, 1831803301, 1831803312, 1831803340, 1831803367, 5994472104, 1831803332, 1831803377, 1831803363, 1831803365, 1831803322, 1831803271, 1831803373]",yes,,,科技楼,科技楼,科技楼,科技樓,,"POLYGON ((116.3589051 39.9605661, 116.3592162 39.9605989, 116.359463 39.9606236, 116.3595756 39.9607182, 116.3597097 39.9606277, 116.3595971 39.9605085, 116.3596078 39.9604221, 116.3597205 39.960344, 116.3597366 39.9602207, 116.3596454 39.9601138, 116.3596615 39.9600274, 116.3597634 39.9599205, 116.3596829 39.9598218, 116.3595982 39.9598801, 116.3594737 39.9599657, 116.3589158 39.9599411, 116.3589051 39.9601425, 116.3595488 39.9601631, 116.3594737 39.9604345, 116.3588729 39.9604263, 116.3589051 39.9605661))",,,,,,,,,,,,
way,179358287,"[1897082234, 1897082245, 1897082213, 1897082230, 1897082253, 1897082218, 1897082266, 1897082255, 1897082234]",yes,,,学16楼,学16楼,学16楼,學16樓,,"POLYGON ((116.3589664 39.9577715, 116.3589684 39.957152, 116.3603676 39.9571547, 116.3603655 39.9577639, 116.3600242 39.9577632, 116.3600251 39.9574993, 116.3592978 39.9574977, 116.3592969 39.9577722, 116.3589664 39.9577715))",,,,,,,,,,,,
way,179358288,"[1897082240, 1897082259, 1897082216, 1897082232, 1897082240]",yes,,,北楼,北楼,北楼,北樓,,"POLYGON ((116.3592392 39.9588212, 116.3592434 39.9586485, 116.3600186 39.9586597, 116.3600143 39.9588324, 116.3592392 39.9588212))",,,,,,,,,,,,
way,179358289,"[1897082238, 4907123396, 1897082227, 1897082236, 8961990564, 1897082257, 1897082238]",yes,,,南楼,南楼,南楼,南樓,,"POLYGON ((116.3592632 39.9581535, 116.3598763 39.9581588, 116.3600006 39.9581599, 116.360003 39.9579974, 116.3599777 39.9579972, 116.3592656 39.957991, 116.3592632 39.9581535))",,,,,,,,,,,,
way,179358290,"[1897082225, 1897082247, 1897082249, 1897082228, 1897082225]",yes,,,东楼,东楼,东楼,東樓,,"POLYGON ((116.3599224 39.9585774, 116.359922 39.9581951, 116.3601303 39.958195, 116.3601307 39.9585773, 116.3599224 39.9585774))",,,,,,,,,,,,
way,179358291,"[1897082268, 1897082212, 1897082208, 1897082251, 1897082268]",yes,,,西楼,西楼,西楼,西樓,,"POLYGON ((116.3589219 39.9586041, 116.3589235 39.9581735, 116.3591398 39.9581739, 116.3591382 39.9586046, 116.3589219 39.9586041))",,,,,,,,,,,,
way,182114919,"[1924735509, 1924735496, 1924735507, 4723651124, 4723651123, 6367259139, 1924735511, 1924735506, 1924735497, 1924735509]",office,,,京师大厦,京师大厦,京师大厦,京師大廈,,"POLYGON ((116.3633306 39.9575865, 116.3633977 39.9570252, 116.3637169 39.9570539, 116.363785 39.9570166, 116.3639111 39.957102, 116.3640292 39.957044, 116.3642277 39.9570478, 116.3642158 39.9573911, 116.3638348 39.9576194, 116.3633306 39.9575865))",京师大厦,19,100875,新街口外大街,,,,,,,,
way,267944894,"[2733348439, 2733348441, 2733348442, 2733348443, 2733348439]",yes,,,图书馆,图书馆,图书馆,圖書館,,"POLYGON ((116.3618299 39.9598115, 116.3618628 39.9594583, 116.362904 39.9595153, 116.3628711 39.9598685, 116.3618299 39.9598115))",,,,,,,,,,,,
way,267944895,"[2733348444, 2733348445, 8961990555, 2733348446, 2733348447, 8961990554, 2733348444]",yes,,,乐育7楼,乐育7楼,乐育7楼,樂育7樓,,"POLYGON ((116.3607236 39.9606283, 116.3607333 39.9605194, 116.3617195 39.960571, 116.3617383 39.960572, 116.3617286 39.960681, 116.3617076 39.9606797, 116.3607236 39.9606283))",,,,,hipped,,,,,,,
