osmid,y,x,street_count,highway,geometry
6305075098,40.2461664,116.1443933,4,,POINT (116.1443933 40.2461664)
6305075099,40.2465414,116.1444202,3,,POINT (116.1444202 40.2465414)
6305075102,40.2461995,116.1438072,4,,POINT (116.1438072 40.2461995)
6305075103,40.2465739,116.1438338,3,,POINT (116.1438338 40.2465739)
6305075105,40.2477729,116.1439286,3,,POINT (116.1439286 40.2477729)
6305075110,40.2483199,116.1423095,4,,POINT (116.1423095 40.2483199)
6305075124,40.2526524,116.1406055,4,,POINT (116.1406055 40.2526524)
6305075126,40.2535079,116.1406022,4,,POINT (116.1406022 40.2535079)
6305075134,40.2559484,116.140892,3,,POINT (116.140892 40.2559484)
6305075138,40.2563016,116.1409732,3,,POINT (116.1409732 40.2563016)
6305075140,40.2565972,116.1409264,3,,POINT (116.1409264 40.2565972)
6305075143,40.2572322,116.1406449,3,,POINT (116.1406449 40.2572322)
6305075146,40.257362,116.1411838,3,,POINT (116.1411838 40.257362)
6305075151,40.257619,116.1429989,3,,POINT (116.1429989 40.257619)
6305075156,40.2581265,116.144331,3,,POINT (116.144331 40.2581265)
6305075163,40.2546881,116.1458798,4,crossing,POINT (116.1458798 40.2546881)
6305075165,40.2534704,116.1466513,6,,POINT (116.1466513 40.2534704)
6305075167,40.2527538,116.1469605,3,,POINT (116.1469605 40.2527538)
6305075173,40.251378,116.147167,4,,POINT (116.147167 40.251378)
6305075174,40.2510295,116.1471393,4,,POINT (116.1471393 40.2510295)
6305075180,40.2484653,116.1458227,3,,POINT (116.1458227 40.2484653)
6305075387,40.2492227,116.1413308,3,,POINT (116.1413308 40.2492227)
6305075391,40.2477907,116.1437583,3,,POINT (116.1437583 40.2477907)
6305075392,40.2477435,116.1435383,3,,POINT (116.1435383 40.2477435)
6305075398,40.2465852,116.1412631,3,,POINT (116.1412631 40.2465852)
6305075409,40.2472635,116.1397613,3,,POINT (116.1397613 40.2472635)
6305075415,40.2492174,116.1388584,3,,POINT (116.1388584 40.2492174)
6305075417,40.2500811,116.1387687,3,,POINT (116.1387687 40.2500811)
6305075419,40.250947,116.1387724,3,,POINT (116.1387724 40.250947)
6305075420,40.2514296,116.1387676,3,,POINT (116.1387676 40.2514296)
6305075421,40.251427,116.1390752,3,,POINT (116.1390752 40.251427)
6305075438,40.2490132,116.1431341,3,,POINT (116.1431341 40.2490132)
6305075441,40.2489437,116.1446011,3,,POINT (116.1446011 40.2489437)
6305075443,40.2489017,116.1455663,3,,POINT (116.1455663 40.2489017)
6305075446,40.2488343,116.1461498,4,,POINT (116.1461498 40.2488343)
6305075451,40.2511233,116.1447582,4,,POINT (116.1447582 40.2511233)
6305103591,40.2514424,116.1416981,3,,POINT (116.1416981 40.2514424)
6305103592,40.2514357,116.1425996,3,,POINT (116.1425996 40.2514357)
6305103593,40.2514427,116.143124,3,,POINT (116.143124 40.2514427)
6305105192,40.2500894,116.1389955,3,,POINT (116.1389955 40.2500894)
6305105193,40.2500446,116.139108,3,,POINT (116.139108 40.2500446)
6305105196,40.2500572,116.1394637,3,,POINT (116.1394637 40.2500572)
6305105197,40.2500529,116.1397133,4,,POINT (116.1397133 40.2500529)
6305105198,40.250091,116.1401985,3,,POINT (116.1401985 40.250091)
6305105203,40.2500285,116.1408484,4,,POINT (116.1408484 40.2500285)
6305105204,40.2492193,116.1397623,3,,POINT (116.1397623 40.2492193)
6305105217,40.251438,116.1396734,5,,POINT (116.1396734 40.251438)
6305105223,40.2509464,116.1396511,4,,POINT (116.1396511 40.2509464)
6305105225,40.2509377,116.139836,3,,POINT (116.139836 40.2509377)
6305105227,40.250967,116.1402139,3,,POINT (116.1402139 40.250967)
