element_type,osmid,amenity,layer,operator,parking,wheelchair,geometry,access,nodes,ways,fee,payment:cash,surface,type
node,6843804583,parking,-1,地下停车库出口,underground,no,POINT (116.1407675 40.2565352),,,,,,,
node,6843804584,parking,-1,地下停车库入口,underground,no,POINT (116.1403045 40.2571794),,,,,,,
node,7759502678,parking,-1,,underground,,POINT (116.144999 40.2492775),private,,,,,,
node,7759502679,parking,-1,,underground,,POINT (116.1460106 40.2492732),private,,,,,,
node,9174041484,parking,-1,,underground,,POINT (116.1454559 40.2528017),private,,,,,,
way,673283213,parking,,,,,"POLYGON ((116.1394216 40.2515987, 116.1394187 40.2517622, 116.1388629 40.2517564, 116.1388658 40.2515929, 116.1394216 40.2515987))",,"[6305175827, 6305175828, 6305175829, 6305175830, 6305175827]",,,,,
way,673283214,parking,,,,,"POLYGON ((116.1387759 40.2520077, 116.1395841 40.252014, 116.1395864 40.2518439, 116.1387782 40.2518376, 116.1387759 40.2520077))",,"[6305175831, 6305175832, 6305175833, 6305175834, 6305175831]",,,,,
way,673283215,parking,,,,,"POLYGON ((116.1434497 40.2461547, 116.1433382 40.2461236, 116.1432812 40.2460904, 116.1432159 40.2460385, 116.143167 40.2459742, 116.1430991 40.245912, 116.1430963 40.2457252, 116.1432051 40.2458497, 116.143292 40.2458954, 116.1434116 40.2459763, 116.1434497 40.2460115, 116.1434497 40.2461547))",,"[6305175835, 6305175836, 6305175837, 6305175838, 6305175839, 6305175840, 6305175841, 6305175842, 6305175843, 6305175844, 6305175845, 6305175835]",,,,,
way,730658902,parking,,,,,"POLYGON ((116.1423079 40.25682, 116.1423297 40.2565746, 116.1430066 40.2565988, 116.1429848 40.2568503, 116.1423079 40.25682))",,"[6843884985, 6843884986, 6843884987, 6843884988, 6843884985]",,,,,
way,831018727,parking,,,,,"POLYGON ((116.1455013 40.2531556, 116.1456656 40.2526449, 116.1459306 40.2526922, 116.1457655 40.2531961, 116.1457524 40.2532071, 116.1455013 40.2531556))",,"[7759502682, 7759502683, 7759502684, 7780082289, 7759506485, 7759502682]",,,,,
relation,13237061,parking,,,surface,,"MULTIPOLYGON (((116.1487231 40.2481739, 116.1487131 40.2481364, 116.1483216 40.2481253, 116.1483186 40.2486833, 116.1483198 40.2487193, 116.1483467 40.2487439, 116.1484571 40.2487442, 116.148462 40.2488022, 116.1487149 40.2488022, 116.1487231 40.2481739)), ((116.1487245 40.2480744, 116.1487711 40.2480757, 116.1487813 40.2476395, 116.1487199 40.2475076, 116.1483304 40.2475095, 116.1483155 40.2480733, 116.1487245 40.2480744)))",permit,"[[[7759808711, 7759808712, 7588367142, 7588367143, 6305158644, 7588367138, 7759808711], [7759808710, 9105666640, 7588367125, 7759808706, 7759808707, 7588367140, 7759808705, 7759808704, 7588367141, 7759808710]]]","[812421546, 984911653]",yes,no,unpaved,multipolygon
