element_type,osmid,nodes,building,geometry
way,297323391,"[3011982477, 3011982478, 3011982479, 3011982480, 3011982481, 3011982482, 3011982483, 3011982484, 3011982485, 3011982486, 3011982487, 3011982488, 3011982477]",yes,"POLYGON ((116.4220355 39.9711515, 116.4220607 39.9705922, 116.4222498 39.9705972, 116.4222365 39.9708911, 116.422615 39.9709011, 116.4226279 39.9706165, 116.42281 39.9706214, 116.4227847 39.9711797, 116.4225714 39.9711741, 116.4225769 39.9710533, 116.4222371 39.9710443, 116.422232 39.9711567, 116.4220355 39.9711515))"
way,297323392,"[3011982489, 3011982490, 3011982491, 3011982492, 3011982489]",yes,"POLYGON ((116.4219132 39.9704734, 116.4219192 39.9701494, 116.4228195 39.9701592, 116.4228135 39.9704832, 116.4219132 39.9704734))"
way,1086021016,"[9951082347, 9951082348, 9951082349, 9951082350, 9951082347]",yes,"POLYGON ((116.419636 39.9711266, 116.4196411 39.9709695, 116.4206941 39.97099, 116.4206889 39.9711469, 116.419636 39.9711266))"
way,1086021017,"[9951082351, 9951082352, 9951082353, 9951082354, 9951082351]",yes,"POLYGON ((116.4206832 39.9706797, 116.4206886 39.9705509, 116.4199614 39.9705332, 116.419956 39.9706619, 116.4206832 39.9706797))"
way,1086021018,"[9951082355, 9951082356, 9951082357, 9951082358, 9951082355]",yes,"POLYGON ((116.4201609 39.9702837, 116.4201662 39.9701645, 116.4207106 39.9701785, 116.4207053 39.9702978, 116.4201609 39.9702837))"
way,1086021019,"[9951082359, 9951082360, 9951082361, 9951082362, 9951082359]",yes,"POLYGON ((116.4207167 39.9699597, 116.420722 39.9698404, 116.4200135 39.9698221, 116.4200082 39.9699412, 116.4207167 39.9699597))"
way,1086021021,"[9951082367, 9951082368, 9951082373, 9951082376, 9951082375, 9951082374, 9951082369, 9951082370, 9951082372, 9951082377, 9951082378, 9951082371, 9951082367]",yes,"POLYGON ((116.4199956 39.9696871, 116.4200109 39.9693252, 116.4201596 39.9693289, 116.4201551 39.9694355, 116.4207876 39.9694512, 116.4207924 39.9693374, 116.4209363 39.969341, 116.4209212 39.9696966, 116.4207778 39.969693, 116.4207824 39.9695851, 116.4201468 39.9695691, 116.4201416 39.9696908, 116.4199956 39.9696871))"
way,1086021022,"[9951082379, 9951082380, 9951082381, 9951082382, 9951082383, 9951082384, 9951082385, 9951082386, 9951082387, 9951082388, 9951082389, 9951082390, 9951082379]",yes,"POLYGON ((116.4218664 39.9697423, 116.4218817 39.9693804, 116.4220304 39.9693841, 116.4220259 39.9694907, 116.4226584 39.9695064, 116.4226632 39.9693926, 116.4227051 39.9691344, 116.422792 39.9697518, 116.4226486 39.9697482, 116.4226532 39.9696403, 116.4220176 39.9696243, 116.4220124 39.969746, 116.4218664 39.9697423))"
way,1086021023,"[9951082391, 9951082392, 9951082393, 9951082394, 9951082391]",yes,"POLYGON ((116.4217272 39.9696669, 116.4217332 39.9695296, 116.4210079 39.969511, 116.4210019 39.9696482, 116.4217272 39.9696669))"
way,1086021024,"[9951082395, 9951082396, 9951082397, 9951082398, 9951082399, 9951082400, 9951082401, 9951082402, 9951082403, 9951082404, 9951082405, 9951082406, 9951082395]",yes,"POLYGON ((116.4208089 39.9691319, 116.42083 39.9687695, 116.420972 39.9687744, 116.4209657 39.9688823, 116.4218591 39.968913, 116.4218665 39.9687865, 116.4220182 39.9687917, 116.4219965 39.9691616, 116.4218416 39.9691563, 116.421848 39.9690471, 116.4209701 39.969017, 116.4209631 39.9691372, 116.4208089 39.9691319))"
way,1086021025,"[9951082407, 9951082408, 9951082409, 9951082410, 9951082407]",yes,"POLYGON ((116.4231248 39.9693074, 116.4231286 39.969174, 116.4240645 39.9691895, 116.4240607 39.9693228, 116.4231248 39.9693074))"
way,1086214067,"[9952802252, 9952802253, 9952802254, 9952802255, 9952802256, 9952802257, 9952802252]",yes,"POLYGON ((116.4230769 39.9701474, 116.4230859 39.9699816, 116.4238433 39.9700057, 116.4238629 39.9696448, 116.4240671 39.9696513, 116.4240388 39.9701778, 116.4230769 39.9701474))"
way,1086214068,"[9952802258, 9952802259, 9952802260, 9952802261, 9952802262, 9952802263, 9952802258]",yes,"POLYGON ((116.4242217 39.9700253, 116.4242372 39.9695489, 116.4247806 39.9695593, 116.4247769 39.9696707, 116.4244025 39.9696635, 116.4243905 39.9700285, 116.4242217 39.9700253))"
way,1086214069,"[9952802264, 9952802265, 9952802266, 9952802267, 9952802264]",yes,"POLYGON ((116.4248585 39.9706617, 116.4248538 39.9703115, 116.4251618 39.9703091, 116.4251664 39.9706593, 116.4248585 39.9706617))"
