u,v,key,osmid,highway,oneway,reversed,length,geometry
1361147473,8266387874,0,121651044,service,False,False,17.748,"LINESTRING (116.4229106 39.9692784, 116.4229079 39.969438)"
1361147473,8266387843,0,121651044,service,False,True,49.315,"LINESTRING (116.4229106 39.9692784, 116.4229279 39.9688351)"
1361147473,8266387845,0,889164901,service,False,False,260.928,"LINESTRING (116.4229106 39.9692784, 116.4212984 39.9692324, 116.4198499 39.9692242)"
8266387843,1361147473,0,121651044,service,False,False,49.315,"LINESTRING (116.4229279 39.9688351, 116.4229106 39.9692784)"
8266387843,8962820677,0,121651044,service,False,True,100.111,"LINESTRING (116.4229279 39.9688351, 116.424102 39.9688651)"
8266387843,9951082412,0,1086021027,service,False,True,249.51600000000002,"LINESTRING (116.4229279 39.9688351, 116.4228704 39.9687642, 116.420053 39.9686913)"
8266387845,1361147473,0,889164901,service,False,True,260.928,"LINESTRING (116.4198499 39.9692242, 116.4212984 39.9692324, 116.4229106 39.9692784)"
8266387845,9951082412,0,"[1086021027, 968760348]",service,False,False,75.22,"LINESTRING (116.4198499 39.9692242, 116.4198706 39.9686878, 116.420053 39.9686913)"
8266387874,9952802285,0,121651044,service,False,False,115.132,"LINESTRING (116.4229079 39.969438, 116.4228809 39.9704732)"
8266387874,1361147473,0,121651044,service,False,True,17.748,"LINESTRING (116.4229079 39.969438, 116.4229106 39.9692784)"
8266387874,9952802297,0,889164900,service,False,True,102.834,"LINESTRING (116.4229079 39.969438, 116.4237808 39.9694545, 116.4241141 39.9694642)"
8962820677,8266387843,0,121651044,service,False,False,100.111,"LINESTRING (116.424102 39.9688651, 116.4229279 39.9688351)"
8962820677,9952802299,0,1086214076,service,False,False,13.571,"LINESTRING (116.424102 39.9688651, 116.4240943 39.9687432)"
8962820677,9952802297,0,1086214076,service,False,True,66.643,"LINESTRING (116.424102 39.9688651, 116.4241145 39.9690625, 116.4241141 39.9694642)"
9951082412,8266387843,0,1086021027,service,False,False,249.51600000000002,"LINESTRING (116.420053 39.9686913, 116.4228704 39.9687642, 116.4229279 39.9688351)"
9951082412,8266387845,0,"[1086021027, 968760348]",service,False,True,75.22,"LINESTRING (116.420053 39.9686913, 116.4198706 39.9686878, 116.4198499 39.9692242)"
9952802284,9952802285,0,1086214073,service,False,False,91.555,"LINESTRING (116.423955 39.9704916, 116.4228809 39.9704732)"
9952802285,8266387874,0,121651044,service,False,True,115.132,"LINESTRING (116.4228809 39.9704732, 116.4229079 39.969438)"
9952802285,9952802284,0,1086214073,service,False,True,91.555,"LINESTRING (116.4228809 39.9704732, 116.423955 39.9704916)"
9952802285,9952802286,0,1086214073,service,False,False,79.768,"LINESTRING (116.4228809 39.9704732, 116.4228397 39.9705134, 116.4219704 39.9705059)"
9952802286,9952802285,0,1086214073,service,False,True,79.768,"LINESTRING (116.4219704 39.9705059, 116.4228397 39.9705134, 116.4228809 39.9704732)"
9952802296,9952802297,0,1086214076,service,False,False,107.736,"LINESTRING (116.424063 39.9704323, 116.4241141 39.9694642)"
9952802297,9952802296,0,1086214076,service,False,True,107.736,"LINESTRING (116.4241141 39.9694642, 116.424063 39.9704323)"
9952802297,8266387874,0,889164900,service,False,False,102.834,"LINESTRING (116.4241141 39.9694642, 116.4237808 39.9694545, 116.4229079 39.969438)"
9952802297,8962820677,0,1086214076,service,False,False,66.643,"LINESTRING (116.4241141 39.9694642, 116.4241145 39.9690625, 116.424102 39.9688651)"
9952802299,8962820677,0,1086214076,service,False,True,13.571,"LINESTRING (116.4240943 39.9687432, 116.424102 39.9688651)"
