element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fixme,nodes,amenity,cuisine,internet_access,internet_access:fee,name:en,outdoor_seating,shop,building:levels,office,fast_food,healthcare,healthcare:speciality,website
node,4017485636,yes,游泳馆,游泳馆,游泳馆,游泳館,POINT (116.3545368 39.9604626),,,,,,,,,,,,,,,
node,4017485637,yes,球类馆,球类馆,球类馆,球類館,POINT (116.3539088 39.9608008),,,,,,,,,,,,,,,
node,4017491039,yes,北京邮电大学出版社,北京邮电大学出版社,北京邮电大学出版社,北京郵電大學出版社,POINT (116.3547931 39.9568855),building inside building - reconcile names?,,,,,,,,,,,,,,
way,253330141,university,教二楼,教二楼,教二楼,教二樓,"POLYGON ((116.3512908 39.9593013, 116.3514873 39.9593013, 116.3515019 39.9591953, 116.3522369 39.9592121, 116.3522515 39.9593236, 116.3524261 39.9593292, 116.3524552 39.9589889, 116.3522587 39.9589889, 116.3522442 39.9590503, 116.3520297 39.9590437, 116.3515164 39.959028, 116.3515092 39.9589778, 116.3513054 39.9589611, 116.3512908 39.9593013))",,"[2592706121, 2592706122, 2592706124, 2592706125, 2592706126, 2592706128, 2592706129, 2592706130, 2592706131, 4017475286, 2592706132, 2592706133, 2592706134, 2592706121]",,,,,,,,,,,,,
way,265030100,house,国际汉语培训中心,国际汉语培训中心,国际汉语培训中心,國際漢語培訓中心,"POLYGON ((116.3497445 39.9630181, 116.349747 39.9629865, 116.3497575 39.9628584, 116.3499023 39.9628588, 116.3498949 39.963022, 116.3497445 39.9630181))",,"[2706823953, 4017527719, 2706823954, 2706823955, 2706823956, 2706823953]",,,,,,,,,,,,,
way,265030101,house,学生发展中心,学生发展中心,学生发展中心,學生發展中心,"POLYGON ((116.3513673 39.9621647, 116.3513767 39.9619579, 116.3520127 39.9619747, 116.3520033 39.9621816, 116.3513673 39.9621647))",,"[2706823957, 2706823958, 2706823959, 2706823960, 2706823957]",,,,,,,,,,,,,
way,265030102,yes,Maan Coffee,,,,"POLYGON ((116.3512721 39.9623715, 116.3512858 39.9622028, 116.3514165 39.9622071, 116.3514048 39.9623786, 116.3512721 39.9623715))",,"[2706823961, 2706823962, 2706823963, 2706823964, 2706823961]",cafe,coffee_shop,wlan,no,Maan Coffee,yes,,,,,,,
way,265030103,house,留学生2号公寓,留学生2号公寓,留学生2号公寓,留學生2號公寓,"POLYGON ((116.3489514 39.9628792, 116.349111 39.9628792, 116.3491274 39.9622707, 116.3489558 39.9622583, 116.3489514 39.9628792))",,"[2706823965, 2706823966, 2706823967, 2706823968, 2706823965]",,,,,,,,,,,,,
way,265030104,house,学生13号公寓,学生13号公寓,学生13号公寓,學生13號公寓,"POLYGON ((116.3489745 39.9621884, 116.3491167 39.9621864, 116.3491837 39.9611502, 116.3490443 39.9611379, 116.3489745 39.9621884))",,"[2706823969, 2706823970, 2706823971, 2706823972, 2706823969]",,,,,,,,,,,,,
way,265030105,house,学生5号公寓,学生5号公寓,学生5号公寓,學生5號公寓,"POLYGON ((116.3493156 39.962097, 116.3493289 39.9619589, 116.3500108 39.9619777, 116.3500009 39.9621153, 116.3497087 39.9621197, 116.3495948 39.9621092, 116.3493156 39.962097))",,"[2706823973, 2706823974, 2706823975, 2706823976, 2706823977, 2706823980, 2706823973]",,,,,,,,,,,,,
