u,v,key,osmid,highway,oneway,reversed,length,geometry,service
1226520217,4017824618,0,399053824,service,False,True,42.114,"LINESTRING (116.3512011 39.9571448, 116.3511876 39.9575234)",
1226520217,4017893147,0,399053825,service,False,False,53.57,"LINESTRING (116.3512011 39.9571448, 116.3518296 39.9571433)",
1226520217,4017824613,0,344376660,service,False,True,101.89699999999999,"LINESTRING (116.3512011 39.9571448, 116.3511114 39.9571419, 116.350262 39.9571419, 116.3502549 39.9573383)",
1226520237,1226520273,0,106617841,service,False,False,126.582,"LINESTRING (116.3510338 39.9609281, 116.3525175 39.9609793)",
1226520237,4017578103,0,106617841,service,False,True,79.679,"LINESTRING (116.3510338 39.9609281, 116.3501004 39.9608878)",
1226520237,4017840115,0,399048646,service,False,True,53.499,"LINESTRING (116.3510338 39.9609281, 116.3510073 39.9614088)",
1226520237,4017840114,0,399048649,service,False,False,64.779,"LINESTRING (116.3510338 39.9609281, 116.351052 39.9603457)",
1226520254,4121570006,0,399047784,service,False,False,42.049,"LINESTRING (116.3524682 39.9619767, 116.3524825 39.9615987)",
1226520254,8973662959,0,399047785,service,False,True,35.63,"LINESTRING (116.3524682 39.9619767, 116.3524524 39.9622969)",
1226520254,5184510887,0,106617839,service,False,True,104.658,"LINESTRING (116.3524682 39.9619767, 116.3520363 39.9619586, 116.3513982 39.9619463, 116.3512411 39.9619441)",
1226520260,2857344072,0,106617839,service,False,False,115.111,"LINESTRING (116.3493082 39.9608725, 116.3492546 39.9619069)",
1226520260,4017578103,0,106617841,service,False,False,67.54,"LINESTRING (116.3493082 39.9608725, 116.3501004 39.9608878)",
1226520260,4017834791,0,399047781,service,False,False,63.363,"LINESTRING (116.3493082 39.9608725, 116.3493338 39.960303)",
1226520273,4017824627,0,106617841,service,False,False,51.145,"LINESTRING (116.3525175 39.9609793, 116.3531173 39.9609937)",
1226520273,1226520237,0,106617841,service,False,True,126.582,"LINESTRING (116.3525175 39.9609793, 116.3510338 39.9609281)",
1226520273,4121570006,0,399047784,service,False,True,68.939,"LINESTRING (116.3525175 39.9609793, 116.3524825 39.9615987)",
1226520273,4017840117,0,399048291,service,False,False,40.678,"LINESTRING (116.3525175 39.9609793, 116.3525453 39.9606141)",
1226520295,5184510887,0,106617839,service,False,False,22.12,"LINESTRING (116.3509816 39.9619405, 116.3512411 39.9619441)",
1226520295,4017578100,0,106617839,service,False,True,78.823,"LINESTRING (116.3509816 39.9619405, 116.3500568 39.9619329)",
1226520295,4017840115,0,399048646,service,False,False,59.163,"LINESTRING (116.3509816 39.9619405, 116.3510073 39.9614088)",
1226520295,4017578102,0,399048646,service,False,True,51.007,"LINESTRING (116.3509816 39.9619405, 116.3509594 39.9623989)",
2463866299,2463866300,0,238564276,footway,False,True,67.503,"LINESTRING (116.3493692 39.9597728, 116.3501595 39.9598126)",
2463866299,4017824624,0,399047066,service,False,False,51.246,"LINESTRING (116.3493692 39.9597728, 116.3493792 39.959312)",
2463866299,4017834791,0,399047781,service,False,True,59.033,"LINESTRING (116.3493692 39.9597728, 116.3493338 39.960303)",
2463866300,2463866299,0,238564276,footway,False,False,67.503,"LINESTRING (116.3501595 39.9598126, 116.3493692 39.9597728)",
2463866300,4017437062,0,399004971,path,False,False,79.174,"LINESTRING (116.3501595 39.9598126, 116.3510875 39.9598447)",
2463866300,4017834790,0,399047777,track,False,False,54.15,"LINESTRING (116.3501595 39.9598126, 116.3501709 39.9593257)",
2463866300,8821671892,0,399047777,track,False,True,56.79,"LINESTRING (116.3501595 39.9598126, 116.3501448 39.9603232)",
2857344066,4017893147,0,399053826,service,False,False,14.36,"LINESTRING (116.3518339 39.9570142, 116.3518296 39.9571433)",
2857344066,2857344067,0,399047056,service,False,False,87.654,"LINESTRING (116.3518339 39.9570142, 116.3526727 39.9569981, 116.3526763 39.9571432)",
2857344066,4017824612,0,399047056,service,False,True,236.769,"LINESTRING (116.3518339 39.9570142, 116.3494317 39.9570299, 116.3494217 39.9573177)",
2857344067,4017911125,0,399053825,service,False,True,12.045,"LINESTRING (116.3526763 39.9571432, 116.352535 39.9571416)",
2857344067,8973662971,0,969718473,service,False,False,35.332,"LINESTRING (116.3526763 39.9571432, 116.3530908 39.9571473)",
2857344067,2857344066,0,399047056,service,False,True,87.654,"LINESTRING (116.3526763 39.9571432, 116.3526727 39.9569981, 116.3518339 39.9570142)",
2857344069,4017832023,0,106617841,service,False,False,41.002,"LINESTRING (116.3542224 39.9610165, 116.3547033 39.9610265)",
2857344069,4017824627,0,106617841,service,False,True,94.221,"LINESTRING (116.3542224 39.9610165, 116.3531173 39.9609937)",
2857344069,2857344071,0,281751526,service,False,True,70.743,"LINESTRING (116.3542224 39.9610165, 116.3541734 39.9616516)",
2857344071,2857344069,0,281751526,service,False,False,70.743,"LINESTRING (116.3541734 39.9616516, 116.3542224 39.9610165)",
2857344071,4017924041,0,281751526,service,False,True,47.347,"LINESTRING (116.3541734 39.9616516, 116.3536182 39.9616368)",
2857344071,4017931889,0,399056765,service,False,True,53.143,"LINESTRING (116.3541734 39.9616516, 116.3541472 39.9621291)",
2857344071,4017931891,0,399057338,service,False,False,41.89,"LINESTRING (116.3541734 39.9616516, 116.3546647 39.9616626)",
2857344072,4017578100,0,106617839,service,False,False,68.431,"LINESTRING (116.3492546 39.9619069, 116.3500568 39.9619329)",
2857344072,1226520260,0,106617839,service,False,True,115.111,"LINESTRING (116.3492546 39.9619069, 116.3493082 39.9608725)",
2857344072,4017578101,0,399057342,service,False,True,49.499,"LINESTRING (116.3492546 39.9619069, 116.3492457 39.962352)",
2857344074,5184510898,0,281751523,service,False,True,104.89,"LINESTRING (116.352445 39.9624461, 116.3512153 39.9624079)",
2857344074,8973662959,0,399047785,service,False,False,16.602,"LINESTRING (116.352445 39.9624461, 116.3524524 39.9622969)",
2857344074,5184436001,0,399047785,service,False,True,64.155,"LINESTRING (116.352445 39.9624461, 116.3524039 39.9630222)",
3511265494,3511265495,0,344376660,service,False,False,80.238,"LINESTRING (116.351151 39.9583869, 116.3502096 39.9583896)",
3511265494,3511265499,0,399047063,service,False,False,112.595,"LINESTRING (116.351151 39.9583869, 116.352472 39.9583794)",
3511265494,4017893148,0,399053824,service,False,False,40.405,"LINESTRING (116.351151 39.9583869, 116.3511657 39.9580237)",
3511265494,8821671891,0,399048653,service,False,True,43.909000000000006,"LINESTRING (116.351151 39.9583869, 116.351143 39.9585544, 116.3511287 39.9587814)",
3511265495,4017824617,0,344376660,service,False,False,27.276,"LINESTRING (116.3502096 39.9583896, 116.3502255 39.9581446)",
3511265495,3511265494,0,344376660,service,False,True,80.238,"LINESTRING (116.3502096 39.9583896, 116.351151 39.9583869)",
3511265495,4017824616,0,"[399047056, 399054971]",service,False,"[False, True]",98.19900000000001,"LINESTRING (116.3502096 39.9583896, 116.3493835 39.9583773, 116.3493992 39.9581278)",
3511265498,8821671891,0,399047064,service,False,True,115.973,"LINESTRING (116.3524885 39.9588188, 116.3511287 39.9587814)",
3511265498,4017824626,0,399047513,service,False,True,60.822,"LINESTRING (116.3524885 39.9588188, 116.3524656 39.9593655)",
3511265498,4017824625,0,"[399047064, 399055360]",service,False,"[False, True]",118.398,"LINESTRING (116.3524885 39.9588188, 116.353168 39.9588351, 116.3531552 39.9593787)",
