element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,leisure,wikidata,wikipedia,layer,building:levels,amenity,operator
way,320605372,"[3271935423, 3271935424, 3271935425, 5258122183, 3271935428, 9630668653, 3271935430, 3271935429, 3271935426, 3271935423]",university,科学楼,科学楼,科学楼,科學樓,"POLYGON ((116.4732588 39.8722633, 116.4739158 39.8722615, 116.473914 39.8718867, 116.474124 39.8718862, 116.4741225 39.8715585, 116.4734074 39.8715605, 116.4730571 39.8715614, 116.4730585 39.8718705, 116.473257 39.87187, 116.4732588 39.8722633))",,,,,,,
way,438877647,"[4365268620, 9630983029, 4365268634, 4365268621, 4365268622, 4365268623, 4365268624, 4365268625, 9630983030, 4365268626, 4365268627, 9630983032, 4365268628, 9630983031, 4365268629, 4365268630, 9630983033, 4365268631, 4365268632, 9630983034, 4365268633, 4365268620]",yes,北京工业大学体育馆,,,,"POLYGON ((116.4767635 39.8709249, 116.4767316 39.8710338, 116.476756 39.8711351, 116.4768634 39.8713269, 116.4770642 39.8715025, 116.4773611 39.8716153, 116.4776546 39.8716265, 116.4779029 39.871584, 116.4780351 39.8715381, 116.4781683 39.871476, 116.4783439 39.8713521, 116.4783972 39.8712108, 116.478356 39.8710774, 116.4782739 39.8709535, 116.478185 39.8708645, 116.4779456 39.8706973, 116.4777401 39.8706467, 116.4775235 39.8706232, 116.4772553 39.8706384, 116.4770615 39.870692, 116.4768816 39.8707862, 116.4767635 39.8709249))",sports_centre,Q2383237,en:Beijing University of Technology Gymnasium,,,,
way,438877648,"[4365268635, 4365268645, 4365268646, 4365268636, 9630976102, 4365268637, 9630976101, 9630976100, 4365268638, 9630976099, 4365268639, 4365268640, 4365268641, 4365268642, 9630976098, 4365268643, 9630976096, 4365268644, 9630976097, 4365268635]",yes,,,,,"POLYGON ((116.4784926 39.871715, 116.4786178 39.871741, 116.4787387 39.8717413, 116.4788329 39.8717097, 116.478927 39.8716637, 116.4789984 39.8715991, 116.4790423 39.8714908, 116.4790276 39.8714125, 116.479013 39.8713586, 116.4789484 39.8713189, 116.4788895 39.8712927, 116.4787394 39.8712737, 116.4785973 39.8713071, 116.4784459 39.8713766, 116.4783865 39.8714465, 116.478346 39.8715291, 116.4783396 39.8715937, 116.4783678 39.8716509, 116.4784254 39.8716945, 116.4784926 39.871715))",sports_centre,,,,,,
way,442376433,"[4400686146, 4400686149, 4400686156, 4400686155, 4400686159, 4400686154, 4400686142, 4400686139, 4400686140, 4400686141, 4400686143, 4400686146]",university,知新园,知新园,知新园,知新園,"POLYGON ((116.4745399 39.8736375, 116.47508 39.8736459, 116.4750973 39.873799, 116.4745493 39.8737965, 116.47443 39.8738797, 116.4743232 39.8737917, 116.47432 39.8734748, 116.4743687 39.873435, 116.4745305 39.873435, 116.4745807 39.87347, 116.4745838 39.8735893, 116.4745399 39.8736375))",,,,1,,,
way,442376435,"[4400686098, 4400686092, 4400686093, 4400686089, 4400684188, 4400684178, 4400684179, 4400684184, 4400684185, 4400684180, 4400684181, 4400684187, 4400684186, 4400686094, 4400686095, 4400686101, 4400686100, 4400686097, 4400686096, 4400686099, 4400686098]",university,经管楼,经管楼,经管楼,經管樓,"POLYGON ((116.4716199 39.8723364, 116.4716202 39.8721876, 116.4718994 39.8721879, 116.4718997 39.872015, 116.4716168 39.8720147, 116.4716171 39.8718525, 116.4719884 39.8718529, 116.4719882 39.8719532, 116.4722104 39.8719535, 116.4722106 39.8718707, 116.4724579 39.871871, 116.4724576 39.8720083, 116.4722821 39.8720081, 116.4722817 39.8721961, 116.4724571 39.8721963, 116.4724569 39.872344, 116.4722159 39.8723437, 116.472216 39.8722602, 116.4719891 39.8722599, 116.471989 39.8723368, 116.4716199 39.8723364))",,,,,,,
way,442376437,"[4400684164, 4400684166, 4400684167, 4400684165, 4400684164]",university,人文楼,人文楼,人文楼,人文樓,"POLYGON ((116.4758523 39.8706328, 116.475856 39.8710943, 116.4746594 39.8710999, 116.4746558 39.8706384, 116.4758523 39.8706328))",,,,,,,
way,442376439,"[4400686157, 4400686150, 4400686151, 4400686158, 4400686157]",apartments,学生宿舍7号楼,学生宿舍7号楼,学生宿舍7号楼,學生宿舍7號樓,"POLYGON ((116.4752664 39.8738108, 116.4752674 39.8736607, 116.4760156 39.8736636, 116.4760146 39.8738136, 116.4752664 39.8738108))",,,,,5,,
way,442376441,"[4400686109, 4400686108, 4400686102, 4400686103, 4400686109]",yes,奥运餐厅,奥运餐厅,奥运餐厅,奧運餐廳,"POLYGON ((116.4751148 39.8727233, 116.475965 39.87272, 116.4759631 39.8724217, 116.4751128 39.872425, 116.4751148 39.8727233))",,,,,,restaurant,
way,442376443,"[4400684176, 4400684174, 4400684175, 4400684177, 4400684176]",apartments,学生宿舍6号楼,学生宿舍6号楼,学生宿舍6号楼,學生宿舍6號樓,"POLYGON ((116.4747243 39.8716792, 116.4747248 39.8715566, 116.4754384 39.8715585, 116.4754378 39.8716811, 116.4747243 39.8716792))",,,,,,,
way,442376445,"[4400686136, 4400686132, 4400686131, 4400686135, 4400686136]",apartments,学生宿舍8号楼,学生宿舍8号楼,学生宿舍8号楼,學生宿舍8號樓,"POLYGON ((116.475264 39.8734122, 116.4752635 39.8732604, 116.476007 39.873259, 116.4760075 39.8734108, 116.475264 39.8734122))",,,,,5,,
