element_type,osmid,amenity,geometry,covered,nodes
node,7871792649,bicycle_parking,POINT (-118.1245373 34.1377172),,
node,7871792657,bicycle_parking,POINT (-118.1243355 34.1389689),,
node,7871792658,bicycle_parking,POINT (-118.1246033 34.139182),,
node,7871792666,bicycle_parking,POINT (-118.1248464 34.1394799),,
node,7871792673,bicycle_parking,POINT (-118.1242497 34.1396749),,
node,7871804581,bicycle_parking,POINT (-118.1268577 34.1367802),,
node,7871804603,bicycle_parking,POINT (-118.1265228 34.1367548),,
node,7871804614,bicycle_parking,POINT (-118.1257278 34.1380004),,
node,7871804615,bicycle_parking,POINT (-118.1264596 34.1392723),,
node,7871804616,bicycle_parking,POINT (-118.1264586 34.1391195),,
node,7871804642,bicycle_parking,POINT (-118.1263655 34.1370671),,
node,7871804693,bicycle_parking,POINT (-118.126484 34.1383748),,
node,7871804704,bicycle_parking,POINT (-118.1240654 34.1365124),,
node,7873878120,bicycle_parking,POINT (-118.1249153 34.136512),,
node,7873878121,bicycle_parking,POINT (-118.1250272 34.1363949),,
node,7873893591,bicycle_parking,POINT (-118.1249993 34.1372617),,
node,7873893592,bicycle_parking,POINT (-118.1249884 34.1374524),,
node,7873893593,bicycle_parking,POINT (-118.1249102 34.1375008),,
node,7873893607,bicycle_parking,POINT (-118.1249173 34.1371758),,
node,7877009774,bicycle_parking,POINT (-118.124688 34.141299),,
node,9679059030,bicycle_parking,POINT (-118.1241076 34.1373033),no,
node,9679059031,bicycle_parking,POINT (-118.1240897 34.1374813),no,
node,9740631684,bicycle_parking,POINT (-118.1270612 34.1361443),,
node,10541878101,bicycle_parking,POINT (-118.1221364 34.1380525),,
node,10541878102,bicycle_parking,POINT (-118.1221757 34.1380555),,
node,10769439624,bicycle_parking,POINT (-118.1261189 34.1384014),,
way,1157991254,bicycle_parking,"POLYGON ((-118.1262688 34.1367396, -118.1262291 34.1367394, -118.1262303 34.1366205, -118.1262699 34.1366208, -118.1262688 34.1367396))",,"[10769222471, 10769222472, 7871804604, 10769222473, 10769222471]"
