u,v,key,osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,service,access,bridge
32639695,7871804598,0,70872455,Broad Walk,cycleway,False,False,8.956,,"LINESTRING (-118.1280038 34.1400702, -118.1279065 34.1400714)",,,,
32639695,4840741434,0,192368811,South Wilson Avenue,tertiary,False,False,8.441,,"LINESTRING (-118.1280038 34.1400702, -118.1280052 34.1399943)",,,,
32639695,7375428725,0,192368811,South Wilson Avenue,tertiary,False,True,36.065,,"LINESTRING (-118.1280038 34.1400702, -118.1280154 34.1403944)",,,,
122978428,10769441913,0,44661231,,cycleway,False,False,4.878,5 mph,"LINESTRING (-118.1259544 34.1400424, -118.1259452 34.1399992)",,,,
122978428,10769441915,0,843856996,,service,False,False,5.845,5 mph,"LINESTRING (-118.1259544 34.1400424, -118.125891 34.1400393)",,,,
122978428,844352112,0,1192252539,Broad Walk,service,False,True,6.757,15 mph,"LINESTRING (-118.1259544 34.1400424, -118.1260257 34.1400279)",,,,
122978428,844352215,0,1192252540,South Michigan Avenue,unclassified,False,True,6.43,15 mph,"LINESTRING (-118.1259544 34.1400424, -118.1259466 34.1400737, -118.1259431 34.1400994)",,,,
566600594,566601748,0,24723426,East California Boulevard,tertiary,False,False,19.07,30 mph,"LINESTRING (-118.126696 34.1359113, -118.1264888 34.1359106)",2,,,
566600594,566601749,0,24723426,East California Boulevard,tertiary,False,True,11.81,30 mph,"LINESTRING (-118.126696 34.1359113, -118.1268243 34.1359133)",2,,,
566600599,7871804589,0,44634941,,footway,False,False,7.341,,"LINESTRING (-118.1277299 34.1370264, -118.1277281 34.1370924)",,,,
566600599,571720382,0,44634941,,footway,False,True,16.413,,"LINESTRING (-118.1277299 34.1370264, -118.1277288 34.1368788)",,,,
566600599,566601570,0,1158015710,,footway,False,False,11.661999999999999,,"LINESTRING (-118.1277299 34.1370264, -118.1278118 34.137026, -118.1278566 34.1370253)",,,,
566600599,10769457295,0,"[1158015713, 45094836, 1158015710]",,"['steps', 'footway']",False,True,9.778,,"LINESTRING (-118.1277299 34.1370264, -118.1277206 34.1370259, -118.1277103 34.1370257, -118.1276237 34.1370244)",,,,
566600601,7871804589,0,843856988,,footway,False,True,63.567,,"LINESTRING (-118.1276668 34.1376378, -118.1276762 34.1371145, -118.1277281 34.1370924)",,,,
566600601,566600895,0,843856993,,cycleway,False,True,45.391,5 mph,"LINESTRING (-118.1276668 34.1376378, -118.1275148 34.1376872, -118.1274772 34.1376995, -118.1274252 34.137709, -118.1271893 34.137719)",,,,
566600627,566600633,0,44634944,,footway,False,False,26.267,,"LINESTRING (-118.125691 34.1385487, -118.1254056 34.1385477)",,,,
566600627,566601429,0,44635106,,cycleway,False,False,62.328,,"LINESTRING (-118.125691 34.1385487, -118.1256983 34.1379882)",,,,
566600627,566601428,0,44635106,,cycleway,False,True,37.163,,"LINESTRING (-118.125691 34.1385487, -118.1256875 34.1388829)",,,,
566600633,566600627,0,44634944,,footway,False,True,26.267,,"LINESTRING (-118.1254056 34.1385477, -118.125691 34.1385487)",,,,
566600633,566601432,0,44635107,,footway,False,False,61.791,,"LINESTRING (-118.1254056 34.1385477, -118.1254066 34.137992)",,,,
