element_type,osmid,amenity,parking,geometry,access,nodes,building,building:levels,fee,name,operator,operator:type,ref,addr:housenumber,addr:street,layer
way,30794560,parking,multi-storey,"POLYGON ((-118.1285923 34.1382132, -118.1281747 34.138215, -118.128175 34.138313, -118.128177 34.1389729, -118.1285932 34.138972, -118.1285923 34.1382132))",permit,"[340728980, 340728982, 4840741430, 340728983, 340728985, 340728980]",yes,4,yes,Parking Structure 2,Caltech,university,2,,,
way,30794564,parking,multi-storey,"POLYGON ((-118.1286266 34.139512, -118.128606 34.1395122, -118.1281745 34.1395157, -118.128179 34.1399006, -118.12818 34.1399934, -118.1281836 34.1402641, -118.1286355 34.1402604, -118.1286266 34.139512))",yes,"[340730009, 11068265069, 340730010, 4840741432, 4840741435, 340730011, 340730013, 340730009]",yes,,yes,Parking Structure 1,Caltech,university,1,,,
way,44634948,parking,,"POLYGON ((-118.1256502 34.1339807, -118.1253948 34.1339827, -118.1253456 34.1338568, -118.1253509 34.1336284, -118.1256471 34.1336288, -118.1256502 34.1339807))",,"[3704238398, 3704238399, 566600656, 566600657, 566600660, 3704238398]",,,,Lot 6,,,,,,
way,44635188,parking,,"POLYGON ((-118.1220131 34.1366126, -118.1219109 34.1366129, -118.1219116 34.1365112, -118.121428 34.1365123, -118.1214207 34.1360212, -118.1218214 34.1360183, -118.1221288 34.1360213, -118.122123 34.136228, -118.1220163 34.1362285, -118.1220131 34.1366126))",,"[566601725, 7867247153, 7867247152, 566601726, 566601727, 844352263, 844352081, 566601729, 844352255, 566601725]",,,,Athenaeum Parking Lot,,,,,,
way,44635196,parking,multi-storey,"POLYGON ((-118.1226101 34.1398664, -118.1224318 34.139867, -118.1222034 34.1398679, -118.122199 34.1390623, -118.1226056 34.1390608, -118.1226079 34.1394691, -118.1226101 34.1398664))",,"[566601755, 4003035631, 566601758, 566601760, 566601761, 844352177, 566601755]",yes,,,,,,,370,South Holliston Avenue,
way,44635204,parking,surface,"POLYGON ((-118.1257399 34.1400518, -118.12532 34.1400523, -118.1253173 34.1396365, -118.1255302 34.1396377, -118.1258461 34.1396364, -118.1258469 34.1397123, -118.1258922 34.139713, -118.1258884 34.1399587, -118.1257408 34.1399566, -118.1257399 34.1400518))",,"[844352088, 844352209, 844352150, 566601482, 566839548, 10769318147, 7871792671, 7871792670, 7871792669, 844352088]",,,,Lot 11,,,,,,
way,324978262,parking,underground,"POLYGON ((-118.1266781 34.1352965, -118.1259454 34.135296, -118.1259455 34.1351104, -118.1259458 34.1347842, -118.1259461 34.1341412, -118.1263744 34.1341413, -118.126374 34.1340671, -118.1263745 34.1340173, -118.1266791 34.1340174, -118.1266781 34.1352965))",yes,"[3316547060, 6900885085, 6900885090, 340724752, 340724753, 4840741436, 566600648, 4840741437, 3316547363, 3316547060]",,,yes,Parking Structure 3,,,3,,,-1
way,366446712,parking,,"POLYGON ((-118.1256122 34.134254, -118.1254246 34.134258, -118.1254245 34.1341807, -118.1253748 34.1341696, -118.1253748 34.1340913, -118.125667 34.1340946, -118.1256682 34.1341506, -118.1256121 34.1341808, -118.1256122 34.134254))",,"[3704238400, 3704238401, 7871804535, 7871804534, 3704238402, 3704238403, 7871804537, 7871804536, 3704238400]",,,,,,,,,,
way,366446718,parking,surface,"POLYGON ((-118.122312 34.1388265, -118.1222284 34.1388284, -118.1222269 34.1388746, -118.1221021 34.1388734, -118.1221011 34.138272, -118.1215793 34.1382692, -118.1215796 34.1381923, -118.1223134 34.1382009, -118.122312 34.1388265))",,"[3704238424, 10769661384, 10769661383, 3704238425, 3704238426, 3704238427, 3704238428, 10769661385, 3704238424]",,,,Lot 7,,,,,,
way,468518105,parking,,"POLYGON ((-118.1277911 34.1325908, -118.12597 34.1326033, -118.125972 34.132787, -118.1258468 34.1327896, -118.1258358 34.1325465, -118.1258883 34.132492, -118.1277864 34.1324786, -118.1277911 34.1325908))",,"[7871804504, 7867312266, 7871804513, 7871804512, 7871804502, 7871804514, 7871804505, 7871804504]",,,no,Tournament Park parking lot,,,,,,
way,1047787608,parking,,"POLYGON ((-118.1266391 34.1404855, -118.1260678 34.1404888, -118.1260584 34.1401203, -118.1266391 34.1401214, -118.1266391 34.1404855))",,"[9634954240, 9634954241, 9634954242, 9634954243, 9634954240]",,,,,,,,,,
way,1058026918,parking,,"POLYGON ((-118.1227559 34.1402634, -118.1221511 34.1402713, -118.1221409 34.1404245, -118.1227572 34.140418, -118.1227559 34.1402634))",,"[9721748701, 9721748702, 9721748698, 9721748697, 9721748701]",,,,,,,,,,
way,1158011060,parking,,"POLYGON ((-118.1258291 34.1407152, -118.1257664 34.1407139, -118.1257664 34.1407725, -118.1252927 34.1407787, -118.1252975 34.1407125, -118.1252326 34.1407103, -118.1252299 34.140368, -118.12537 34.1403649, -118.1253705 34.1404146, -118.1258281 34.1404146, -118.1258291 34.1407152))",,"[10769439665, 10769439666, 10769439667, 10769439668, 10769439669, 10769439670, 10769439671, 10769439672, 10769439673, 10769439674, 10769439665]",,,,,,,,,,
