u,v,key,osmid,highway,oneway,reversed,length,geometry
2875766596,9702184492,0,394899738,service,False,True,108.598,"LINESTRING (116.3034588 39.9298347, 116.3034477 39.929951, 116.3023262 39.9299436)"
2875766597,9702184488,0,283743434,service,True,False,16.825,"LINESTRING (116.3034695 39.9290908, 116.3034673 39.9292421)"
2875767598,2875767599,0,283743695,service,False,False,125.302,"LINESTRING (116.2981973 39.930298, 116.2967284 39.9302652)"
2875767598,3977910585,0,"[394899736, 283743694]",service,False,"[False, True]",254.764,"LINESTRING (116.2981973 39.930298, 116.2982095 39.9292897, 116.2982229 39.9281833, 116.2982004 39.9280078)"
2875767598,3977910599,0,"[394899740, 283743695]","['service', 'path']",False,True,101.735,"LINESTRING (116.2981973 39.930298, 116.2992175 39.9303022, 116.2992522 39.9301723)"
2875767599,2875767598,0,283743695,service,False,True,125.302,"LINESTRING (116.2967284 39.9302652, 116.2981973 39.930298)"
2875797744,3977910582,0,283745314,service,False,True,177.323,"LINESTRING (116.2972217 39.9291828, 116.297221 39.9275881)"
3977910582,2875797744,0,283745314,service,False,False,177.323,"LINESTRING (116.297221 39.9275881, 116.2972217 39.9291828)"
3977910582,3977910585,0,394899736,service,False,False,119.45599999999999,"LINESTRING (116.297221 39.9275881, 116.2979698 39.9275841, 116.2979912 39.9278762, 116.2982004 39.9280078)"
3977910585,9702164991,0,394899737,service,False,False,36.564,"LINESTRING (116.2982004 39.9280078, 116.2986292 39.9280086)"
3977910585,2875767598,0,"[394899736, 283743694]",service,False,"[False, True]",254.764,"LINESTRING (116.2982004 39.9280078, 116.2982229 39.9281833, 116.2982095 39.9292897, 116.2981973 39.930298)"
3977910585,3977910582,0,394899736,service,False,True,119.45599999999999,"LINESTRING (116.2982004 39.9280078, 116.2979912 39.9278762, 116.2979698 39.9275841, 116.297221 39.9275881)"
3977910586,9702164993,0,394899737,service,False,True,78.739,"LINESTRING (116.300491 39.9280119, 116.2995676 39.9280102)"
