osmid,y,x,street_count,geometry
2875766596,39.9298347,116.3034588,2,POINT (116.3034588 39.9298347)
2875766597,39.9290908,116.3034695,3,POINT (116.3034695 39.9290908)
2875767598,39.930298,116.2981973,4,POINT (116.2981973 39.930298)
2875767599,39.9302652,116.2967284,1,POINT (116.2967284 39.9302652)
2875797744,39.9291828,116.2972217,1,POINT (116.2972217 39.9291828)
3977910582,39.9275881,116.297221,3,POINT (116.297221 39.9275881)
3977910585,39.9280078,116.2982004,3,POINT (116.2982004 39.9280078)
3977910586,39.9280119,116.300491,3,POINT (116.300491 39.9280119)
3977910588,39.9278283,116.3028676,3,POINT (116.3028676 39.9278283)
3977910590,39.9280097,116.2992626,3,POINT (116.2992626 39.9280097)
3977910599,39.9301723,116.2992522,3,POINT (116.2992522 39.9301723)
3977910601,39.9299354,116.3010776,3,POINT (116.3010776 39.9299354)
3977910603,39.9282332,116.3010572,3,POINT (116.3010572 39.9282332)
9702164985,39.9273588,116.3027642,1,POINT (116.3027642 39.9273588)
9702164991,39.9280086,116.2986292,3,POINT (116.2986292 39.9280086)
9702164992,39.9272895,116.2995464,3,POINT (116.2995464 39.9272895)
9702164993,39.9280102,116.2995676,3,POINT (116.2995676 39.9280102)
9702164994,39.9276459,116.2995569,3,POINT (116.2995569 39.9276459)
9702164995,39.9276461,116.2986185,3,POINT (116.2986185 39.9276461)
9702164999,39.9282364,116.3034682,3,POINT (116.3034682 39.9282364)
9702184484,39.928981,116.3034693,3,POINT (116.3034693 39.928981)
9702184485,39.928981,116.3029207,3,POINT (116.3029207 39.928981)
9702184487,39.9287032,116.3023541,4,POINT (116.3023541 39.9287032)
9702184488,39.9292421,116.3034673,3,POINT (116.3034673 39.9292421)
9702184489,39.929253,116.3029361,3,POINT (116.3029361 39.929253)
9702184491,39.929472,116.3023276,4,POINT (116.3023276 39.929472)
9702184492,39.9299436,116.3023262,3,POINT (116.3023262 39.9299436)
9702184493,39.9282146,116.3023477,3,POINT (116.3023477 39.9282146)
9702184494,39.9294621,116.3010719,3,POINT (116.3010719 39.9294621)
9702184495,39.9287518,116.3010634,3,POINT (116.3010634 39.9287518)
