u,v,key,osmid,highway,oneway,reversed,length,name,access,geometry,width
328538095,5771614601,0,136728280,residential,False,False,120.134,,,"LINESTRING (116.342163 39.9897435, 116.3422055 39.9886636)",
328538095,5263985209,0,136728280,residential,False,True,76.715,,,"LINESTRING (116.342163 39.9897435, 116.3421565 39.9904334)",
328538095,4355306936,0,244249229,residential,False,False,77.251,主马路,no,"LINESTRING (116.342163 39.9897435, 116.3430689 39.989774)",
328538095,5263985208,0,244249229,residential,False,True,89.277,主马路,no,"LINESTRING (116.342163 39.9897435, 116.3411155 39.9897204)",
328544333,6163158426,0,29813003,residential,False,False,98.163,,,"LINESTRING (116.3373197 39.9896367, 116.3372649 39.9905185)",
328544333,2269053369,0,437945148,residential,False,False,46.124,,,"LINESTRING (116.3373197 39.9896367, 116.3367793 39.9896114)",
328544333,6163158423,0,244249229,residential,False,False,113.78899999999999,主马路,no,"LINESTRING (116.3373197 39.9896367, 116.337417 39.9896388, 116.3386548 39.9896661)",
1367428417,1367428469,0,609321890,residential,False,True,198.507,,,"LINESTRING (116.3357699 39.9856002, 116.3356462 39.9873829)",
1367428417,1367428422,0,122345925,residential,False,False,39.586999999999996,,,"LINESTRING (116.3357699 39.9856002, 116.335816 39.9855995, 116.3362338 39.9856186)",
1367428422,1367428417,0,122345925,residential,False,True,39.586999999999996,,,"LINESTRING (116.3362338 39.9856186, 116.335816 39.9855995, 116.3357699 39.9856002)",
1367428469,1367428417,0,609321890,residential,False,False,198.507,,,"LINESTRING (116.3356462 39.9873829, 116.3357699 39.9856002)",
1367428469,2059690946,0,609321892,residential,False,True,123.165,,,"LINESTRING (116.3356462 39.9873829, 116.3370912 39.9874165)",
1367428469,1367428472,0,122345930,residential,False,True,105.233,,,"LINESTRING (116.3356462 39.9873829, 116.335618 39.9876464, 116.3355357 39.9876998, 116.3347542 39.9876731)",
1367428472,1367428469,0,122345930,residential,False,False,105.233,,,"LINESTRING (116.3347542 39.9876731, 116.3355357 39.9876998, 116.335618 39.9876464, 116.3356462 39.9873829)",
2059690946,6482076824,0,217610413,residential,False,True,35.986,,,"LINESTRING (116.3370912 39.9874165, 116.3370695 39.9877397)",
2059690946,1367428469,0,609321892,residential,False,False,123.165,,,"LINESTRING (116.3370912 39.9874165, 116.3356462 39.9873829)",
2059690946,6482076820,0,690857095,residential,False,True,100.493,,,"LINESTRING (116.3370912 39.9874165, 116.3371909 39.9874865, 116.3379117 39.9875155, 116.3379079 39.9877626)",
2269053369,328544333,0,437945148,residential,False,True,46.124,,,"LINESTRING (116.3367793 39.9896114, 116.3373197 39.9896367)",
2269053369,2269053371,0,217610413,residential,False,False,140.107,,,"LINESTRING (116.3367793 39.9896114, 116.3368243 39.9885419, 116.3370716 39.9885554)",
2269053369,4357248088,0,437945148,residential,False,False,80.127,,,"LINESTRING (116.3367793 39.9896114, 116.3359221 39.9895713, 116.3358498 39.9896005)",
2269053371,2269053372,0,217610413,residential,False,False,47.603,,,"LINESTRING (116.3370716 39.9885554, 116.3371037 39.988128)",
2269053371,6482076818,0,609319221,path,False,False,65.108,,,"LINESTRING (116.3370716 39.9885554, 116.3378356 39.9885698)",
2269053371,2269053369,0,217610413,residential,False,True,140.107,,,"LINESTRING (116.3370716 39.9885554, 116.3368243 39.9885419, 116.3367793 39.9896114)",
2269053372,2269053371,0,217610413,residential,False,True,47.603,,,"LINESTRING (116.3371037 39.988128, 116.3370716 39.9885554)",
2269053372,6482076822,0,690857096,unclassified,False,False,63.604,,,"LINESTRING (116.3371037 39.988128, 116.3378483 39.9881695)",
2269053372,6482076824,0,217610413,residential,False,False,48.552,,,"LINESTRING (116.3371037 39.988128, 116.3370434 39.9881296, 116.3370695 39.9877397)",
4355306925,5920057548,0,437731458,residential,False,False,74.88,,,"LINESTRING (116.3461185 39.9887873, 116.3460991 39.9889371, 116.3456759 39.9893473)",
4355306925,5920057551,0,437731459,residential,False,False,62.063,,,"LINESTRING (116.3461185 39.9887873, 116.346113 39.9886129, 116.3458188 39.9883024)",
4355306926,4355306928,0,244249229,residential,False,False,12.834,主马路,no,"LINESTRING (116.345247 39.9898386, 116.3453966 39.9898522)",
4355306926,4355306940,0,244249229,residential,False,True,96.554,主马路,no,"LINESTRING (116.345247 39.9898386, 116.3441143 39.9898091)",
4355306926,6968380279,0,437731458,residential,False,True,13.634,,,"LINESTRING (116.345247 39.9898386, 116.345336 39.9897367)",
4355306928,4355306926,0,244249229,residential,False,True,12.834,主马路,no,"LINESTRING (116.3453966 39.9898522, 116.345247 39.9898386)",
4355306928,4355306930,0,437731460,service,False,False,41.005,,,"LINESTRING (116.3453966 39.9898522, 116.3453873 39.9902209)",
