u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
1802899072,4807242066,0,282489695,residential,False,False,19.496,,,"LINESTRING (114.3934552 30.5259299, 114.3934514 30.5257546)",,,
1802899072,2864448080,0,"[282496082, 282489692, 778752446]","['residential', 'living_street', 'service']",False,False,465.228,yes,地大隧道,"LINESTRING (114.3934552 30.5259299, 114.3934652 30.5260654, 114.3934869 30.5262322, 114.3938143 30.5292069, 114.3938623 30.529407, 114.3939437 30.5295594, 114.3942304 30.5300172)",,,
1802899072,4807242065,0,"[282494424, 282494420]",residential,False,"[False, True]",198.52800000000002,,,"LINESTRING (114.3934552 30.5259299, 114.3928889 30.5263048, 114.3922129 30.5263262, 114.3921427 30.5262706, 114.3921159 30.5257658)",,,
2864420724,4807242033,0,282489693,residential,False,True,111.41,,,"LINESTRING (114.3934075 30.5238959, 114.3945706 30.5238906)",,,
2864420724,4807242031,0,282489695,residential,False,False,79.263,,,"LINESTRING (114.3934075 30.5238959, 114.3933919 30.5231832)",,,
2864420724,2864431751,0,282489695,residential,False,True,93.527,,,"LINESTRING (114.3934075 30.5238959, 114.3934294 30.5247368)",,,
2864420724,2864431745,0,282489693,residential,False,False,127.51400000000001,,,"LINESTRING (114.3934075 30.5238959, 114.3933881 30.523896, 114.3920763 30.5239055)",,,
2864420725,3404840774,0,282489695,residential,False,True,66.306,,,"LINESTRING (114.3933518 30.5213593, 114.3933649 30.5219555)",,,
2864420725,3404840777,0,282489701,residential,False,False,79.993,,,"LINESTRING (114.3933518 30.5213593, 114.3941869 30.521358)",,,
2864420725,2864431746,0,282489705,residential,False,False,123.798,,,"LINESTRING (114.3933518 30.5213593, 114.3920594 30.521354)",,,
2864420725,3404840778,0,"[282489703, 304389407]",residential,False,True,175.076,,,"LINESTRING (114.3933518 30.5213593, 114.3933525 30.5205096, 114.3941938 30.5205)",,,
2864420726,3404840776,0,282489695,residential,False,False,58.822,,,"LINESTRING (114.3933859 30.5229105, 114.3933743 30.5223816)",,,
2864420726,4807242031,0,282489695,residential,False,True,30.328,,,"LINESTRING (114.3933859 30.5229105, 114.3933919 30.5231832)",,,
2864420726,8434929754,0,282489699,residential,False,False,115.614,,,"LINESTRING (114.3933859 30.5229105, 114.3945927 30.5228915)",,,
2864420729,3404840772,0,282489701,residential,False,True,71.593,,,"LINESTRING (114.3953165 30.5213539, 114.3945691 30.5213574)",,,
2864420729,3090394031,0,282489702,residential,False,False,45.657,,,"LINESTRING (114.3953165 30.5213539, 114.395315 30.5209433)",,,
2864420729,4807242027,0,488421044,path,False,True,178.466,,,"LINESTRING (114.3953165 30.5213539, 114.395604 30.5214646, 114.3957157 30.5219491, 114.3958544 30.5227803)",,,
2864431745,4807241917,0,282494420,residential,False,False,72.396,,,"LINESTRING (114.3920763 30.5239055, 114.392065 30.5232545)",,,
2864431745,4807242045,0,282494420,residential,False,True,11.653,,,"LINESTRING (114.3920763 30.5239055, 114.3920761 30.5240103)",,,
2864431745,2864420724,0,282489693,residential,False,True,127.51400000000001,,,"LINESTRING (114.3920763 30.5239055, 114.3933881 30.523896, 114.3934075 30.5238959)",,,
2864431746,2864420725,0,282489705,residential,False,True,123.798,,,"LINESTRING (114.3920594 30.521354, 114.3933518 30.5213593)",,,
2864431746,4807241917,0,282494420,residential,False,True,211.327,,,"LINESTRING (114.3920594 30.521354, 114.392065 30.5232545)",,,
