element_type,osmid,building,name,geometry,nodes,amenity,fast_food,tourism,ways,type,layer,office,addr:city,addr:province
node,2784763805,university,公共教学五区,POINT (117.139183 34.2131178),,,,,,,,,,
way,273646057,apartments,桃一宿舍楼,"POLYGON ((117.137684 34.2189132, 117.1382897 34.2185293, 117.1381796 34.2184104, 117.1375738 34.2187943, 117.137684 34.2189132))","[2784808766, 2784808767, 2784775423, 2784808769, 2784808766]",,,,,,,,,
way,273646146,university,一食堂,"POLYGON ((117.1351813 34.2171558, 117.1357245 34.2168034, 117.1357939 34.2168767, 117.1361198 34.2166653, 117.135826 34.2163557, 117.1356077 34.2164973, 117.1354281 34.216308, 117.1351124 34.2165129, 117.1347774 34.2167302, 117.1351813 34.2171558))","[2784809882, 4535621058, 4535621059, 2784809883, 2784809884, 2784764681, 2784809886, 2784809887, 2784809888, 2784809882]",restaurant,cafeteria,,,,,,,
way,273646232,university,二食堂,"POLYGON ((117.1333311 34.2153298, 117.1338086 34.2150104, 117.1339266 34.2148463, 117.133932 34.2146688, 117.1338622 34.2145092, 117.1336798 34.2143805, 117.1334813 34.2143317, 117.1333311 34.2143672, 117.1331541 34.2144337, 117.1330307 34.2145579, 117.1329771 34.214691, 117.1329932 34.2148552, 117.1330415 34.2149705, 117.1333311 34.2153298))","[2784810584, 2784810585, 2784810586, 2784810587, 2784810588, 2784810589, 2784810590, 2784764712, 2784810592, 2784810593, 2784810594, 2784810595, 2784810596, 2784810584]",restaurant,cafeteria,,,,,,,
way,273646958,apartments,研究生2号宿舍楼,"POLYGON ((117.1341818 34.2105816, 117.1348351 34.2105915, 117.1348351 34.2101405, 117.1341878 34.2101355, 117.1341866 34.210225, 117.1347501 34.2102302, 117.1347466 34.2104897, 117.1341831 34.2104845, 117.1341818 34.2105816))","[2784818602, 2784818603, 2784818604, 2784818605, 4535621100, 4535621099, 4535621098, 2784778808, 2784818602]",,,,,,,,,
way,273646960,apartments,研究生1号宿舍楼,"POLYGON ((117.1342076 34.2112712, 117.1348579 34.2112685, 117.1348552 34.2108298, 117.1342049 34.2108325, 117.1342056 34.2109459, 117.1347611 34.2109435, 117.1347626 34.2111787, 117.134207 34.211181, 117.1342076 34.2112712))","[2784818608, 2784818609, 2784818610, 2784818611, 4535621102, 2784778534, 4535621101, 4535621103, 2784818608]",,,,,,,,,
way,273647067,university,三食堂,"POLYGON ((117.1342978 34.2124696, 117.134653 34.2124654, 117.1346429 34.2125745, 117.1348408 34.2125577, 117.1349981 34.2124612, 117.1350539 34.2123101, 117.1350539 34.2121338, 117.1350184 34.2120079, 117.1349423 34.2119408, 117.1348154 34.2118862, 117.1347241 34.2118862, 117.1347168 34.2116991, 117.1347088 34.2114917, 117.1346327 34.2114959, 117.1346394 34.2117011, 117.1346429 34.2118065, 117.1342521 34.2118065, 117.1342369 34.2124402, 117.1342978 34.2124696))","[2784819299, 2784819300, 2784819301, 2784819302, 2784819303, 2784819304, 2784819305, 2784819306, 2784819307, 2784819308, 2784764747, 8959855292, 2784819310, 2784819311, 8959855291, 2784819312, 2784819313, 2784819314, 2784819299]",restaurant,cafeteria,,,,,,,
way,273647303,university,公共教学三区,"POLYGON ((117.1363974 34.2138646, 117.1372082 34.2138577, 117.1371915 34.2133669, 117.136389 34.2133876, 117.1363974 34.2138646))","[2784763506, 2784820858, 2784820860, 2784820862, 2784763506]",,,,,,,,,
way,273647453,university,公共教学四区,"POLYGON ((117.1374678 34.2134684, 117.1383826 34.2134604, 117.1383703 34.21249, 117.1375786 34.2124969, 117.1375799 34.2125996, 117.137376 34.2126014, 117.1373772 34.2127012, 117.1382171 34.2126939, 117.13822 34.2129217, 117.1377531 34.2129257, 117.1377536 34.2129641, 117.1375845 34.2129656, 117.1375863 34.2131098, 117.1382494 34.2131041, 117.138252 34.2133049, 117.1374658 34.2133117, 117.1374678 34.2134684))","[2784821471, 2784821472, 2784821473, 2784821474, 4535620918, 4535620917, 4535620922, 4535620921, 4535620919, 4535620920, 2784763740, 4535620924, 4535620925, 4535620923, 2784821475, 2784821476, 2784821471]",,,,,,,,,
way,273647464,university,公共教学五区,"POLYGON ((117.1389351 34.2135206, 117.1398213 34.2135129, 117.1398197 34.2133866, 117.1396616 34.213388, 117.1396608 34.2133263, 117.1391786 34.2133304, 117.1391759 34.213115, 117.1398162 34.2131095, 117.1398134 34.2128942, 117.1391944 34.2128996, 117.139192 34.212711, 117.1398111 34.2127056, 117.1398087 34.2125174, 117.1389225 34.2125251, 117.1389246 34.2126947, 117.1390662 34.2126935, 117.139069 34.2129153, 117.1389274 34.2129165, 117.13893 34.2131206, 117.1390505 34.2131195, 117.1390532 34.2133301, 117.1389327 34.2133312, 117.1389351 34.2135206))","[2784821590, 2784821591, 4535620903, 4535620902, 4535620900, 4535620899, 4535620901, 4535620904, 4535620908, 4535620906, 4535620905, 4535620907, 2784821592, 2784821593, 4535620911, 4535620910, 4535620909, 4535620912, 4535620915, 4535620914, 4535620913, 4535620916, 2784821590]",,,,,,,,,
way,273647502,university,镜湖讲堂,"POLYGON ((117.1370272 34.2128232, 117.1370643 34.2128305, 117.1371022 34.2128275, 117.137137 34.2128145, 117.1371647 34.2127928, 117.1371825 34.2127649, 117.1371884 34.2127338, 117.1371624 34.2126679, 117.1371186 34.2126088, 117.1370594 34.2125597, 117.1370279 34.2125434, 117.1369923 34.2125345, 117.1369552 34.2125337, 117.1369191 34.2125409, 117.1368884 34.2125503, 117.1368632 34.2125677, 117.1368466 34.212591, 117.1368403 34.2126176, 117.1368451 34.2126444, 117.1368616 34.2126969, 117.1368932 34.2127444, 117.136938 34.212784, 117.1370272 34.2128232))","[2784822499, 2784822507, 2784822500, 2784822501, 2784822502, 2784822506, 2784822503, 2784761228, 2784822504, 4535620938, 4535620935, 4535620934, 4535620937, 4535620936, 4535620931, 4535620933, 4535620930, 4535620929, 4535620932, 4535620928, 4535620926, 4535620927, 2784822499]",,,,,,,,,
way,332207612,university,,"POLYGON ((117.1390785 34.2122748, 117.1394682 34.2122709, 117.1394657 34.2121047, 117.139076 34.2121087, 117.1390785 34.2122748))","[3393184664, 3393184663, 3393184661, 3393184662, 3393184664]",,,,,,,,,
way,341389394,university,环测学院,"POLYGON ((117.1442142 34.2185642, 117.1443356 34.2186819, 117.1444313 34.218624, 117.1444547 34.2186414, 117.1445014 34.218626, 117.1444757 34.2185951, 117.1446368 34.2184908, 117.1445995 34.2184406, 117.144833 34.2182919, 117.1448563 34.2182919, 117.144854 34.2183518, 117.1449474 34.2183518, 117.1455078 34.2183749, 117.1455008 34.2185777, 117.1449707 34.218568, 117.144966 34.2187206, 117.1454354 34.2187321, 117.1454354 34.218765, 117.1455475 34.218763, 117.1455475 34.2187186, 117.1456759 34.2187225, 117.1456969 34.2182186, 117.1448143 34.2181915, 117.1442142 34.2185642))","[3485846246, 3485846247, 3485846248, 3485846249, 3485846250, 3485846251, 3485846252, 3485846253, 3485846254, 3485846255, 3485846256, 3485846257, 2784766348, 3485846259, 3485846260, 3485846261, 3485846262, 3485846263, 3485846264, 3485846265, 3485846266, 3485846267, 3485846268, 3485846246]",,,,,,,,,
way,457409362,university,化工学院,"POLYGON ((117.1444318 34.2173699, 117.1445209 34.2173699, 117.1445209 34.2174357, 117.145253 34.2174357, 117.145253 34.2172664, 117.1444109 34.2172664, 117.1444109 34.2173024, 117.1443104 34.2173024, 117.1443104 34.2173228, 117.1442895 34.2173228, 117.1442895 34.2176839, 117.144225 34.2177353, 117.1442895 34.2177907, 117.1442895 34.2178074, 117.1444089 34.2178074, 117.1444089 34.217833, 117.1450687 34.217833, 117.1450687 34.2178132, 117.1451439 34.2178132, 117.1451439 34.2177395, 117.1452463 34.2177395, 117.1452463 34.2176376, 117.1450687 34.2176376, 117.1450687 34.2176201, 117.1444318 34.2176201, 117.1444318 34.2173699))","[4535620402, 4535620397, 2784767139, 4535620401, 4535620400, 4535620399, 4535620398, 4535620404, 4535620405, 4535620417, 4535620395, 4535620403, 4535620396, 4535620407, 4535620408, 4535620418, 4535620415, 4535620414, 4535620412, 4535620410, 4535620409, 4535620411, 4535620413, 4535620416, 4535620406, 4535620402]",,,,,,,,,
way,457409364,university,机电学院,"POLYGON ((117.1442047 34.2164471, 117.1442477 34.2164471, 117.1442477 34.2163495, 117.1432284 34.2163495, 117.1432284 34.2164471, 117.1433143 34.2164471, 117.1433143 34.2165292, 117.1438936 34.2165292, 117.1438936 34.2167643, 117.1432338 34.2167643, 117.1432338 34.2168143, 117.1432338 34.2168774, 117.1433008 34.2168774, 117.1433008 34.2169351, 117.1445052 34.2169351, 117.1445052 34.2168375, 117.1444757 34.2168375, 117.1444757 34.2167643, 117.1441109 34.2167643, 117.1441109 34.2165292, 117.1442047 34.2165292, 117.1442047 34.2164471))","[4535620422, 4535620427, 4535620426, 4535620425, 4535620424, 4535620421, 4535620428, 2784767855, 4535620431, 4535620434, 4535620420, 4535620435, 4535620433, 4535620439, 4535620438, 4535620437, 4535620432, 4535620436, 4535620430, 4535620423, 4535620429, 4535620422]",,,,,,,,,
way,457409365,university,信电学院,"POLYGON ((117.142745 34.2154486, 117.142767 34.2154983, 117.1428079 34.2155391, 117.1428629 34.2155662, 117.1429258 34.2155764, 117.1429891 34.2155686, 117.1430456 34.2155436, 117.1430887 34.2155044, 117.1431134 34.2154555, 117.1431168 34.2154027, 117.1430985 34.2153519, 117.1430607 34.2153091, 117.1430078 34.2152793, 117.1428737 34.215137, 117.1420848 34.2156452, 117.1424088 34.2159893, 117.1433682 34.2159843, 117.1433676 34.2159065, 117.1432931 34.2159069, 117.1432922 34.2157956, 117.1426892 34.2157987, 117.1426896 34.2158489, 117.1425563 34.2158496, 117.1423924 34.2156757, 117.142745 34.2154486))","[4535620450, 4535620440, 4535620441, 4535620442, 4535620443, 4535620444, 4535620445, 4535620451, 4535620446, 4535620447, 4535620448, 4535620449, 4535620460, 4535620461, 4535620462, 4535620459, 4535620458, 4535620457, 4535620456, 4535620455, 4535620453, 4535620454, 4535620452, 2784768107, 4535620450]",,,,,,,,,
way,457409367,university,管理学院,"POLYGON ((117.1414708 34.2164527, 117.1419306 34.2169319, 117.1425502 34.2165255, 117.1424398 34.2164105, 117.1419995 34.2166993, 117.1417883 34.2164792, 117.1419587 34.2163675, 117.1419851 34.216395, 117.1422685 34.2162976, 117.1421884 34.2162168, 117.1422287 34.2161904, 117.1420904 34.2160462, 117.1414708 34.2164527))","[4535620479, 4535620478, 4535620477, 4535620475, 4535620473, 2784768352, 4535620472, 4535620470, 4535620469, 4535620471, 4535620474, 4535620476, 4535620479]",,,,,,,,,
way,457409371,university,材料学院,"POLYGON ((117.1422693 34.2172961, 117.1426787 34.2177379, 117.1432322 34.2173871, 117.1430525 34.2171931, 117.142969 34.217246, 117.1430337 34.2173157, 117.1427337 34.2175058, 117.1425553 34.2173134, 117.1428961 34.2170974, 117.1428616 34.2170601, 117.1427803 34.2169724, 117.1426957 34.217026, 117.1422693 34.2172961))","[4535620493, 4535620492, 4535620491, 4535620489, 4535620486, 4535620485, 2784768419, 4535620487, 4535620488, 4535620419, 4535620490, 10573859834, 4535620493]",,,,,,,,,
way,457409374,university,博物馆,"POLYGON ((117.1431265 34.2195116, 117.1432521 34.2196467, 117.1432248 34.219662, 117.1430469 34.2197751, 117.1432103 34.2199509, 117.1434982 34.2198849, 117.1434748 34.2197893, 117.1434897 34.2196926, 117.1435415 34.219605, 117.1436245 34.2195358, 117.14373 34.2194923, 117.1438469 34.2194792, 117.1439626 34.2194979, 117.144065 34.2195463, 117.1441431 34.2196193, 117.1441886 34.2197092, 117.1445376 34.2196779, 117.1445513 34.2195507, 117.1440255 34.2189852, 117.1439077 34.2190601, 117.1438814 34.2190317, 117.1431265 34.2195116))","[4535620524, 4535620521, 4535620516, 4535620518, 4535620517, 4535620515, 4535620512, 4535620511, 4535620510, 4535620514, 2784769294, 4535620509, 4535620508, 4535620507, 4535620506, 4535620513, 4535620505, 4535620522, 4535620519, 4535620520, 4535620523, 4535620524]",,,museum,,,,,,
way,457409376,university,能源学院,"POLYGON ((117.1456276 34.2194656, 117.1456407 34.219014, 117.1449513 34.2190003, 117.1449493 34.2190695, 117.1448109 34.2190698, 117.1447844 34.2190478, 117.1448489 34.2189983, 117.1445769 34.2186794, 117.1444157 34.2187735, 117.1447429 34.2191572, 117.14546 34.2191714, 117.1454492 34.2194593, 117.1456276 34.2194656))","[4535620530, 4535620547, 2784765795, 4535620545, 4535620543, 4535620544, 4535620546, 4535620549, 4535620551, 4535620550, 4535620542, 4535620534, 4535620530]",,,,,,,,,
way,457409377,university,资源学院,"POLYGON ((117.1454492 34.2194593, 117.1447678 34.2194458, 117.144765 34.219542, 117.1448512 34.2195437, 117.1448493 34.2196089, 117.1448405 34.219645, 117.1447655 34.2196678, 117.1447893 34.2197563, 117.1455828 34.2196107, 117.1456234 34.2196115, 117.1456236 34.2196032, 117.1456717 34.2195944, 117.1456262 34.2195148, 117.1456276 34.2194656, 117.1454492 34.2194593))","[4535620534, 4535620541, 4535620540, 2784765368, 4535620539, 4535620535, 4535620536, 4535620538, 4535620533, 4535620548, 4535620532, 4535620537, 4535620531, 4535620530, 4535620534]",,,,,,,,,
way,457409384,university,,"POLYGON ((117.1393513 34.22121, 117.1393324 34.2200557, 117.1392356 34.2200457, 117.1390816 34.220328, 117.1390328 34.2206351, 117.1390935 34.2209407, 117.1392584 34.2212188, 117.1393513 34.22121))","[4535620592, 4535620591, 4535620603, 4535620601, 4535620604, 4535620602, 4535620605, 4535620592]",,,,,,,,,
way,457409398,university,,"POLYGON ((117.1382385 34.2144507, 117.1386358 34.2144537, 117.1386393 34.2141369, 117.138489 34.2141358, 117.1384894 34.2140989, 117.1382424 34.2140971, 117.1382385 34.2144507))","[4535620895, 4535620892, 4535620893, 4535620891, 4535620890, 4535620894, 4535620895]",,,,,,,,,
way,457409424,university,,"POLYGON ((117.1427289 34.2193593, 117.1427487 34.2193946, 117.1427506 34.2194336, 117.1427343 34.2194702, 117.1427023 34.2194988, 117.1426595 34.2195152, 117.1426124 34.2195168, 117.1425682 34.2195033, 117.1425335 34.2194769, 117.1425138 34.2194415, 117.1425119 34.2194025, 117.1425281 34.219366, 117.1425601 34.2193373, 117.1426029 34.2193209, 117.14265 34.2193194, 117.1426942 34.2193328, 117.1427289 34.2193593))","[4535621119, 4535621118, 4535621117, 4535621116, 4535621115, 4535621114, 4535621113, 4535621112, 4535621120, 4535621111, 4535621110, 4535621109, 4535621108, 4535621107, 4535621106, 4535621105, 4535621119]",,,,,,,,,
way,457409425,university,,"POLYGON ((117.1420723 34.2190186, 117.1422846 34.2192474, 117.1423887 34.2191814, 117.1421764 34.2189526, 117.1420723 34.2190186))","[4535621123, 4535621122, 4535621121, 4535621132, 4535621123]",,,,,,,,,
way,457409426,university,,"POLYGON ((117.1416096 34.2193224, 117.1418242 34.2195441, 117.141879 34.2195078, 117.1416643 34.2192861, 117.1416096 34.2193224))","[4535621126, 4535621128, 4535621125, 4535621124, 4535621126]",,,,,,,,,
way,457409427,university,马克思主义学院,"POLYGON ((117.1421764 34.2189526, 117.1422058 34.2189323, 117.1422509 34.2187044, 117.1414242 34.2192355, 117.1415452 34.2193642, 117.1416096 34.2193224, 117.1416643 34.2192861, 117.1420723 34.2190186, 117.1421764 34.2189526))","[4535621132, 4535621129, 2784769936, 4535621134, 4535621131, 4535621126, 4535621124, 4535621123, 4535621132]",,,,,,,,,
way,457409428,university,文法外文学院,"POLYGON ((117.1423887 34.2191814, 117.1422846 34.2192474, 117.141879 34.2195078, 117.1418242 34.2195441, 117.1416184 34.2196757, 117.1417531 34.2198192, 117.1426446 34.2192466, 117.1425099 34.2191032, 117.1423887 34.2191814))","[4535621121, 4535621122, 4535621125, 4535621128, 4535621127, 4535621133, 4535621135, 4535621130, 4535621121]",,,,,,,,,
