element_type,osmid,geometry,access,building,name,nodes,addr:city,addr:district,addr:province,addr:street,building:levels,layer,amenity,alt_name,leisure,lit,sport,office,tourism,man_made,tower:type,ways,height,type,internet_access,internet_access:fee,internet_access:ssid,operator,operator:type
node,9213891815,POINT (120.1719892 35.9393757),,yes,逸夫礼堂,,,,,,,,,,,,,,,,,,,,,,,,
node,9213891816,POINT (120.168771 35.9435244),,yes,基础实验楼A区,,,,,,,,,,,,,,,,,,,,,,,,
node,9213965517,POINT (120.1694344 35.9439399),,yes,基础实验楼B区,,,,,,,,,,,,,,,,,,,,,,,,
node,9213965518,POINT (120.1698853 35.9441981),,yes,基础实验楼C区,,,,,,,,,,,,,,,,,,,,,,,,
way,581429222,"POLYGON ((120.1741128 35.9406041, 120.1730899 35.9399852, 120.1731464 35.9399283, 120.1730791 35.9398876, 120.1733906 35.9395485, 120.1735046 35.9394385, 120.173582 35.9394861, 120.173639 35.9394321, 120.1742976 35.9398259, 120.1746643 35.9400451, 120.1745715 35.9401341, 120.1744764 35.9402254, 120.1743861 35.9401705, 120.1742183 35.9400762, 120.1742702 35.9400027, 120.17376 35.9396981, 120.1736158 35.9398587, 120.1734833 35.9400062, 120.1742536 35.9404637, 120.1741128 35.9406041))",,yes,文理楼,"[8579025315, 5563254325, 8629536087, 8668647716, 8629536086, 8668650517, 8668650518, 5563254326, 8629536089, 5563254327, 8629536088, 5563254328, 8579025314, 5563254329, 5563254330, 5563254331, 8629536090, 5563254332, 5563254333, 8579025315]",青岛市,黄岛区,山东省,长江西路,,,,,,,,,,,,,,,,,,,
way,856247223,"POLYGON ((120.1701431 35.9405294, 120.1702905 35.9403597, 120.1704907 35.9401523, 120.1696456 35.9396511, 120.1698215 35.9394627, 120.1708256 35.9400799, 120.1703004 35.9406298, 120.1701431 35.9405294))",,apartments,19号学生公寓,"[8629536185, 7983889670, 7983889671, 7983889672, 7983889673, 7983889674, 7983889675, 8629536185]",,,,,,,,,,,,,,,,,,,,,,,
way,856247224,"POLYGON ((120.1726707 35.9420113, 120.172759 35.9418998, 120.172917 35.941734, 120.1721567 35.9412904, 120.1722014 35.9412367, 120.1722685 35.9411562, 120.1731383 35.9416824, 120.173212 35.9416038, 120.1733556 35.9414504, 120.1731214 35.9413025, 120.172773 35.9410824, 120.1724035 35.940849, 120.1723083 35.9409734, 120.1721291 35.9408741, 120.1719309 35.9410892, 120.1717209 35.941317, 120.1717902 35.9413575, 120.1719102 35.9414276, 120.1718236 35.9415247, 120.172184 35.9417281, 120.1726707 35.9420113))",,school,南教楼,"[7983889676, 8629536074, 7983889677, 7983889678, 8629536070, 7983889679, 7983889680, 8629536073, 7983889681, 8629536072, 8629536071, 7983889682, 7983889683, 7983889684, 8629536068, 7983909285, 8629536067, 7983909286, 7983909287, 8629536069, 7983889676]",,,,,5,1,,,,,,,,,,,,,,,,,
way,924350765,"POLYGON ((120.1676888 35.9405835, 120.1680456 35.9400334, 120.1681228 35.9399459, 120.1681957 35.9398981, 120.1682686 35.9398686, 120.1683506 35.93986, 120.1684206 35.9398768, 120.1685043 35.9399188, 120.16855 35.9399636, 120.1685746 35.9400041, 120.1685836 35.9400563, 120.1685779 35.9401136, 120.1687025 35.9399967, 120.1687763 35.9400507, 120.1688497 35.9401044, 120.1686078 35.9403612, 120.1683909 35.9405915, 120.1680772 35.9409252, 120.1680555 35.9409158, 120.1679522 35.9410128, 120.1676956 35.9408541, 120.1677449 35.940788, 120.1677879 35.9407303, 120.1677568 35.940705, 120.1678021 35.94065, 120.1676888 35.9405835))",,yes,荟萃苑餐厅,"[8578986709, 8578986710, 8661053585, 8578986711, 8661053584, 8578986712, 8661053583, 8578986713, 8661053586, 8661053587, 8578986714, 8578986715, 8578986716, 8629536052, 8579025217, 8629536053, 8629536054, 8579025218, 8579025219, 8579025220, 8579025221, 8642622274, 8579025222, 8579025223, 8579025224, 8578986709]",,,,,,,restaurant,,,,,,,,,,,,,,,,
way,924350766,"POLYGON ((120.1676937 35.9430726, 120.1679254 35.9432083, 120.168118 35.9429882, 120.1676864 35.9427387, 120.1678122 35.94261, 120.1678808 35.9426503, 120.1679764 35.9425426, 120.1677841 35.942432, 120.1678917 35.9423176, 120.1674998 35.9420924, 120.167379 35.9422217, 120.1672979 35.9421739, 120.1672184 35.9422666, 120.1671122 35.9423799, 120.1670327 35.9423362, 120.1668438 35.9425527, 120.1674954 35.9429495, 120.1675585 35.9428898, 120.1677574 35.9429993, 120.1676937 35.9430726))",,yes,玉兰苑餐厅,"[8579025225, 8579025226, 8579025227, 8579025228, 8579025229, 8579025230, 8579025234, 8579025235, 8579025236, 8579025237, 8579025238, 8579025239, 8629536081, 8579025244, 8579025245, 8579025240, 8661053578, 8661053579, 8661053580, 8579025225]",,,,,,,restaurant,,,,,,,,,,,,,,,,
way,924350767,"POLYGON ((120.1695167 35.9419958, 120.1696225 35.9420652, 120.1696975 35.9421143, 120.1696698 35.9421431, 120.1696619 35.9421512, 120.1697514 35.9422088, 120.1693432 35.9426147, 120.169459 35.9427901, 120.1695305 35.9428397, 120.1696159 35.942899, 120.169692 35.943031, 120.1696647 35.9431269, 120.1694767 35.9433141, 120.1687342 35.9428627, 120.1688649 35.9427226, 120.1695167 35.9419958))",,yes,图书馆,"[8579025247, 8661053597, 8661053596, 8661053594, 8661053592, 8579025248, 8579025249, 8579025250, 8629536079, 8579025251, 8579025252, 8579025253, 8579025255, 8579025256, 8629536078, 8579025247]",,,,,,,library,,,,,,,,,,,,,,,,
