element_type,osmid,nodes,amenity,building,name,geometry,tourism,ways,type
way,226511792,"[2353064201, 2353064203, 2353064206, 2353064207, 2353064209, 2353064211, 2353064201]",library,yes,中国农业大学图书馆,"POLYGON ((116.2736802 40.0237642, 116.2743248 40.0240761, 116.2744118 40.0240397, 116.2747677 40.0236552, 116.2747083 40.0234069, 116.2742299 40.0231676, 116.2736802 40.0237642))",,,
way,226511794,"[2353064213, 2353064215, 2353064217, 2353064219, 2353064213]",,yes,中国农业大学主楼,"POLYGON ((116.2757246 40.0240518, 116.2754794 40.0239247, 116.2760805 40.0232494, 116.2763336 40.0233826, 116.2757246 40.0240518))",,,
way,226511844,"[2353064258, 2353064260, 2353064266, 2353064268, 2353064258]",,yes,中国农业大学实验楼,"POLYGON ((116.2750687 40.0227358, 116.2752176 40.0225654, 116.2756019 40.0227623, 116.2754529 40.0229328, 116.2750687 40.0227358))",,,
way,226512101,"[2353066204, 2353066205, 2353066206, 2353066207, 2353066204]",,yes,6号楼,"POLYGON ((116.2735039 40.0262674, 116.273619 40.0261338, 116.2742467 40.026451, 116.2741316 40.0265845, 116.2735039 40.0262674))",,,
way,226512102,"[2353066208, 2353066209, 2353066210, 2353066211, 2353066208]",,yes,5号楼,"POLYGON ((116.2740334 40.025845, 116.2741508 40.0257121, 116.2747857 40.0260407, 116.2746683 40.0261737, 116.2740334 40.025845))",,,
way,226512103,"[2353066212, 2353066213, 2353066214, 2353066215, 2353066212]",,yes,7号楼,"POLYGON ((116.2730047 40.0268291, 116.2731089 40.0266994, 116.2737798 40.0270137, 116.2736625 40.0271483, 116.2730047 40.0268291))",,,
way,226512104,"[2353066216, 2353066217, 2353066218, 2353066219, 2353066216]",,yes,8号楼,"POLYGON ((116.2727246 40.0273578, 116.2728223 40.0272383, 116.273432 40.0275306, 116.2733342 40.0276501, 116.2727246 40.0273578))",,,
way,226512108,"[2353066284, 2353066285, 2353066286, 2353066287, 2353066284]",,yes,颐园,"POLYGON ((116.2722134 40.0265917, 116.2725012 40.026255, 116.2731037 40.0265571, 116.2728159 40.0268937, 116.2722134 40.0265917))",,,
way,226694303,"[2354581618, 2354581620, 2354581621, 2354581622, 2354581623, 2354581624, 2354581618]",,yes,报告厅,"POLYGON ((116.2734282 40.0249855, 116.2728381 40.0246857, 116.2734889 40.023955, 116.2736984 40.023917, 116.2741562 40.0241535, 116.2740735 40.0244872, 116.2734282 40.0249855))",,,
way,226694544,"[2354583278, 2354583279, 2354583280, 2354583282, 10664137767, 10664137766, 10664137765, 10664137764, 10664137763, 10664137762, 2354583278]",,yes,旧教学楼,"POLYGON ((116.2748123 40.0252382, 116.2741985 40.0249125, 116.2750925 40.0239245, 116.2757063 40.0242501, 116.2755514 40.0244213, 116.2751304 40.024198, 116.2746826 40.024693, 116.2748846 40.0248001, 116.2748032 40.0248901, 116.2750221 40.0250063, 116.2748123 40.0252382))",,,
way,226694685,"[2354583718, 2354583720, 2354583722, 2354583724, 2354583718]",restaurant,yes,和园,"POLYGON ((116.2719577 40.0269482, 116.2721841 40.02667, 116.2727529 40.0269414, 116.2725265 40.0272196, 116.2719577 40.0269482))",,,
