u,v,key,osmid,highway,oneway,reversed,length,geometry
2285745784,2353060481,0,226511228,residential,False,False,166.823,"LINESTRING (116.2755524 40.0263605, 116.2766319 40.0251085)"
2285745784,2353956882,0,226511228,residential,False,True,119.962,"LINESTRING (116.2755524 40.0263605, 116.2747605 40.0272528)"
2285745784,10664137759,0,219411889,residential,False,False,282.32500000000005,"LINESTRING (116.2755524 40.0263605, 116.275607 40.0263891, 116.2769472 40.0270855, 116.2783003 40.0277814)"
2285745784,2353051951,0,219411889,residential,False,True,71.254,"LINESTRING (116.2755524 40.0263605, 116.2749972 40.0260894, 116.2748533 40.0260087)"
2285745796,2353051490,0,219411889,residential,False,False,21.036,"LINESTRING (116.2733289 40.0252021, 116.273531 40.0253109)"
2285745796,2354581861,0,219411889,residential,False,True,79.027,"LINESTRING (116.2733289 40.0252021, 116.272563 40.0248007)"
2285745796,2353062910,0,226510047,living_street,False,False,47.473,"LINESTRING (116.2733289 40.0252021, 116.2730184 40.0255567)"
2285745798,10664137657,0,219411889,residential,False,True,77.86,"LINESTRING (116.2814345 40.0285448, 116.2805248 40.0284736)"
2285745798,10664137652,0,1145919329,residential,False,False,134.112,"LINESTRING (116.2814345 40.0285448, 116.2813417 40.0297488)"
2285745798,10664137653,0,1145919329,residential,False,True,98.568,"LINESTRING (116.2814345 40.0285448, 116.2815422 40.0276622)"
2353051490,2353952898,0,219411889,residential,False,False,14.873,"LINESTRING (116.273531 40.0253109, 116.2736729 40.0253889)"
2353051490,2285745796,0,219411889,residential,False,True,21.036,"LINESTRING (116.273531 40.0253109, 116.2733289 40.0252021)"
2353051490,2354581989,0,226509987,pedestrian,False,False,141.194,"LINESTRING (116.273531 40.0253109, 116.2744777 40.0242684)"
2353051491,2354581989,0,226509987,pedestrian,False,True,96.634,"LINESTRING (116.2751256 40.0235549, 116.2744777 40.0242684)"
2353051491,2354580426,0,968692785,residential,False,True,30.705,"LINESTRING (116.2751256 40.0235549, 116.2754269 40.0237066)"
2353051491,2354580828,0,"[968692784, 968692785]",residential,False,False,107.22699999999999,"LINESTRING (116.2751256 40.0235549, 116.2750737 40.023521, 116.2750506 40.0234796, 116.2750409 40.0234183, 116.2750121 40.0233827, 116.2743514 40.0230162, 116.274448 40.0228989)"
2353051946,2353952898,0,219411889,residential,False,True,31.41,"LINESTRING (116.2739725 40.0255537, 116.2736729 40.0253889)"
2353051946,2353062929,0,226510046,living_street,False,False,36.3,"LINESTRING (116.2739725 40.0255537, 116.2737438 40.0258292)"
2353051946,2353064233,0,219411889,residential,False,False,51.888,"LINESTRING (116.2739725 40.0255537, 116.2741228 40.0256293, 116.2744793 40.0258128)"
2353051947,2353051953,0,226510046,living_street,False,False,84.049,"LINESTRING (116.2725284 40.0272859, 116.2733266 40.0277306)"
2353051947,2353051950,0,226510046,living_street,False,True,130.051,"LINESTRING (116.2725284 40.0272859, 116.2733706 40.0263102)"
2353051947,2353051949,0,226510047,living_street,False,True,202.02999999999997,"LINESTRING (116.2725284 40.0272859, 116.2718397 40.0269347, 116.2726809 40.0259421)"
2353051949,2353062916,0,226510047,living_street,False,True,20.308,"LINESTRING (116.2726809 40.0259421, 116.2728137 40.0257904)"
2353051949,2353062915,0,226510048,living_street,False,False,31.151,"LINESTRING (116.2726809 40.0259421, 116.2729755 40.0261082)"
2353051949,2353051947,0,226510047,living_street,False,False,202.02999999999997,"LINESTRING (116.2726809 40.0259421, 116.2718397 40.0269347, 116.2725284 40.0272859)"
2353051950,2353051947,0,226510046,living_street,False,False,130.051,"LINESTRING (116.2733706 40.0263102, 116.2725284 40.0272859)"
2353051950,2353062925,0,226510046,living_street,False,True,25.424,"LINESTRING (116.2733706 40.0263102, 116.2735117 40.0261087)"
2353051950,2353062915,0,226510048,living_street,False,True,40.451,"LINESTRING (116.2733706 40.0263102, 116.2729755 40.0261082)"
2353051951,2353064233,0,219411889,residential,False,True,38.583,"LINESTRING (116.2748533 40.0260087, 116.2744793 40.0258128)"
2353051951,2354619728,0,226510049,living_street,False,False,54.037,"LINESTRING (116.2748533 40.0260087, 116.2744946 40.0264096)"
2353051951,2285745784,0,219411889,residential,False,False,71.254,"LINESTRING (116.2748533 40.0260087, 116.2749972 40.0260894, 116.2755524 40.0263605)"
2353051953,2353051947,0,226510046,living_street,False,True,84.049,"LINESTRING (116.2733266 40.0277306, 116.2725284 40.0272859)"
2353051953,2353956879,0,226510049,living_street,False,False,71.188,"LINESTRING (116.2733266 40.0277306, 116.274039 40.0280657)"
2353051953,2354619728,0,226510049,living_street,False,True,177.393,"LINESTRING (116.2733266 40.0277306, 116.2734477 40.0275876, 116.2744946 40.0264096)"
2353060481,2285745784,0,226511228,residential,False,True,166.823,"LINESTRING (116.2766319 40.0251085, 116.2755524 40.0263605)"
2353060481,2354612437,0,226696793,service,False,True,106.736,"LINESTRING (116.2766319 40.0251085, 116.2755985 40.0245652)"
2353062910,2353062916,0,226510047,living_street,False,False,31.29,"LINESTRING (116.2730184 40.0255567, 116.2728137 40.0257904)"
2353062910,2285745796,0,226510047,living_street,False,True,47.473,"LINESTRING (116.2730184 40.0255567, 116.2733289 40.0252021)"
2353062910,2353062912,0,226511692,footway,False,False,19.951,"LINESTRING (116.2730184 40.0255567, 116.2731371 40.0255928, 116.2732235 40.0256406)"
2353062912,8962183663,0,226511693,footway,False,False,27.771,"LINESTRING (116.2732235 40.0256406, 116.2731008 40.025872)"
2353062912,2353062914,0,226511692,footway,False,False,19.171,"LINESTRING (116.2732235 40.0256406, 116.2732835 40.0257012, 116.2733339 40.0257895)"
2353062912,2353062910,0,226511692,footway,False,True,19.951,"LINESTRING (116.2732235 40.0256406, 116.2731371 40.0255928, 116.2730184 40.0255567)"
2353062914,2353062918,0,226511698,footway,False,False,9.504,"LINESTRING (116.2733339 40.0257895, 116.2732979 40.0258704)"
2353062914,2353062926,0,226511698,footway,False,True,11.25,"LINESTRING (116.2733339 40.0257895, 116.273466 40.0257913)"
2353062914,2353062912,0,226511692,footway,False,True,19.171,"LINESTRING (116.2733339 40.0257895, 116.2732835 40.0257012, 116.2732235 40.0256406)"
2353062915,2353051950,0,226510048,living_street,False,False,40.451,"LINESTRING (116.2729755 40.0261082, 116.2733706 40.0263102)"
2353062915,2353051949,0,226510048,living_street,False,True,31.151,"LINESTRING (116.2729755 40.0261082, 116.2726809 40.0259421)"
2353062915,8962183663,0,226511693,footway,False,True,28.349,"LINESTRING (116.2729755 40.0261082, 116.2731008 40.025872)"
2353062915,2353062924,0,226511695,footway,False,False,31.787,"LINESTRING (116.2729755 40.0261082, 116.2731371 40.026034, 116.2732211 40.0260101, 116.2732883 40.0260101, 116.2733138 40.0260011)"
2353062916,2353051949,0,226510047,living_street,False,False,20.308,"LINESTRING (116.2728137 40.0257904, 116.2726809 40.0259421)"
2353062916,2353062910,0,226510047,living_street,False,True,31.29,"LINESTRING (116.2728137 40.0257904, 116.2730184 40.0255567)"
2353062916,8962183663,0,226511694,footway,False,False,26.341,"LINESTRING (116.2728137 40.0257904, 116.2729354 40.0258428, 116.2731008 40.025872)"
2353062918,8962183663,0,226511694,footway,False,True,16.784,"LINESTRING (116.2732979 40.0258704, 116.2731008 40.025872)"
2353062918,2353062923,0,226511698,footway,False,False,9.478,"LINESTRING (116.2732979 40.0258704, 116.2733867 40.0259218)"
2353062918,2353062914,0,226511698,footway,False,True,9.504,"LINESTRING (116.2732979 40.0258704, 116.2733339 40.0257895)"
2353062923,2353062933,0,226511698,footway,False,False,2.726,"LINESTRING (116.2733867 40.0259218, 116.2734176 40.0259282)"
2353062923,2353062918,0,226511698,footway,False,True,9.478,"LINESTRING (116.2733867 40.0259218, 116.2732979 40.0258704)"
2353062923,2353062924,0,226511695,footway,False,True,11.329,"LINESTRING (116.2733867 40.0259218, 116.2733459 40.0259898, 116.2733138 40.0260011)"
2353062924,2353062925,0,226511696,footway,False,False,20.666,"LINESTRING (116.2733138 40.0260011, 116.2735117 40.0261087)"
2353062924,2353062923,0,226511695,footway,False,False,11.329,"LINESTRING (116.2733138 40.0260011, 116.2733459 40.0259898, 116.2733867 40.0259218)"
2353062924,2353062915,0,226511695,footway,False,True,31.787,"LINESTRING (116.2733138 40.0260011, 116.2732883 40.0260101, 116.2732211 40.0260101, 116.2731371 40.026034, 116.2729755 40.0261082)"
2353062925,2353051950,0,226510046,living_street,False,False,25.424,"LINESTRING (116.2735117 40.0261087, 116.2733706 40.0263102)"
2353062925,2353062931,0,226510046,living_street,False,True,13.431,"LINESTRING (116.2735117 40.0261087, 116.2735964 40.0260068)"
2353062925,2353062924,0,226511696,footway,False,True,20.666,"LINESTRING (116.2735117 40.0261087, 116.2733138 40.0260011)"
2353062926,2353952892,0,226511697,footway,False,False,5.193,"LINESTRING (116.273466 40.0257913, 116.2735216 40.0257721)"
2353062926,2353062914,0,226511698,footway,False,False,11.25,"LINESTRING (116.273466 40.0257913, 116.2733339 40.0257895)"
2353062926,2353062933,0,226511698,footway,False,True,17.609,"LINESTRING (116.273466 40.0257913, 116.2734876 40.0258648, 116.2734176 40.0259282)"
2353062929,2354619726,0,226510046,living_street,False,False,15.769,"LINESTRING (116.2737438 40.0258292, 116.2736445 40.0259489)"
2353062929,2353051946,0,226510046,living_street,False,True,36.3,"LINESTRING (116.2737438 40.0258292, 116.2739725 40.0255537)"
2353062929,2353952892,0,226511697,footway,False,True,20.774,"LINESTRING (116.2737438 40.0258292, 116.273658 40.0257858, 116.2735404 40.0257656, 116.2735216 40.0257721)"
2353062931,2353062925,0,226510046,living_street,False,False,13.431,"LINESTRING (116.2735964 40.0260068, 116.2735117 40.0261087)"
2353062931,2354619726,0,226510046,living_street,False,True,7.63,"LINESTRING (116.2735964 40.0260068, 116.2736445 40.0259489)"
2353062931,2353062933,0,226511698,footway,False,True,17.665,"LINESTRING (116.2735964 40.0260068, 116.2734492 40.0259347, 116.2734176 40.0259282)"
2353062933,2353062923,0,226511698,footway,False,True,2.726,"LINESTRING (116.2734176 40.0259282, 116.2733867 40.0259218)"
2353062933,2353062926,0,226511698,footway,False,False,17.609,"LINESTRING (116.2734176 40.0259282, 116.2734876 40.0258648, 116.273466 40.0257913)"
2353062933,2353062931,0,226511698,footway,False,False,17.665,"LINESTRING (116.2734176 40.0259282, 116.2734492 40.0259347, 116.2735964 40.0260068)"
2353064227,2354580427,0,226511795,residential,False,False,38.44,"LINESTRING (116.2755933 40.0229305, 116.2759706 40.0231203)"
2353064227,2354580828,0,"[968692784, 226511795]",residential,False,True,129.856,"LINESTRING (116.2755933 40.0229305, 116.2753552 40.0231601, 116.2752928 40.0231583, 116.2745462 40.0227796, 116.274448 40.0228989)"
2353064227,2354612235,0,"[226511795, 226511845]",residential,False,True,291.375,"LINESTRING (116.2755933 40.0229305, 116.2762868 40.0221769, 116.2764408 40.0221442, 116.2766188 40.0221539, 116.2774477 40.0225375, 116.2769205 40.0231066)"
2353064231,2354612235,0,226511795,residential,False,False,45.158,"LINESTRING (116.2766136 40.0234378, 116.2769205 40.0231066)"
2353064231,2354580427,0,226511795,residential,False,True,65.148,"LINESTRING (116.2766136 40.0234378, 116.2759706 40.0231203)"
