osmid,y,x,street_count,geometry
2285745784,40.0263605,116.2755524,4,POINT (116.2755524 40.0263605)
2285745796,40.0252021,116.2733289,3,POINT (116.2733289 40.0252021)
2285745798,40.0285448,116.2814345,4,POINT (116.2814345 40.0285448)
2353051490,40.0253109,116.273531,3,POINT (116.273531 40.0253109)
2353051491,40.0235549,116.2751256,3,POINT (116.2751256 40.0235549)
2353051946,40.0255537,116.2739725,3,POINT (116.2739725 40.0255537)
2353051947,40.0272859,116.2725284,3,POINT (116.2725284 40.0272859)
2353051949,40.0259421,116.2726809,3,POINT (116.2726809 40.0259421)
2353051950,40.0263102,116.2733706,3,POINT (116.2733706 40.0263102)
2353051951,40.0260087,116.2748533,3,POINT (116.2748533 40.0260087)
2353051953,40.0277306,116.2733266,3,POINT (116.2733266 40.0277306)
2353060481,40.0251085,116.2766319,3,POINT (116.2766319 40.0251085)
2353062910,40.0255567,116.2730184,3,POINT (116.2730184 40.0255567)
2353062912,40.0256406,116.2732235,3,POINT (116.2732235 40.0256406)
2353062914,40.0257895,116.2733339,3,POINT (116.2733339 40.0257895)
2353062915,40.0261082,116.2729755,4,POINT (116.2729755 40.0261082)
2353062916,40.0257904,116.2728137,3,POINT (116.2728137 40.0257904)
2353062918,40.0258704,116.2732979,3,POINT (116.2732979 40.0258704)
2353062923,40.0259218,116.2733867,3,POINT (116.2733867 40.0259218)
2353062924,40.0260011,116.2733138,3,POINT (116.2733138 40.0260011)
2353062925,40.0261087,116.2735117,3,POINT (116.2735117 40.0261087)
2353062926,40.0257913,116.273466,3,POINT (116.273466 40.0257913)
2353062929,40.0258292,116.2737438,3,POINT (116.2737438 40.0258292)
2353062931,40.0260068,116.2735964,3,POINT (116.2735964 40.0260068)
2353062933,40.0259282,116.2734176,3,POINT (116.2734176 40.0259282)
2353064227,40.0229305,116.2755933,3,POINT (116.2755933 40.0229305)
2353064231,40.0234378,116.2766136,3,POINT (116.2766136 40.0234378)
2353064233,40.0258128,116.2744793,3,POINT (116.2744793 40.0258128)
2353952892,40.0257721,116.2735216,3,POINT (116.2735216 40.0257721)
2353952898,40.0253889,116.2736729,3,POINT (116.2736729 40.0253889)
2353956877,40.0287006,116.2752857,1,POINT (116.2752857 40.0287006)
2353956879,40.0280657,116.274039,3,POINT (116.274039 40.0280657)
2353956882,40.0272528,116.2747605,3,POINT (116.2747605 40.0272528)
2353956884,40.0278312,116.2759365,1,POINT (116.2759365 40.0278312)
2354580426,40.0237066,116.2754269,3,POINT (116.2754269 40.0237066)
2354580427,40.0231203,116.2759706,3,POINT (116.2759706 40.0231203)
2354580828,40.0228989,116.274448,3,POINT (116.274448 40.0228989)
2354581861,40.0248007,116.272563,3,POINT (116.272563 40.0248007)
2354581862,40.0228641,116.2743817,3,POINT (116.2743817 40.0228641)
2354581989,40.0242684,116.2744777,3,POINT (116.2744777 40.0242684)
2354612235,40.0231066,116.2769205,3,POINT (116.2769205 40.0231066)
2354612437,40.0245652,116.2755985,3,POINT (116.2755985 40.0245652)
2354612926,40.0242681,116.275875,4,POINT (116.275875 40.0242681)
2354619726,40.0259489,116.2736445,3,POINT (116.2736445 40.0259489)
2354619728,40.0264096,116.2744946,3,POINT (116.2744946 40.0264096)
3738510228,40.0237875,116.2735686,3,POINT (116.2735686 40.0237875)
8962183663,40.025872,116.2731008,4,POINT (116.2731008 40.025872)
10664137651,40.0273713,116.2815777,1,POINT (116.2815777 40.0273713)
10664137652,40.0297488,116.2813417,1,POINT (116.2813417 40.0297488)
10664137653,40.0276622,116.2815422,3,POINT (116.2815422 40.0276622)
10664137657,40.0284736,116.2805248,4,POINT (116.2805248 40.0284736)
10664137660,40.0295894,116.2797581,1,POINT (116.2797581 40.0295894)
10664137759,40.0277814,116.2783003,3,POINT (116.2783003 40.0277814)
10664137761,40.0280372,116.2781579,1,POINT (116.2781579 40.0280372)
10664137768,40.0245863,116.2765073,1,POINT (116.2765073 40.0245863)
