element_type,osmid,building,name,geometry,addr:city,nodes,addr:housename,addr:housenumber,addr:postcode,addr:street,building:levels,alt_name,layer,note,amenity,library,operator,fast_food,leisure,shop,atm,tourism,addr:district,addr:province,cuisine,diet:local,delivery,opening_hours,smoking,min_height,sport
node,3096633013,dormitory,学生公寓西区54栋,POINT (114.39168 30.5242049),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3096633014,dormitory,学生公寓西区57栋,POINT (114.3916854 30.5239184),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3096633015,university,信息楼,POINT (114.3954383 30.523723),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3191018567,yes,网络中心,POINT (114.3957259 30.5232563),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3236312461,apartments,38栋,POINT (114.4016313 30.5232117),关山街道,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3236312462,apartments,37栋,POINT (114.4016206 30.5234751),,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3236312463,apartments,36栋,POINT (114.4016528 30.5236554),,,,,,,,,,,,,,,,,,,,,,,,,,,
way,220560701,university,工程实验大楼,"POLYGON ((114.3922192 30.5258209, 114.3923154 30.5258188, 114.3923411 30.5258183, 114.3924434 30.525816, 114.3924439 30.5259759, 114.3927467 30.5259721, 114.3927452 30.5259438, 114.3929356 30.5259477, 114.3929352 30.5258162, 114.3931213 30.5258147, 114.3931525 30.5258145, 114.3932559 30.5258136, 114.3932626 30.5259466, 114.3930617 30.5260726, 114.393015 30.5261018, 114.3929825 30.5261222, 114.3927885 30.5262438, 114.3926956 30.5262436, 114.3925397 30.5262432, 114.3924413 30.526243, 114.3924417 30.526275, 114.3923479 30.526275, 114.3923194 30.526275, 114.3922461 30.526275, 114.3922227 30.5262493, 114.3922192 30.5258209))",武汉,"[2296706844, 5162265110, 5162265111, 2296706850, 2296706836, 2296706849, 2296706841, 2296706840, 2296706851, 5162265119, 5162265120, 2296706838, 2296706848, 5162265096, 5162265102, 5162265104, 2429824928, 5162265106, 5162265108, 2296706835, 2296706845, 5162265924, 5162265109, 2296706843, 2296706847, 2296706844]",中国地质大学（武汉）工程试验楼,388,430074,鲁磨路,1,,,,,,,,,,,,,,,,,,,,
way,280759548,dormitory,学生公寓西区52栋,"POLYGON ((114.3911368 30.5223818, 114.3911368 30.5221745, 114.3912713 30.5221745, 114.3912748 30.5222447, 114.3918942 30.5222477, 114.3918942 30.5223879, 114.3911368 30.5223818))",,"[2848119215, 2848119216, 2848119217, 2848119218, 2848119219, 2848119220, 2848119215]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282650817,dormitory,学生公寓西区56栋,"POLYGON ((114.3910401 30.5257169, 114.3910339 30.5255604, 114.392083 30.525559, 114.3920815 30.5257315, 114.3910401 30.5257169))",,"[2865929107, 2865929108, 2865929109, 2865929110, 2865929107]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282650873,university,教二楼,"POLYGON ((114.3921897 30.525728, 114.3921883 30.5255767, 114.3933176 30.5255651, 114.393321 30.5257193, 114.3930171 30.5257234, 114.3930158 30.52575, 114.3924947 30.5257499, 114.3924968 30.5257234, 114.3923433 30.5257257, 114.3921897 30.525728))",,"[2865929111, 2865929112, 2865929113, 2865929114, 2865929115, 2865929116, 2865929117, 2865929118, 4807242064, 2865929111]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282652444,dormitory,学生公寓西区51栋,"POLYGON ((114.3908681 30.5252146, 114.390865 30.5251268, 114.3908912 30.5251255, 114.390892 30.5251434, 114.3912248 30.5251401, 114.3912217 30.5251003, 114.3913534 30.5250956, 114.3913542 30.5252058, 114.3920557 30.5251996, 114.3920566 30.525319, 114.3912345 30.5253098, 114.3912331 30.5252416, 114.3909019 30.5252451, 114.3909019 30.5252139, 114.3908681 30.5252146))",,"[2865938110, 2865938111, 2865938112, 2865938113, 2865938114, 2865938115, 2865938116, 2865938117, 2865938118, 2865938119, 2865938120, 2865938121, 2865938122, 2865938123, 2865938110]",,,,,6,,,,,,,,,,,,,,,,,,,,
way,282652445,dormitory,学生公寓西区55栋,"POLYGON ((114.3904245 30.5250817, 114.39084 30.5250808, 114.3908394 30.5248965, 114.3907185 30.5248968, 114.3907187 30.5249733, 114.3904242 30.524974, 114.3904245 30.5250817))",,"[2865938124, 2865938125, 2865938126, 2865938127, 2865938128, 2865938129, 2865938124]",,,,,,国防生苑,,,,,,,,,,,,,,,,,,,
way,282652446,yes,体育馆,"POLYGON ((114.3921794 30.5246359, 114.3921786 30.5242348, 114.3933334 30.524233, 114.3933342 30.5246341, 114.3921794 30.5246359))",,"[2865938130, 2865938131, 2865938132, 2865938133, 2865938130]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282652892,university,,"POLYGON ((114.3919149 30.5235672, 114.391939 30.5236077, 114.3919478 30.5236525, 114.3919404 30.5236975, 114.3919175 30.5237384, 114.3918813 30.5237715, 114.3918351 30.5237935, 114.3917813 30.5238024, 114.3917269 30.5237964, 114.3916776 30.5237759, 114.3916382 30.5237431, 114.3916128 30.5237012, 114.391604 30.5236546, 114.3916127 30.523608, 114.3916379 30.5235661, 114.3916772 30.5235332, 114.3917265 30.5235126, 114.3917788 30.5235064, 114.3918308 30.5235141, 114.3918776 30.5235351, 114.3919149 30.5235672))",,"[2865943852, 2865943853, 2865943854, 2865943855, 2865943856, 2865943857, 2865943858, 2865943840, 2865943841, 2865943844, 2865943845, 2865943846, 2865943847, 2865943848, 2865943849, 2865943850, 2865943859, 2865943851, 2865943842, 2865943843, 2865943852]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282652893,yes,大学生活动中心,"POLYGON ((114.391842 30.5235158, 114.3918407 30.5234506, 114.3918177 30.5234503, 114.3918187 30.5234042, 114.3918607 30.5234052, 114.3918642 30.5233489, 114.3915922 30.5233499, 114.3915922 30.5234032, 114.3915712 30.5234032, 114.3915731 30.5234601, 114.3915706 30.5236358, 114.3915662 30.523801, 114.3919149 30.5238079, 114.3919169 30.5237444, 114.3919424 30.5236976, 114.3919518 30.5236531, 114.3919417 30.5236058, 114.3919162 30.523563, 114.3918853 30.5235382, 114.391842 30.5235158))",,"[7917287968, 7917287969, 7917287967, 2865943866, 2865943865, 2865943864, 2865943863, 2865943862, 2865943861, 7917287970, 7917287971, 7917287974, 7917287973, 7917287962, 7917287963, 7917287964, 7917287965, 7917287966, 7917287972, 7917287968]",,,,,,,,,,,,,,,,,,,,,,,,,
way,282652894,dormitory,,"POLYGON ((114.3912012 30.5240642, 114.391204 30.5242543, 114.3919541 30.5242462, 114.3919482 30.5238453, 114.3911952 30.5238534, 114.3911976 30.5240201, 114.391333 30.5240186, 114.3913323 30.5239696, 114.3918694 30.5239638, 114.3918719 30.5241337, 114.3913279 30.5241396, 114.3913268 30.5240629, 114.3912012 30.5240642))",,"[2865943869, 2865943870, 2865943871, 2865943872, 2865943873, 2865943874, 2865943875, 2865943876, 2865943877, 2865943878, 2865943879, 2865943880, 2865943869]",,,,,6,,,,,,,,,,,,,,,,,,,,
