osmid,y,x,street_count,highway,geometry
1802899072,30.5259299,114.3934552,3,,POINT (114.3934552 30.5259299)
2864420724,30.5238959,114.3934075,4,,POINT (114.3934075 30.5238959)
2864420725,30.5213593,114.3933518,4,,POINT (114.3933518 30.5213593)
2864420726,30.5229105,114.3933859,3,,POINT (114.3933859 30.5229105)
2864420729,30.5213539,114.3953165,3,,POINT (114.3953165 30.5213539)
2864431745,30.5239055,114.3920763,3,,POINT (114.3920763 30.5239055)
2864431746,30.521354,114.3920594,4,,POINT (114.3920594 30.521354)
2864431748,30.5246583,114.3910952,4,,POINT (114.3910952 30.5246583)
2864431749,30.5246299,114.392076,3,,POINT (114.392076 30.5246299)
2864431750,30.5247536,114.3920811,3,,POINT (114.3920811 30.5247536)
2864431751,30.5247368,114.3934294,3,,POINT (114.3934294 30.5247368)
2864431754,30.525428,114.3934443,3,,POINT (114.3934443 30.525428)
2864431791,30.5256305,114.3961445,3,,POINT (114.3961445 30.5256305)
2864434503,30.5252909,114.3961488,3,,POINT (114.3961488 30.5252909)
2864434504,30.5252881,114.3954331,1,,POINT (114.3954331 30.5252881)
2864434505,30.5250069,114.3961524,3,,POINT (114.3961524 30.5250069)
2864434506,30.5250068,114.3954331,1,,POINT (114.3954331 30.5250068)
2864434507,30.5255418,114.3947363,1,,POINT (114.3947363 30.5255418)
2864434510,30.5242851,114.3947393,3,,POINT (114.3947393 30.5242851)
2864434512,30.5256546,114.3935931,1,,POINT (114.3935931 30.5256546)
2864434519,30.524755,114.3957887,3,,POINT (114.3957887 30.524755)
2864434520,30.524767,114.3947274,3,,POINT (114.3947274 30.524767)
2864434522,30.5247322,114.3960489,3,,POINT (114.3960489 30.5247322)
2864434526,30.5247595,114.3953944,3,,POINT (114.3953944 30.5247595)
2864434527,30.5244157,114.3953906,3,,POINT (114.3953906 30.5244157)
2864434528,30.5246464,114.3953931,3,,POINT (114.3953931 30.5246464)
2864434529,30.5246569,114.3947301,3,,POINT (114.3947301 30.5246569)
2864441873,30.5228705,114.3960797,4,,POINT (114.3960797 30.5228705)
2864441874,30.5228609,114.3991793,4,,POINT (114.3991793 30.5228609)
2864441876,30.5228525,114.3977966,3,,POINT (114.3977966 30.5228525)
2864441877,30.5252726,114.3987787,1,,POINT (114.3987787 30.5252726)
2864441881,30.5228537,114.3976998,3,,POINT (114.3976998 30.5228537)
2864441883,30.5209356,114.3957959,4,,POINT (114.3957959 30.5209356)
2864441887,30.5228577,114.3985215,4,,POINT (114.3985215 30.5228577)
2864441888,30.5209113,114.3985218,5,,POINT (114.3985218 30.5209113)
2864441889,30.5201235,114.3985394,3,,POINT (114.3985394 30.5201235)
2864441890,30.5201278,114.3977182,4,,POINT (114.3977182 30.5201278)
2864441892,30.5190324,114.3965957,4,,POINT (114.3965957 30.5190324)
2864441893,30.5190278,114.3977257,3,,POINT (114.3977257 30.5190278)
2864441895,30.5216208,114.3977138,4,crossing,POINT (114.3977138 30.5216208)
2864441896,30.5216097,114.3985252,5,,POINT (114.3985252 30.5216097)
2864441897,30.5233284,114.3999593,3,,POINT (114.3999593 30.5233284)
2864441899,30.5233283,114.3991747,4,,POINT (114.3991747 30.5233283)
2864441900,30.5233238,114.4012306,4,,POINT (114.4012306 30.5233238)
2864443001,30.5221239,114.3991667,3,,POINT (114.3991667 30.5221239)
2864443002,30.5221261,114.3985217,3,,POINT (114.3985217 30.5221261)
2864443003,30.5225919,114.3991669,3,,POINT (114.3991669 30.5225919)
2864443004,30.5225952,114.3999181,3,,POINT (114.3999181 30.5225952)
2864448080,30.5300172,114.3942304,5,,POINT (114.3942304 30.5300172)
2864448083,30.5292194,114.3951578,3,,POINT (114.3951578 30.5292194)
2864448084,30.5316447,114.3941036,3,,POINT (114.3941036 30.5316447)
2864448086,30.5308648,114.3948687,3,,POINT (114.3948687 30.5308648)
2864448087,30.5308209,114.394172,3,,POINT (114.394172 30.5308209)
2864448088,30.5308091,114.3949211,3,,POINT (114.3949211 30.5308091)
2864448089,30.5308893,114.3959464,3,,POINT (114.3959464 30.5308893)
2864448090,30.5296403,114.394995,3,,POINT (114.394995 30.5296403)
2864448093,30.5315028,114.3958894,4,,POINT (114.3958894 30.5315028)
2864448095,30.5302784,114.3949442,3,,POINT (114.3949442 30.5302784)
2864448096,30.530359,114.3959934,3,,POINT (114.3959934 30.530359)
2864448097,30.5317897,114.3958376,4,,POINT (114.3958376 30.5317897)
2864448098,30.5317022,114.3947912,3,,POINT (114.3947912 30.5317022)
2864448803,30.5310521,114.3941528,3,,POINT (114.3941528 30.5310521)
2864448804,30.5310136,114.3924311,3,,POINT (114.3924311 30.5310136)
2864448805,30.5316871,114.3925004,4,,POINT (114.3925004 30.5316871)
2864448807,30.5317322,114.391459,3,,POINT (114.391459 30.5317322)
2864448809,30.5313868,114.3914694,3,,POINT (114.3914694 30.5313868)
2864448810,30.5313126,114.3924618,3,,POINT (114.3924618 30.5313126)
2864448811,30.5313406,114.3920875,3,,POINT (114.3920875 30.5313406)
2864448812,30.5317038,114.3921148,3,,POINT (114.3921148 30.5317038)
2865944161,30.521956,114.395567,1,,POINT (114.395567 30.521956)
2875650992,30.5254326,114.3925361,3,,POINT (114.3925361 30.5254326)
2875650999,30.5247492,114.3927991,3,,POINT (114.3927991 30.5247492)
2875675191,30.5307082,114.3941814,3,,POINT (114.3941814 30.5307082)
2875675195,30.5309961,114.3927796,3,,POINT (114.3927796 30.5309961)
2875675196,30.5303404,114.3942119,3,,POINT (114.3942119 30.5303404)
2875675197,30.5303,114.3937139,3,,POINT (114.3937139 30.5303)
2875675200,30.5307344,114.3934724,4,,POINT (114.3934724 30.5307344)
2875677515,30.5307311,114.3934144,3,,POINT (114.3934144 30.5307311)
2875694819,30.5292293,114.3929989,1,,POINT (114.3929989 30.5292293)
2875697583,30.5299841,114.3938083,3,,POINT (114.3938083 30.5299841)
2875697584,30.5296735,114.3938524,3,,POINT (114.3938524 30.5296735)
2875697588,30.5300134,114.39374,3,,POINT (114.39374 30.5300134)
2875697589,30.5314295,114.3948164,3,,POINT (114.3948164 30.5314295)
2875697590,30.5317637,114.3960093,4,,POINT (114.3960093 30.5317637)
2875697599,30.5322605,114.3965036,1,,POINT (114.3965036 30.5322605)
2875705904,30.5310077,114.3934433,4,,POINT (114.3934433 30.5310077)
2875717311,30.5325561,114.3908459,3,,POINT (114.3908459 30.5325561)
2875717312,30.5325865,114.3907379,1,,POINT (114.3907379 30.5325865)
2875717314,30.5322863,114.3913012,3,,POINT (114.3913012 30.5322863)
2875717315,30.5320627,114.3925665,3,,POINT (114.3925665 30.5320627)
2875717317,30.5316413,114.3933608,4,,POINT (114.3933608 30.5316413)
2875733858,30.5203536,114.3920625,1,,POINT (114.3920625 30.5203536)
2877837871,30.5209062,114.3999359,4,,POINT (114.3999359 30.5209062)
2877837872,30.5200244,114.399939,3,,POINT (114.399939 30.5200244)
2877837880,30.5198405,114.3997438,3,,POINT (114.3997438 30.5198405)
2877837881,30.5194495,114.3985405,3,,POINT (114.3985405 30.5194495)
2877837882,30.5194636,114.4004235,3,,POINT (114.4004235 30.5194636)
2877837883,30.5194492,114.3994414,3,,POINT (114.3994414 30.5194492)
2877837885,30.51886,114.3985464,3,,POINT (114.3985464 30.51886)
2877837886,30.5188722,114.3994467,4,,POINT (114.3994467 30.5188722)
