u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,width,access,tunnel,bridge,maxspeed,service
2317863594,2317863652,0,222840524,residential,False,False,37.685,"LINESTRING (120.1652575 35.9420322, 120.1652468 35.9416934)",,,,,,,,
2317863594,8579025631,0,"[222840521, 222840519]",residential,False,True,65.75999999999999,"LINESTRING (120.1652575 35.9420322, 120.1654207 35.9420635, 120.165568 35.9421393, 120.1656765 35.9422671, 120.1657036 35.9424248)",,,,,,,,
2317863594,2317863653,0,"[222840524, 222840510]",residential,False,"[False, True]",82.434,"LINESTRING (120.1652575 35.9420322, 120.1651213 35.9420559, 120.1649931 35.9421252, 120.1649271 35.9422494, 120.1649189 35.9424462, 120.1649507 35.9426159)",,,,,,,,
2317863598,7984106850,0,222840513,service,False,True,19.242,"LINESTRING (120.168804 35.942696, 120.1686445 35.9425808)",,,,,,,,
2317863598,2317864088,0,222840516,residential,True,False,51.561,"LINESTRING (120.168804 35.942696, 120.1684591 35.9430662)",凤华路,,,,,,,
2317863600,7984106851,0,222840515,residential,False,False,18.41,"LINESTRING (120.168105 35.9434462, 120.1679501 35.9433381)",北油路,2,,,,,,
2317863600,7984106878,0,222840515,residential,False,True,60.938,"LINESTRING (120.168105 35.9434462, 120.1686446 35.9437771)",北油路,2,,,,,,
2317863602,3030351257,0,222840504,residential,False,False,31.227,"LINESTRING (120.1724453 35.9401651, 120.1721714 35.9399928)",致远路,2,,,,,,
2317863602,7984106847,0,856272980,footway,False,True,74.739,"LINESTRING (120.1724453 35.9401651, 120.173117 35.9405601)",,,,,,,,
2317863602,7984106842,0,930702734,tertiary,True,False,54.226,"LINESTRING (120.1724453 35.9401651, 120.1720772 35.9405511)",光华大道,,,,,,,
2317863603,7984106946,0,222840503,residential,False,True,66.982,"LINESTRING (120.1732122 35.9453648, 120.1731059 35.9447686)",华东路,2,,,,,,
2317863603,8668650587,0,222840514,residential,False,True,35.125,"LINESTRING (120.1732122 35.9453648, 120.1729067 35.9451683)",,,,,,,,
2317863603,8579026041,0,930702760,residential,False,False,22.437,"LINESTRING (120.1732122 35.9453648, 120.1731223 35.945553)",博翠东路,2,,,,,,
2317863603,8579026181,0,924350934,residential,False,False,87.51899999999999,"LINESTRING (120.1732122 35.9453648, 120.1734437 35.9454464, 120.1735655 35.9455266, 120.1737155 35.9455449, 120.173826 35.9455197, 120.1740666 35.9456596)",,,,,,,,
2317863604,8579026019,0,222840515,residential,False,False,27.885,"LINESTRING (120.1702272 35.9447284, 120.1699785 35.9445789)",北油路,2,,,,,,
2317863604,8579026021,0,222840605,residential,False,False,21.039,"LINESTRING (120.1702272 35.9447284, 120.170229 35.9449176)",博萃西路,2,,,,,,
2317863604,8579025259,0,222840605,residential,False,True,54.689,"LINESTRING (120.1702272 35.9447284, 120.1705569 35.9443153)",博萃西路,2,,,,,,
2317863608,8555994034,0,222840503,residential,False,False,89.022,"LINESTRING (120.1726712 35.9423188, 120.1727969 35.9431129)",华东路,2,,,,,,
2317863608,7984106816,0,222840503,residential,False,True,16.345,"LINESTRING (120.1726712 35.9423188, 120.1725306 35.9422258)",华东路,2,,,,,,
2317863608,2317863622,0,222840506,residential,False,False,99.82,"LINESTRING (120.1726712 35.9423188, 120.1737132 35.9426257)",,,,,,,,
2317863608,8579026201,0,222840506,residential,False,True,24.276,"LINESTRING (120.1726712 35.9423188, 120.172836 35.942146)",,,,,,,,
2317863612,8579025996,0,222840602,residential,False,False,15.393,"LINESTRING (120.1686902 35.9386188, 120.1686191 35.9387447)",芳华路,2,,,,,,
2317863612,2317863655,0,222840602,residential,False,True,97.833,"LINESTRING (120.1686902 35.9386188, 120.1692786 35.9378791)",芳华路,2,,,,,,
2317863612,9083456311,0,856247225,residential,False,False,93.848,"LINESTRING (120.1686902 35.9386188, 120.1678571 35.9381115)",,2,,,,,,
2317863612,8579026003,0,856247225,residential,False,True,47.559,"LINESTRING (120.1686902 35.9386188, 120.1691067 35.9388819)",,2,,,,,,
2317863616,7984070266,0,222840502,residential,False,False,58.39,"LINESTRING (120.1747949 35.9400232, 120.1744327 35.9404588)",,,,,,,,
2317863616,7984070272,0,222840502,residential,False,True,118.402,"LINESTRING (120.1747949 35.9400232, 120.1737411 35.9393861)",,,,,,,,
