element_type,osmid,nodes,intermittent,natural,water,geometry,name,tidal,salt
way,924354536,"[8579066013, 8579066014, 8579066015, 8579066016, 8579066617, 8579066618, 8579066619, 8579066620, 8579066013]",yes,water,basin,"POLYGON ((120.1715499 35.9400024, 120.1715592 35.939948, 120.171604 35.9399253, 120.1716507 35.9399404, 120.1716657 35.9399812, 120.1716451 35.9400054, 120.1716096 35.9400281, 120.1715629 35.9400281, 120.1715499 35.9400024))",,,
way,924666040,"[8581684481, 8417785623, 8417785624, 8581675636, 6279623071, 8581675637, 8581675638, 8581675639, 8581675640, 8581675641, 8581675642, 8581675643, 5253944912, 5253944911, 5253944910, 5253944909, 5253944908, 5253944907, 5253944905, 8581675644, 8581675645, 8581675646, 8581675647, 8581675648, 8581675649, 8581675650, 8581675651, 8581675652, 8581675653, 8581675654, 8581675655, 8581675656, 8581675657, 8581675658, 8581675659, 8581675660, 8581675661, 8581675662, 8581675663, 8581675664, 8581675665, 8581675666, 8581675667, 8581675668, 8581675669, 8581675670, 8581675671, 8581675672, 8581675673, 8581675674, 8581675675, 8581675676, 8581675677, 8581675678, 8581675679, 8581675680, 5413988802, 5413988803, 5413988800, 8581675681, 8581675682, 8581675683, 8581675684, 8581675685, 8581675686, 8581675687, 8581675688, 8581675689, 8581675690, 8581675691, 8581675692, 8581675693, 8581675694, 8581675695, 8581675696, 8581675697, 8581675698, 8581675699, 8581675700, 2317864235, 8661071918, 7983909302, 8629536045, 8629536335, 7983909303, 8661053613, 8661053614, 7983909304, 8661053615, 8661053616, 8661071917, 7983909305, 8581675701, 8581675702, 8581675703, 9111128047, 9111128048, 8581675704, 8581675705, 8581675706, 8581675707, 8581675708, 8581675709, 8581675710, 8581675711, 8581675712, 8581675713, 8581675714, 8581675715, 8581675716, 8581684417, 8581684418, 8581684419, 8581684420, 9111127933, 8581684421, 150844183, 3685211389, 8581684481]",no,water,river,"POLYGON ((120.1696092 35.9339947, 120.1694482 35.9340699, 120.1692755 35.9341042, 120.1688058 35.9341061, 120.1687217 35.9340958, 120.1686542 35.9338377, 120.1685298 35.9338665, 120.1685083 35.9337727, 120.1670063 35.9340159, 120.1669634 35.9339812, 120.166251 35.9341445, 120.1662124 35.9341827, 120.1659793 35.9347027, 120.1660383 35.934846, 120.1659042 35.9350718, 120.1657003 35.9355192, 120.1655019 35.9360231, 120.1653678 35.9361621, 120.1651424 35.9365964, 120.1649292 35.937216, 120.1649764 35.9380916, 120.1649807 35.9386302, 120.1649078 35.9390317, 120.1649464 35.939261, 120.1649249 35.9400914, 120.164882 35.9402617, 120.1647962 35.9403868, 120.1643799 35.9407594, 120.1642941 35.940881, 120.1640666 35.9410096, 120.1638992 35.9411694, 120.1638091 35.9413084, 120.1637018 35.9415865, 120.1632641 35.9430701, 120.1631226 35.943222, 120.1630067 35.9437883, 120.1629294 35.9440489, 120.1626333 35.9450708, 120.1624574 35.9459985, 120.162363 35.946669, 120.1621655 35.9477257, 120.1620325 35.9482051, 120.1619681 35.9486185, 120.1618308 35.9488582, 120.1617922 35.9492612, 120.1617536 35.9506596, 120.1616634 35.9513839, 120.1615991 35.9517834, 120.1615089 35.9518216, 120.1614832 35.9518911, 120.1614961 35.9519467, 120.1615261 35.9519884, 120.1613673 35.9526121, 120.1612815 35.9529074, 120.1610197 35.9541348, 120.1603887 35.957143, 120.1602702 35.9576302, 120.1593677 35.9612632, 120.1588095 35.9614391, 120.1587645 35.961694, 120.1594555 35.9614092, 120.1605842 35.9569207, 120.161494 35.9529798, 120.1615755 35.9526046, 120.1619145 35.9508982, 120.1620862 35.9502311, 120.1620991 35.9494703, 120.162142 35.9492446, 120.1622879 35.9487825, 120.1623093 35.9483934, 120.1623995 35.9480147, 120.1625111 35.9477427, 120.1626355 35.9471521, 120.1627213 35.946426, 120.1628544 35.9458875, 120.163026 35.9450393, 120.1631462 35.944671, 120.1632578 35.9441116, 120.1632621 35.9439309, 120.1633774 35.9434465, 120.1639861 35.9420176, 120.1641497 35.9417494, 120.1645303 35.9413405, 120.1652244 35.940596, 120.1653417 35.9405491, 120.1654265 35.9404376, 120.1654641 35.9402182, 120.1655015 35.9401162, 120.1655484 35.9399975, 120.1655891 35.9398583, 120.1656124 35.939731, 120.1656283 35.9394443, 120.1656481 35.9392979, 120.1656814 35.9383405, 120.1656557 35.9381806, 120.1656606 35.9379987, 120.1658319 35.9377259, 120.1658442 35.9377064, 120.1659029 35.9374971, 120.1660591 35.9371502, 120.1663681 35.9368861, 120.166441 35.9366255, 120.1665998 35.9364691, 120.1668831 35.9362711, 120.1669815 35.936021, 120.1670974 35.9358959, 120.1671832 35.9356839, 120.1674536 35.935531, 120.1674278 35.9349751, 120.1680158 35.9348152, 120.1679857 35.934711, 120.1688884 35.9345268, 120.1689473 35.934652, 120.16936 35.9346546, 120.1694954 35.9346706, 120.1696335 35.9347171, 120.1698167 35.9347908, 120.1694769 35.9341999, 120.1696092 35.9339947))",岔河,yes,
way,926721502,"[8599197517, 8599197518, 8599197519, 8599197520, 8599197521, 8599197522, 8599197523, 8599197524, 8668647647, 8599197525, 8599197526, 8599197527, 8599197528, 8599197529, 8599197530, 8599197588, 8599197517]",no,water,lake,"POLYGON ((120.1771821 35.9458836, 120.1772139 35.9458821, 120.17727 35.9458942, 120.1773391 35.9459442, 120.1773802 35.9459865, 120.1774045 35.9460743, 120.1774363 35.946159, 120.1774339 35.946181, 120.1774244 35.9462009, 120.1774027 35.9461999, 120.177384 35.9461651, 120.1773597 35.9460955, 120.1772737 35.9460002, 120.1772176 35.9459321, 120.1771877 35.9459094, 120.177185 35.9458968, 120.1771821 35.9458836))",,no,no
way,926721503,"[8599197531, 8599197532, 8599197533, 8599197534, 8599197535, 8599197536, 8599197537, 8599197538, 8599197531]",no,water,lake,"POLYGON ((120.1772924 35.9455356, 120.1772214 35.9454584, 120.1772008 35.9453994, 120.177212 35.9453525, 120.1772606 35.9453797, 120.1772943 35.9453949, 120.1773073 35.945466, 120.1773204 35.945528, 120.1772924 35.9455356))",,no,no
way,926721504,"[8599197539, 8599197540, 8599197541, 8599197542, 8599197543, 8599197544, 8599197545, 8599197546, 8599197539]",no,water,lake,"POLYGON ((120.1765354 35.9451467, 120.1765167 35.9451315, 120.1765428 35.9451164, 120.1766101 35.9451134, 120.1766475 35.9451013, 120.1766924 35.9451179, 120.1766475 35.9451376, 120.1766027 35.9451512, 120.1765354 35.9451467))",,no,no
way,926721505,"[8599197547, 8599197548, 8668647635, 8599197549, 8599197550, 8599197551, 8668647636, 8599197552, 8599197547]",yes,water,lake,"POLYGON ((120.1758407 35.945243, 120.17586 35.9451753, 120.17586 35.9451203, 120.1758343 35.9451109, 120.1757935 35.9451422, 120.1757827 35.9451996, 120.1757866 35.945239, 120.1758085 35.9452535, 120.1758407 35.945243))",,no,no
way,926721506,"[8599197553, 8599197554, 8599197555, 8599197556, 8599197557, 8599197558, 8599197559, 8599197560, 8599197553]",no,water,lake,"POLYGON ((120.1777839 35.9471847, 120.1777882 35.9471551, 120.1778118 35.9471325, 120.177829 35.947143, 120.1778569 35.9471847, 120.1778697 35.9472473, 120.1778247 35.9472403, 120.1777946 35.947216, 120.1777839 35.9471847))",,no,no
way,926721507,"[8599197561, 8599197562, 8599197571, 8599197563, 8599197564, 8599197565, 8599197566, 8599197567, 8599197561]",yes,water,lake,"POLYGON ((120.1759266 35.9460114, 120.1759373 35.9459888, 120.17597 35.9459899, 120.1759889 35.9459905, 120.1759996 35.9460235, 120.1759996 35.9460444, 120.1759588 35.94606, 120.1759309 35.9460392, 120.1759266 35.9460114))",,no,no
way,929756538,"[8622263056, 8622263057, 8622263058, 8622263059, 8622263060, 8622263064, 8622263061, 8622263062, 8622263063, 8622263056]",yes,water,lake,"POLYGON ((120.1743717 35.9466875, 120.1744168 35.9466918, 120.1744426 35.946677, 120.1744415 35.9466128, 120.1744157 35.9465172, 120.1743785 35.9465005, 120.1743674 35.9464955, 120.1743492 35.9465389, 120.1743492 35.9466301, 120.1743717 35.9466875))",,no,no
way,929756552,"[8599197605, 8622265636, 8622265637, 8622265638, 8622265639, 8622265640, 8622265635, 8622265641, 8622265642, 8622265643, 8622265644, 8622265645, 8599197605]",no,water,lake,"POLYGON ((120.1763434 35.9450273, 120.1763457 35.94504, 120.1763697 35.9450526, 120.1763938 35.9450687, 120.1764271 35.9451019, 120.1764667 35.9451185, 120.1764889 35.9451189, 120.1764887 35.9451054, 120.1764582 35.9450956, 120.1764377 35.9450716, 120.1763931 35.9450366, 120.1763598 35.9450234, 120.1763434 35.9450273))",,no,no
