u,v,key,osmid,highway,oneway,reversed,length,geometry
1816089441,4915853012,0,"[500558563, 170476557]","['service', 'residential']",False,False,126.43599999999998,"LINESTRING (116.346534 39.9636549, 116.3465416 39.9634958, 116.3465598 39.9631156, 116.3459999 39.9631013, 116.3457808 39.9630958)"
1816089441,4915843147,0,"[500556386, 170476557]",residential,False,True,191.443,"LINESTRING (116.346534 39.9636549, 116.3465226 39.964068, 116.3464954 39.9647655, 116.3456987 39.964757)"
4915843147,1816089441,0,"[500556386, 170476557]",residential,False,False,191.44299999999998,"LINESTRING (116.3456987 39.964757, 116.3464954 39.9647655, 116.3465226 39.964068, 116.346534 39.9636549)"
4915843147,4915855321,0,500556387,residential,False,False,140.743,"LINESTRING (116.3456987 39.964757, 116.3443961 39.9647282, 116.3444112 39.9644615)"
4915843152,4915855321,0,500556387,residential,False,True,25.287,"LINESTRING (116.3444241 39.9642343, 116.3444112 39.9644615)"
4915853012,1816089441,0,"[500558563, 170476557]","['service', 'residential']",False,True,126.436,"LINESTRING (116.3457808 39.9630958, 116.3459999 39.9631013, 116.3465598 39.9631156, 116.3465416 39.9634958, 116.346534 39.9636549)"
4915853016,4915855322,0,500558568,service,False,True,43.849,"LINESTRING (116.3438951 39.9648017, 116.3438772 39.9651958)"
4915853016,4915855321,0,500558568,service,False,False,81.557,"LINESTRING (116.3438951 39.9648017, 116.3439015 39.9647305, 116.3441659 39.9647369, 116.3441772 39.9644571, 116.3444112 39.9644615)"
4915853017,4915855322,0,500558568,service,False,False,25.096,"LINESTRING (116.3438651 39.9654213, 116.3438772 39.9651958)"
4915855321,4915843152,0,500556387,residential,False,False,25.287,"LINESTRING (116.3444112 39.9644615, 116.3444241 39.9642343)"
4915855321,4915843147,0,500556387,residential,False,True,140.743,"LINESTRING (116.3444112 39.9644615, 116.3443961 39.9647282, 116.3456987 39.964757)"
4915855321,4915853016,0,500558568,service,False,True,81.55700000000002,"LINESTRING (116.3444112 39.9644615, 116.3441772 39.9644571, 116.3441659 39.9647369, 116.3439015 39.9647305, 116.3438951 39.9648017)"
4915855322,4915853016,0,500558568,service,False,False,43.849,"LINESTRING (116.3438772 39.9651958, 116.3438951 39.9648017)"
4915855322,4915853017,0,500558568,service,False,True,25.096,"LINESTRING (116.3438772 39.9651958, 116.3438651 39.9654213)"
4915855322,4915855323,0,500558570,service,False,False,53.313,"LINESTRING (116.3438772 39.9651958, 116.3432518 39.9651848)"
4915855323,4915855322,0,500558570,service,False,True,53.313,"LINESTRING (116.3432518 39.9651848, 116.3438772 39.9651958)"
