element_type,osmid,nodes,building,geometry,name
way,150493826,"[1634035418, 1634035401, 1634035403, 1634035414, 1634035432, 1634035447, 1634035427, 1634035430, 1634035397, 1634035424, 1634035399, 1634035442, 1634035416, 1634035408, 1634035434, 1634035405, 1634035412, 1634035395, 1634035450, 1634035409, 1634035455, 1634035452, 1634035422, 1634035438, 1634035418]",yes,"POLYGON ((106.5043287 29.5350295, 106.5043264 29.5348659, 106.5043827 29.5348636, 106.5043827 29.5348309, 106.5041413 29.5348309, 106.5041413 29.5346769, 106.5045281 29.5346729, 106.5045278 29.5348286, 106.5044539 29.5348287, 106.5044524 29.5348659, 106.5053912 29.5348566, 106.5053912 29.5348192, 106.505311 29.5348199, 106.5053115 29.5346719, 106.5057033 29.5346722, 106.505701 29.5348239, 106.5054556 29.5348262, 106.5054556 29.5348542, 106.5055043 29.5348547, 106.5055072 29.5350206, 106.5053429 29.5350199, 106.5053426 29.5349897, 106.5045002 29.5349923, 106.5045024 29.5350316, 106.5043287 29.5350295))",
way,150496988,"[1634070209, 1634070119, 1634070126, 1634070218, 1634070209]",yes,"POLYGON ((106.5053779 29.5355277, 106.5053758 29.5352999, 106.5056486 29.535298, 106.5056507 29.5355257, 106.5053779 29.5355277))",
way,150505286,"[1634089273, 1634089285, 1634089272, 1634089267, 1634089271, 1634089264, 1634089280, 1634089279, 1634089286, 1634089278, 1634089287, 1634089269, 1634089277, 1634089263, 1634089268, 1634089283, 1634089288, 1634089275, 1634089274, 1634089270, 1634089265, 1634089282, 1634089284, 1634089276, 1634089273]",yes,"POLYGON ((106.504138 29.5361345, 106.5041386 29.5359837, 106.5043881 29.5359837, 106.5043881 29.5359464, 106.5043237 29.5359464, 106.5043237 29.535811, 106.5044951 29.5358089, 106.5044927 29.5358554, 106.5053419 29.5358533, 106.5053429 29.5358087, 106.5055092 29.5358064, 106.5055065 29.535958, 106.50546 29.5359584, 106.5054609 29.5359977, 106.5057062 29.5359963, 106.5057046 29.5361379, 106.5053161 29.5361424, 106.5053188 29.5360024, 106.505396 29.5360026, 106.5053992 29.5359557, 106.5044578 29.5359534, 106.5044571 29.5359838, 106.5045246 29.5359863, 106.5045247 29.5361402, 106.504138 29.5361345))",
way,150506165,"[1634089952, 1634089953, 1634089948, 1634089949, 1634089951, 1634089950, 1634089946, 1634089947, 1634089952]",yes,"POLYGON ((106.5043011 29.536449, 106.5057346 29.5364515, 106.5057351 29.5362563, 106.5052613 29.5362555, 106.5052615 29.5361917, 106.5046796 29.5361907, 106.5046795 29.5362502, 106.5043016 29.5362496, 106.5043011 29.536449))",
way,150507552,"[1634110531, 1634110594, 1634110578, 1634110542, 1634110581, 1634110536, 1634110573, 1634110603, 1634110601, 1634110599, 1634110555, 1634110544, 1634110551, 1634110531]",yes,"POLYGON ((106.506134 29.5371459, 106.5065363 29.5371446, 106.5065321 29.5367365, 106.5064992 29.5367356, 106.5064964 29.5363907, 106.5061255 29.5363856, 106.506126 29.5364977, 106.5062388 29.5365018, 106.5061693 29.5366383, 106.5061281 29.5367308, 106.5061145 29.5368129, 106.5061154 29.5368801, 106.5061234 29.5369452, 106.506134 29.5371459))",
way,150508884,"[1634120714, 1634120723, 1634120718, 1634120710, 1634120714]",yes,"POLYGON ((106.5066365 29.5371552, 106.5069357 29.5371564, 106.5069343 29.5368318, 106.5066351 29.5368328, 106.5066365 29.5371552))",
way,150508887,"[1634120713, 1634120725, 1634120721, 1634120712, 1634120713]",yes,"POLYGON ((106.5066312 29.5366594, 106.5069307 29.5366587, 106.5069302 29.5363118, 106.5066288 29.5363151, 106.5066312 29.5366594))",
way,150510808,"[1634129618, 1634129636, 1634129651, 1634129664, 1634129620, 1634129670, 1634129619, 1634129649, 1634129632, 1634129625, 1634129627, 1634129634, 1634129616, 1634129653, 1634129666, 1634129652, 1634129640, 1634129668, 1634129617, 1634129656, 1634129642, 1634129618]",yes,"POLYGON ((106.5059893 29.5360561, 106.5059866 29.5357947, 106.5061824 29.5357924, 106.5062549 29.5357247, 106.5063644 29.5357248, 106.5064395 29.5357868, 106.5067191 29.5357834, 106.5067162 29.5357364, 106.5066304 29.535699, 106.5066304 29.535615, 106.5066974 29.5355847, 106.5067511 29.5356267, 106.5068128 29.5355847, 106.5068742 29.5356175, 106.506873 29.5357003, 106.5067844 29.5357353, 106.5067845 29.5357808, 106.5068807 29.535781, 106.5068825 29.5361121, 106.5060188 29.5361144, 106.5060162 29.5360561, 106.5059893 29.5360561))",
way,150512648,"[1634144200, 1634144209, 1634144206, 1634144208, 1634144200]",yes,"POLYGON ((106.5066902 29.5373628, 106.5066868 29.5372077, 106.506924 29.5372051, 106.506924 29.5373603, 106.5066902 29.5373628))",
way,150512649,"[1634144210, 1634144202, 1634144203, 1634144204, 1634144210]",yes,"POLYGON ((106.5059111 29.5376451, 106.5066987 29.537645, 106.5066998 29.5375285, 106.5059101 29.5375307, 106.5059111 29.5376451))",
