u,v,key,osmid,highway,oneway,reversed,length,geometry
1633677390,1633730944,0,150456753,service,False,True,44.556,"LINESTRING (106.5059059 29.5357526, 106.5059078 29.5361533)"
1633677390,1634070215,0,"[150455144, 150455145]","['steps', 'path']",False,True,98.08000000000001,"LINESTRING (106.5059059 29.5357526, 106.5057837 29.5357483, 106.5048922 29.5357493)"
1633677390,1633677443,0,150456753,service,False,False,40.418,"LINESTRING (106.5059059 29.5357526, 106.5059067 29.5357408, 106.505971 29.5356801, 106.5060461 29.5356171, 106.506081 29.5355658, 106.5061132 29.5355168, 106.5061293 29.5354561)"
1633677393,1633699199,0,150456753,service,False,False,18.871,"LINESTRING (106.5040592 29.5350873, 106.5040612 29.535257)"
1633677393,1633677418,0,150456753,service,False,True,58.124,"LINESTRING (106.5040592 29.5350873, 106.5040533 29.5345646)"
1633677393,1634070185,0,150455143,path,False,False,80.822,"LINESTRING (106.5040592 29.5350873, 106.5040946 29.5350876, 106.5048946 29.5350903)"
1633677412,1633730944,0,150456753,service,False,False,35.383,"LINESTRING (106.5059092 29.5364715, 106.5059078 29.5361533)"
1633677412,1633678195,0,150456753,service,False,True,148.157,"LINESTRING (106.5059092 29.5364715, 106.5043778 29.5364794)"
1633677412,1633727365,0,150455392,service,False,True,93.334,"LINESTRING (106.5059092 29.5364715, 106.5059081 29.5368113, 106.5059067 29.5372437, 106.5058295 29.5372438)"
1633677413,1633692505,0,150456753,service,False,False,118.185,"LINESTRING (106.5056438 29.5345623, 106.5044222 29.5345641)"
1633677413,1633677420,0,150456753,service,False,True,66.815,"LINESTRING (106.5056438 29.5345623, 106.5057697 29.5346702, 106.5058503 29.5347863, 106.5058799 29.5348797, 106.5058821 29.5350943)"
1633677413,1634911339,0,150457001,service,False,False,41.201,"LINESTRING (106.5056438 29.5345623, 106.5056426 29.534536, 106.5056402 29.5341918)"
1633677418,1633677393,0,150456753,service,False,False,58.124,"LINESTRING (106.5040533 29.5345646, 106.5040592 29.5350873)"
1633677418,1633692505,0,150456753,service,False,True,35.69,"LINESTRING (106.5040533 29.5345646, 106.5044222 29.5345641)"
1633677418,1634917102,0,150590979,service,False,False,15.771,"LINESTRING (106.5040533 29.5345646, 106.5039173 29.5344864)"
1633677420,1634070185,0,"[150455146, 150455143]","['steps', 'path']",False,True,95.539,"LINESTRING (106.5058821 29.5350943, 106.5057423 29.5350923, 106.5048946 29.5350903)"
1633677420,1633677413,0,150456753,service,False,False,66.815,"LINESTRING (106.5058821 29.5350943, 106.5058799 29.5348797, 106.5058503 29.5347863, 106.5057697 29.5346702, 106.5056438 29.5345623)"
1633677420,1633677443,0,150456753,service,False,True,48.305,"LINESTRING (106.5058821 29.5350943, 106.5058823 29.5351133, 106.5059576 29.5351924, 106.5060703 29.5352951, 106.5061105 29.5353651, 106.5061293 29.5354561)"
1633677442,8896253929,0,150455391,service,False,True,31.101,"LINESTRING (106.5040535 29.536481, 106.5037504 29.5365742)"
1633677442,1633678195,0,150456753,service,False,False,31.375,"LINESTRING (106.5040535 29.536481, 106.5043778 29.5364794)"
1633677442,1633677446,0,150456753,service,False,True,81.266,"LINESTRING (106.5040535 29.536481, 106.5040625 29.5357502)"
1633677443,1633677420,0,150456753,service,False,False,48.305,"LINESTRING (106.5061293 29.5354561, 106.5061105 29.5353651, 106.5060703 29.5352951, 106.5059576 29.5351924, 106.5058823 29.5351133, 106.5058821 29.5350943)"
1633677443,1633730940,0,"[150456753, 150455142]","['residential', 'service']",False,True,77.60199999999999,"LINESTRING (106.5061293 29.5354561, 106.5061442 29.535456, 106.506299 29.5354551, 106.5067765 29.5354521, 106.5068964 29.5354514, 106.5069314 29.5354515)"
1633677443,1633677390,0,150456753,service,False,True,40.418,"LINESTRING (106.5061293 29.5354561, 106.5061132 29.5355168, 106.506081 29.5355658, 106.5060461 29.5356171, 106.505971 29.5356801, 106.5059067 29.5357408, 106.5059059 29.5357526)"
1633677446,1633677442,0,150456753,service,False,False,81.266,"LINESTRING (106.5040625 29.5357502, 106.5040535 29.536481)"
1633677446,1633681218,0,150456753,service,False,True,23.618,"LINESTRING (106.5040625 29.5357502, 106.5040617 29.5355378)"
1633677446,1634070215,0,150455145,path,False,False,80.26899999999999,"LINESTRING (106.5040625 29.5357502, 106.5040935 29.5357502, 106.5048922 29.5357493)"
1633678180,1633678189,0,150455391,service,False,False,5.998,"LINESTRING (106.5036509 29.5372491, 106.5035946 29.5372717)"
1633678180,1634203951,0,150455391,service,False,True,39.415,"LINESTRING (106.5036509 29.5372491, 106.5040583 29.537246)"
1633678180,1633678816,0,"[150455485, 150521487]","['steps', 'footway']",False,False,71.553,"LINESTRING (106.5036509 29.5372491, 106.5036483 29.5372227, 106.503648 29.5366914, 106.5036479 29.5366057)"
1633678189,1634169811,0,150455391,service,False,False,30.623,"LINESTRING (106.5035946 29.5372717, 106.5035956 29.5375471)"
1633678189,1633678180,0,150455391,service,False,True,5.998,"LINESTRING (106.5035946 29.5372717, 106.5036509 29.5372491)"
1633678189,1634199249,0,150516103,service,False,False,13.193,"LINESTRING (106.5035946 29.5372717, 106.503588 29.5372466, 106.5035444 29.5371618)"
1633678190,1633678816,0,150455391,service,False,False,10.424,"LINESTRING (106.5035463 29.5366369, 106.5036479 29.5366057)"
1633678190,1634203950,0,150455391,service,False,True,39.948,"LINESTRING (106.5035463 29.5366369, 106.5032016 29.5368347)"
1633678190,1634199249,0,"[150518424, 150518425]","['steps', 'footway']",False,True,58.366,"LINESTRING (106.5035463 29.5366369, 106.5035459 29.5367418, 106.5035444 29.5371618)"
1633678195,8896253928,0,150455392,service,False,False,35.305,"LINESTRING (106.5043778 29.5364794, 106.5043766 29.5367969)"
1633678195,1633677412,0,150456753,service,False,False,148.157,"LINESTRING (106.5043778 29.5364794, 106.5059092 29.5364715)"
1633678195,1633677442,0,150456753,service,False,True,31.375,"LINESTRING (106.5043778 29.5364794, 106.5040535 29.536481)"
1633678816,8896253929,0,150455391,service,False,False,10.517,"LINESTRING (106.5036479 29.5366057, 106.5037504 29.5365742)"
1633678816,1633678190,0,150455391,service,False,True,10.424,"LINESTRING (106.5036479 29.5366057, 106.5035463 29.5366369)"
1633678816,1633678180,0,"[150455485, 150521487]","['steps', 'footway']",False,True,71.553,"LINESTRING (106.5036479 29.5366057, 106.503648 29.5366914, 106.5036483 29.5372227, 106.5036509 29.5372491)"
1633678818,8896253928,0,150455392,service,False,True,49.704,"LINESTRING (106.504375 29.5372439, 106.5043766 29.5367969)"
1633678818,1634203951,0,150455391,service,False,False,30.639,"LINESTRING (106.504375 29.5372439, 106.5043204 29.537244, 106.5040583 29.537246)"
1633678818,1633727365,0,150455392,service,False,False,140.93800000000002,"LINESTRING (106.504375 29.5372439, 106.5043751 29.537246, 106.5058295 29.5372438)"
1633681218,1633677446,0,150456753,service,False,False,23.618,"LINESTRING (106.5040617 29.5355378, 106.5040625 29.5357502)"
1633681218,8896253939,0,150456753,service,False,True,13.533,"LINESTRING (106.5040617 29.5355378, 106.5040627 29.5354161)"
1633681218,8896253930,0,150455926,service,False,False,268.527,"LINESTRING (106.5040617 29.5355378, 106.504024 29.5356161, 106.503983 29.5357061, 106.5039245 29.5357875, 106.5038145 29.5358691, 106.503498 29.5360278, 106.5030796 29.5362519, 106.5027497 29.5363359, 106.5026344 29.5363732, 106.5025512 29.5364269, 106.5024305 29.5365622, 106.5023527 29.5365879, 106.501748 29.536577)"
1633692505,1633677418,0,150456753,service,False,False,35.69,"LINESTRING (106.5044222 29.5345641, 106.5040533 29.5345646)"
1633692505,1633677413,0,150456753,service,False,True,118.185,"LINESTRING (106.5044222 29.5345641, 106.5056438 29.5345623)"
1633692505,1633692508,0,150456934,service,False,False,41.278,"LINESTRING (106.5044222 29.5345641, 106.5044233 29.5345361, 106.504421 29.5341929)"
1633692507,1633692508,0,150456934,service,False,True,48.876,"LINESTRING (106.5039158 29.5341935, 106.504421 29.5341929)"
1633692507,1634917102,0,150590982,service,False,True,32.569,"LINESTRING (106.5039158 29.5341935, 106.5039173 29.5344864)"
1633692507,1634910744,0,150456934,service,False,False,176.682,"LINESTRING (106.5039158 29.5341935, 106.5039202 29.5334096, 106.5038513 29.5333514, 106.5037812 29.5333294, 106.5030674 29.5335426)"
1633692508,1633692507,0,150456934,service,False,False,48.876,"LINESTRING (106.504421 29.5341929, 106.5039158 29.5341935)"
1633692508,1634911339,0,150590455,service,False,False,117.953,"LINESTRING (106.504421 29.5341929, 106.5056402 29.5341918)"
1633692508,1633692505,0,150456934,service,False,True,41.278,"LINESTRING (106.504421 29.5341929, 106.5044233 29.5345361, 106.5044222 29.5345641)"
1633692509,1634910744,0,150456934,service,False,True,9.3,"LINESTRING (106.5029765 29.5335698, 106.5030674 29.5335426)"
1633693261,1634911339,0,150457001,service,False,True,122.826,"LINESTRING (106.505637 29.5330872, 106.5056402 29.5341918)"
1633699199,1633677393,0,150456753,service,False,True,18.871,"LINESTRING (106.5040612 29.535257, 106.5040592 29.5350873)"
1633699199,8896253939,0,150456753,service,False,False,17.692,"LINESTRING (106.5040612 29.535257, 106.5040628 29.5354004, 106.5040627 29.5354161)"
1633699199,1633699204,0,150457282,service,False,True,101.518,"LINESTRING (106.5040612 29.535257, 106.5040189 29.5351572, 106.5039768 29.5350854, 106.5039308 29.535033, 106.5038686 29.5349735, 106.5037838 29.5349163, 106.5037121 29.5348829, 106.5036122 29.534858, 106.5032386 29.5348631)"
1633699204,1633699199,0,150457282,service,False,False,101.51799999999999,"LINESTRING (106.5032386 29.5348631, 106.5036122 29.534858, 106.5037121 29.5348829, 106.5037838 29.5349163, 106.5038686 29.5349735, 106.5039308 29.535033, 106.5039768 29.5350854, 106.5040189 29.5351572, 106.5040612 29.535257)"
1633727363,1633727365,0,150461617,service,False,False,45.324,"LINESTRING (106.5058268 29.5376514, 106.5058295 29.5372438)"
1633727365,1633727363,0,150461617,service,False,True,45.324,"LINESTRING (106.5058295 29.5372438, 106.5058268 29.5376514)"
1633727365,1633677412,0,150455392,service,False,False,93.334,"LINESTRING (106.5058295 29.5372438, 106.5059067 29.5372437, 106.5059081 29.5368113, 106.5059092 29.5364715)"
1633727365,1633678818,0,150455392,service,False,True,140.93800000000002,"LINESTRING (106.5058295 29.5372438, 106.5043751 29.537246, 106.504375 29.5372439)"
1633730940,1633677443,0,"[150456753, 150455142]","['residential', 'service']",False,False,77.602,"LINESTRING (106.5069314 29.5354515, 106.5068964 29.5354514, 106.5067765 29.5354521, 106.506299 29.5354551, 106.5061442 29.535456, 106.5061293 29.5354561)"
1633730940,1633730943,0,150462367,service,False,True,113.52099999999999,"LINESTRING (106.5069314 29.5354515, 106.5069317 29.5361505, 106.5065617 29.5361515)"
1633730941,1633730943,0,150507554,service,False,False,114.787,"LINESTRING (106.5065633 29.5371838, 106.5065617 29.5361515)"
1633730943,1633730944,0,150462367,service,False,True,63.262,"LINESTRING (106.5065617 29.5361515, 106.5059078 29.5361533)"
1633730943,1633730941,0,150507554,service,False,True,114.787,"LINESTRING (106.5065617 29.5361515, 106.5065633 29.5371838)"
1633730943,1633730940,0,150462367,service,False,False,113.52099999999999,"LINESTRING (106.5065617 29.5361515, 106.5069317 29.5361505, 106.5069314 29.5354515)"
1633730944,1633677390,0,150456753,service,False,False,44.556,"LINESTRING (106.5059078 29.5361533, 106.5059059 29.5357526)"
1633730944,1633677412,0,150456753,service,False,True,35.383,"LINESTRING (106.5059078 29.5361533, 106.5059092 29.5364715)"
1633730944,1633730943,0,150462367,service,False,False,63.262,"LINESTRING (106.5059078 29.5361533, 106.5065617 29.5361515)"
1634070104,1634070215,0,150496986,footway,False,True,22.242,"LINESTRING (106.5048924 29.5355506, 106.5048896 29.535748, 106.5048922 29.5357493)"
1634070104,1634070197,0,150496992,footway,False,False,44.602999999999994,"LINESTRING (106.5048924 29.5355506, 106.5048437 29.5355462, 106.5047823 29.5355146, 106.5047545 29.5354796, 106.5047432 29.535447, 106.5047507 29.535385, 106.5047797 29.5353445, 106.5048198 29.5353185, 106.5048668 29.5353065, 106.504894 29.5353061)"
