u,v,key,osmid,name,highway,oneway,reversed,length,geometry
926008883,2083975169,0,198239275,白杨大道,service,False,False,171.375,"LINESTRING (116.5551578 39.9113549, 116.5551754 39.9111967, 116.5551867 39.9109723, 116.5552302 39.9109628, 116.5553245 39.9102491, 116.555381 39.9098456)"
926008883,7234542416,0,198239275,白杨大道,service,False,True,353.452,"LINESTRING (116.5551578 39.9113549, 116.5550574 39.9122562, 116.5550038 39.9122953, 116.5549471 39.9122921, 116.5543224 39.9122569, 116.5521226 39.9121148)"
2083975169,2083987773,0,198238555,,service,False,True,120.952,"LINESTRING (116.555381 39.9098456, 116.55547 39.90876)"
2083975169,926008883,0,198239275,白杨大道,service,False,True,171.375,"LINESTRING (116.555381 39.9098456, 116.5553245 39.9102491, 116.5552302 39.9109628, 116.5551867 39.9109723, 116.5551754 39.9111967, 116.5551578 39.9113549)"
2083987752,2083987779,0,198239280,体育场西路,service,False,False,75.242,"LINESTRING (116.5523937 39.9087356, 116.5523377 39.9094109)"
2083987752,2083987803,0,198239284,,service,False,True,81.711,"LINESTRING (116.5523937 39.9087356, 116.5533515 39.9087505)"
2083987752,2083987797,0,198239284,,service,False,False,258.709,"LINESTRING (116.5523937 39.9087356, 116.5503805 39.9087088, 116.5499183 39.9087011, 116.54987 39.909127)"
2083987770,2083987791,0,198239282,体育场东路,service,False,True,97.267,"LINESTRING (116.5520615 39.9116561, 116.5509242 39.9115914)"
2083987770,2083987779,0,198239280,体育场西路,service,False,True,250.765,"LINESTRING (116.5520615 39.9116561, 116.5522276 39.9103058, 116.5523377 39.9094109)"
2083987770,2083987775,0,198239282,体育场东路,service,False,False,400.427,"LINESTRING (116.5520615 39.9116561, 116.5537861 39.9117542, 116.554037 39.9094877)"
2083987772,2083987791,0,198239282,体育场东路,service,False,False,185.995,"LINESTRING (116.5509617 39.910024, 116.5507847 39.9115835, 116.5509242 39.9115914)"
2083987773,2083975169,0,198238555,,service,False,False,120.952,"LINESTRING (116.55547 39.90876, 116.555381 39.9098456)"
2083987773,2083987792,0,198239284,,service,False,False,103.906,"LINESTRING (116.55547 39.90876, 116.55507 39.9087434, 116.554944 39.9087455, 116.5542528 39.9087632)"
2083987775,2083987790,0,198239276,,service,False,False,62.667,"LINESTRING (116.554037 39.9094877, 116.5533035 39.9094551)"
2083987775,2083987792,0,198239276,,service,False,True,93.39000000000001,"LINESTRING (116.554037 39.9094877, 116.554183 39.9094891, 116.5542528 39.9087632)"
2083987775,2083987770,0,198239282,体育场东路,service,False,True,400.427,"LINESTRING (116.554037 39.9094877, 116.5537861 39.9117542, 116.5520615 39.9116561)"
2083987779,2083987790,0,198239276,,service,False,True,82.523,"LINESTRING (116.5523377 39.9094109, 116.5533035 39.9094551)"
2083987779,2083987752,0,198239280,体育场西路,service,False,True,75.242,"LINESTRING (116.5523377 39.9094109, 116.5523937 39.9087356)"
2083987779,2083987770,0,198239280,体育场西路,service,False,False,250.765,"LINESTRING (116.5523377 39.9094109, 116.5522276 39.9103058, 116.5520615 39.9116561)"
2083987790,2083987779,0,198239276,,service,False,False,82.523,"LINESTRING (116.5533035 39.9094551, 116.5523377 39.9094109)"
2083987790,2083987775,0,198239276,,service,False,True,62.667,"LINESTRING (116.5533035 39.9094551, 116.554037 39.9094877)"
2083987790,2083987803,0,198239278,,service,False,True,78.455,"LINESTRING (116.5533035 39.9094551, 116.5533515 39.9087505)"
2083987791,2083987770,0,198239282,体育场东路,service,False,False,97.267,"LINESTRING (116.5509242 39.9115914, 116.5520615 39.9116561)"
