osmid,y,x,street_count,geometry
926008883,39.9113549,116.5551578,3,POINT (116.5551578 39.9113549)
2083975169,39.9098456,116.555381,3,POINT (116.555381 39.9098456)
2083987752,39.9087356,116.5523937,3,POINT (116.5523937 39.9087356)
2083987770,39.9116561,116.5520615,3,POINT (116.5520615 39.9116561)
2083987772,39.910024,116.5509617,1,POINT (116.5509617 39.910024)
2083987773,39.90876,116.55547,3,POINT (116.55547 39.90876)
2083987775,39.9094877,116.554037,3,POINT (116.554037 39.9094877)
2083987779,39.9094109,116.5523377,3,POINT (116.5523377 39.9094109)
2083987790,39.9094551,116.5533035,3,POINT (116.5533035 39.9094551)
2083987791,39.9115914,116.5509242,3,POINT (116.5509242 39.9115914)
2083987792,39.9087632,116.5542528,3,POINT (116.5542528 39.9087632)
2083987797,39.909127,116.54987,1,POINT (116.54987 39.909127)
2083987803,39.9087505,116.5533515,3,POINT (116.5533515 39.9087505)
2083987809,39.912034,116.5508705,3,POINT (116.5508705 39.912034)
7234542413,39.9120426,116.5510034,3,POINT (116.5510034 39.9120426)
7234542416,39.9121148,116.5521226,3,POINT (116.5521226 39.9121148)
7234542417,39.9133016,116.5520007,3,POINT (116.5520007 39.9133016)
7234542418,39.9119342,116.5495766,3,POINT (116.5495766 39.9119342)
7234542419,39.9136195,116.5493689,1,POINT (116.5493689 39.9136195)
7315031398,39.9132875,116.5508266,1,POINT (116.5508266 39.9132875)
7315031399,39.913194,116.5494213,3,POINT (116.5494213 39.913194)
9009706169,39.9133748,116.5537997,1,POINT (116.5537997 39.9133748)
