element_type,osmid,amenity,capacity,covered,name,geometry,bicycle_parking,fee,check_date,source,access,operator
node,1046901941,bicycle_parking,6,no,Schwartz Bike Racks,POINT (-76.4856066 42.4423461),stands,no,,,,
node,1301351048,bicycle_parking,,,Olin Hall,POINT (-76.484444 42.4452945),,,,,,
node,1301351058,bicycle_parking,16,no,Goldwin Smith Hall,POINT (-76.483638 42.4484967),stands,,,,,
node,1301351059,bicycle_parking,16,no,Gannett Health Center,POINT (-76.4851626 42.4456688),stands,,2023-11-08,,,
node,1301351060,bicycle_parking,10,no,Goldwin Smith Hall,POINT (-76.4835859 42.4496253),stands,,,,,
node,1301351062,bicycle_parking,26,no,Rockefeller Hall,POINT (-76.4821171 42.4488265),stands,,,,,
node,1301351063,bicycle_parking,44,no,Uris Library,POINT (-76.4850994 42.4478567),stands,,,,,
node,1301351066,bicycle_parking,48,no,Willard Straight Hall,POINT (-76.4855045 42.4465258),stands,,,,,
node,1301351067,bicycle_parking,10,,Rockefeller Hall,POINT (-76.4821535 42.4493884),,,,,,
node,1301351071,bicycle_parking,24,no,Day Hall,POINT (-76.4828552 42.4473004),stands,,,,,
node,1301351072,bicycle_parking,10,no,Uris Hall,POINT (-76.4821231 42.4469508),bollard,,,,,
node,1301351075,bicycle_parking,,,Big Red Barn,POINT (-76.4811563 42.4484641),,,,,,
node,1301351076,bicycle_parking,10,no,,POINT (-76.4827101 42.4494298),stands,,,,,
node,1314709319,bicycle_parking,20,yes,Clark Hall,POINT (-76.4811435 42.44954),,,,,,
node,1320831975,bicycle_parking,10,no,,POINT (-76.4818392 42.4458495),stands,,,,,
node,1327867391,bicycle_parking,6,no,,POINT (-76.4851858 42.4488294),stands,,,,,
node,1330170266,bicycle_parking,6,no,,POINT (-76.4796478 42.4458014),stands,,,,,
node,5066489876,bicycle_parking,20,,,POINT (-76.4798889 42.4490356),stands,,,Bing,,
node,6901601300,bicycle_parking,,no,,POINT (-76.4791409 42.4541591),rack,no,,,yes,
node,6901601326,bicycle_parking,10,no,,POINT (-76.4790116 42.4531956),rack,no,,,yes,
node,7021168517,bicycle_parking,30,yes,,POINT (-76.4813649 42.4448859),stands,,,,,
node,7021168519,bicycle_parking,34,yes,,POINT (-76.4844669 42.4447616),stands,,,,,
node,7968925771,bicycle_parking,15,no,,POINT (-76.480432 42.444989),stands,,,,,
node,7968925772,bicycle_parking,20,no,,POINT (-76.4829027 42.4462302),stands,,,,,
node,7968925774,bicycle_parking,30,no,,POINT (-76.4827723 42.450538),stands,,,,,
node,7968925776,bicycle_parking,8,no,,POINT (-76.4842188 42.4449104),stands,,,,,
node,7968925777,bicycle_parking,12,no,,POINT (-76.4830957 42.4450565),stands,,,,,
node,7968925778,bicycle_parking,,,,POINT (-76.4836193 42.4454093),,,,,,
node,7968925779,bicycle_parking,10,no,,POINT (-76.4822453 42.4474235),stands,,,,,
node,7968936867,bicycle_parking,20,no,,POINT (-76.4762517 42.4552173),,,,,,
node,7969405827,bicycle_parking,12,yes,,POINT (-76.4778081 42.4493274),stands,,,,,
node,7969405828,bicycle_parking,10,no,,POINT (-76.4787332 42.4493016),stands,,,,,
node,7969405829,bicycle_parking,10,no,,POINT (-76.4807174 42.4487227),stands,,,Bing,,
node,8917798255,bicycle_parking,28,no,,POINT (-76.4791706 42.4465207),stands,,,,,Cornell University
node,8963873575,bicycle_parking,10,no,,POINT (-76.477981 42.4469935),stands,,,,,
node,8963876261,bicycle_parking,14,yes,,POINT (-76.4779836 42.4468328),stands,,,,,
node,8963879025,bicycle_parking,10,no,,POINT (-76.4786551 42.446443),stands,,,,,
node,8964105507,bicycle_parking,10,no,,POINT (-76.4755624 42.4477892),stands,no,,,,
node,9342335717,bicycle_parking,16,no,,POINT (-76.4851551 42.4487237),stands,,,,,
