u,v,key,osmid,highway,oneway,reversed,length,name,geometry,service,tunnel,lanes,maxspeed,access,ref,bridge,width
213412950,6157662809,0,20181506,service,False,False,6.646,,"LINESTRING (-76.4847571 42.4538646, -76.4848031 42.4539138)",,,,,,,,
213412950,6157662808,0,347342121,residential,False,False,4.764,Wait Avenue,"LINESTRING (-76.4847571 42.4538646, -76.4847902 42.4538294)",,,,,,,,
213412950,213495910,0,347342121,residential,False,True,21.178,Wait Avenue,"LINESTRING (-76.4847571 42.4538646, -76.484597 42.454014)",,,,,,,,
213412953,6157662809,0,20181506,service,False,True,124.91300000000001,,"LINESTRING (-76.4857578 42.454728, -76.4854253 42.4543465, -76.485337 42.4543126, -76.4852423 42.4543158, -76.4851745 42.4543004, -76.4851195 42.4542515, -76.4848177 42.4539294, -76.4848031 42.4539138)",,,,,,,,
213413128,213413134,0,436250922,service,False,False,21.34,,"LINESTRING (-76.474993 42.458286, -76.4751873 42.4581584)",,,,,,,,
213413128,5224108674,0,436250922,service,False,True,10.633,,"LINESTRING (-76.474993 42.458286, -76.4748654 42.4583028)",,,,,,,,
213413128,835864029,0,677344773,service,False,True,82.336,,"LINESTRING (-76.474993 42.458286, -76.4754026 42.458962)",,,,,,,,
213413134,213413128,0,436250922,service,False,True,21.34,,"LINESTRING (-76.4751873 42.4581584, -76.474993 42.458286)",,,,,,,,
213413134,835864023,0,69935116,service,False,True,94.613,,"LINESTRING (-76.4751873 42.4581584, -76.4754745 42.4585652, -76.4756143 42.4589436)",parking_aisle,,,,,,,
213413134,213413141,0,436250922,service,False,False,42.836,,"LINESTRING (-76.4751873 42.4581584, -76.4753244 42.458095, -76.475477 42.458054, -76.475671 42.458025)",,,,,,,,
213413141,835864016,0,69935115,service,False,True,100.451,,"LINESTRING (-76.475671 42.458025, -76.4756664 42.4582832, -76.4758492 42.4589141)",parking_aisle,,,,,,,
213413141,835864014,0,436250922,service,False,False,22.573,,"LINESTRING (-76.475671 42.458025, -76.475877 42.458027, -76.4759461 42.4580287)",,,,,,,,
213413141,213413134,0,436250922,service,False,True,42.836,,"LINESTRING (-76.475671 42.458025, -76.475477 42.458054, -76.4753244 42.458095, -76.4751873 42.4581584)",,,,,,,,
213413146,835864064,0,436250922,service,False,False,16.603,,"LINESTRING (-76.476578 42.458044, -76.4767797 42.4580317)",,,,,,,,
213413146,835863999,0,436250922,service,False,True,32.57,,"LINESTRING (-76.476578 42.458044, -76.4761812 42.4580344)",,,,,,,,
213413146,835864073,0,69935136,service,False,True,86.922,,"LINESTRING (-76.476578 42.458044, -76.4766976 42.4584385, -76.4766574 42.4588148)",parking_aisle,,,,,,,
213413148,835864044,0,436250922,service,False,False,12.672,,"LINESTRING (-76.477316 42.457999, -76.4774687 42.4579818)",,,,,,,,
213413148,835864054,0,436250922,service,False,True,20.242,,"LINESTRING (-76.477316 42.457999, -76.4770701 42.458014)",,,,,,,,
213413148,2108337067,0,200866261,footway,False,True,43.929,,"LINESTRING (-76.477316 42.457999, -76.4771331 42.4576518, -76.477123 42.4576305)",,,,,,,,
213413158,2014327750,0,436250922,service,False,True,23.623,,"LINESTRING (-76.4785239 42.45785, -76.4782369 42.4578673)",,,,,,,,
213413158,2108337068,0,20182630,residential,False,False,60.893,Northcross Road,"LINESTRING (-76.4785239 42.45785, -76.478514 42.457704, -76.4784433 42.4573508, -76.4784342 42.4573069)",,,,,,,,
213413158,213420689,0,677344774,service,False,False,110.57400000000001,,"LINESTRING (-76.4785239 42.45785, -76.4785231 42.4581707, -76.4784864 42.4584294, -76.4784752 42.458517, -76.478448 42.4586056, -76.4784048 42.4586733, -76.478315 42.4587046, -76.4781983 42.4587146)",,,,,,,,
213413283,5402552144,0,20181553,residential,False,False,35.901,Mann Drive,"LINESTRING (-76.4757251 42.4485107, -76.4753043 42.4485992)",,,,,,,,
213413283,2405470903,0,916005972,footway,False,True,38.495,,"LINESTRING (-76.4757251 42.4485107, -76.4754435 42.4487876)",,,,,,,,
213413283,1227313420,0,"[776794592, 776794593, 106705190]",footway,False,False,129.64700000000002,,"LINESTRING (-76.4757251 42.4485107, -76.4763789 42.448502, -76.4765777 42.4484992, -76.4767839 42.4484955, -76.477305 42.4484931)",,yes,,,,,,
213413292,2108362718,0,704291003,residential,True,False,56.643,Mann Drive,"LINESTRING (-76.4743883 42.4485318, -76.4743912 42.4480224)",,,,,,,,
213413292,5402552144,0,20181553,residential,False,True,75.797,Mann Drive,"LINESTRING (-76.4743883 42.4485318, -76.4744608 42.4485437, -76.4745394 42.4485567, -76.47474 42.4485841, -76.4749353 42.4485957, -76.475067 42.4485969, -76.4753043 42.4485992)",,,,,,,,
213413300,2401633606,0,20182459,path,False,True,10.95,,"LINESTRING (-76.4737603 42.4484072, -76.4736271 42.4484011)",,,,,,,,
