element_type,osmid,geometry,access,amenity,fee,name,parking,capacity,park_ride,surface,nodes,building,operator,operator:type,source,capacity:disabled,ways,type
node,2095832609,POINT (-76.48601 42.4464368),yes,parking,yes,Willard Straight Lot,surface,,,,,,,,,,,
node,2095832664,POINT (-76.4856289 42.4450836),,parking,,Gannett Lot,,,,,,,,,,,,
node,2109334544,POINT (-76.4835817 42.4436034),,parking,,,,,,,,,,,,,,
node,2109334556,POINT (-76.4840591 42.4458558),,parking,,,,,,,,,,,,,,
way,107637337,"POLYGON ((-76.4759374 42.4450127, -76.4761132 42.444809, -76.4762411 42.4446626, -76.4763437 42.4445549, -76.4765597 42.4443516, -76.4767805 42.4441129, -76.4772559 42.4440821, -76.4772752 42.4443073, -76.4773346 42.4444501, -76.4774328 42.4445965, -76.4774854 42.4446491, -76.4774688 42.4447255, -76.4774718 42.444782, -76.4771907 42.4448056, -76.4772289 42.4451382, -76.4765697 42.4451735, -76.4765623 42.4451283, -76.476443 42.4451342, -76.4763182 42.4451421, -76.4761707 42.4451105, -76.4759736 42.4450224, -76.4759374 42.4450127))",,parking,no,Crescent Lot,surface,,no,,"[5755407949, 3374192904, 213428128, 5755407944, 5755407946, 5755407934, 5755407933, 5755407948, 5755407929, 5755407938, 10579905586, 5755407936, 10579905584, 5755407931, 3374192911, 3374192913, 5755407937, 5755407947, 5755407935, 5755407943, 5755407941, 5755407949]",,,,,,,
way,107643120,"POLYGON ((-76.4699336 42.4476152, -76.4701754 42.4482232, -76.4705416 42.4481956, -76.4708802 42.4476221, -76.4699336 42.4476152))",yes,parking,yes,Peterson Lot,,,,,"[1236778420, 1236778112, 1236778217, 1236778054, 1236778420]",,,,,,,
way,107869126,"POLYGON ((-76.4667835 42.4457441, -76.4662094 42.4459429, -76.4663552 42.4462211, -76.4667659 42.4466053, -76.4670838 42.4464022, -76.467022 42.4463447, -76.4671766 42.4462388, -76.4669602 42.4459959, -76.4667835 42.4457441))",permit,parking,,O/SC,,,,,"[1238895392, 1238895552, 1238894768, 1238894871, 1238895218, 1238895822, 1238895041, 1238895162, 1238895392]",,,,,,,
way,117133783,"POLYGON ((-76.4792864 42.4441843, -76.4793477 42.4441851, -76.4793529 42.4439578, -76.4792897 42.443957, -76.4792975 42.4436148, -76.4793043 42.4433159, -76.4794876 42.4433182, -76.4797914 42.4433219, -76.4797626 42.444587, -76.4792774 42.444581, -76.47928 42.4444648, -76.4792864 42.4441843))",yes,parking,yes,Hoy Road Garage,multi-storey,,,,"[1320832130, 1320832110, 1320832261, 977019378, 977019379, 1319459355, 1320865824, 1319459283, 1319459561, 1319459449, 1320831854, 1320832130]",parking,Cornell University,,,,,
way,117133819,"POLYGON ((-76.472853 42.4456678, -76.4722249 42.4456823, -76.4722432 42.4461128, -76.4728713 42.4460982, -76.472853 42.4456678))",,parking,,,surface,,,,"[1319459700, 1319459294, 1319459191, 1319459809, 1319459700]",,,,,,,
way,117133824,"POLYGON ((-76.4723947 42.4474228, -76.4723859 42.4472458, -76.4742875 42.4472524, -76.4742839 42.4472993, -76.4745914 42.4473097, -76.4745897 42.4472589, -76.4765549 42.4472674, -76.4765388 42.4474372, -76.4723947 42.4474228))",,parking,,,surface,,,,"[1319459871, 1319459391, 1319459295, 1319459192, 1319459810, 1319459668, 1319460074, 1319459342, 1319459871]",,,,,,,
