element_type,osmid,name,geometry,nodes,intermittent,natural,water,wikimedia_commons,salt,tidal,wikidata,golf,ways,type,wikipedia
way,300405641,,"POLYGON ((-76.5093589 42.4595693, -76.5092517 42.4595271, -76.5090115 42.4594055, -76.508812 42.4594227, -76.5086941 42.4593743, -76.5085793 42.4593614, -76.5082798 42.4592956, -76.5077248 42.4592518, -76.5074563 42.4591451, -76.5073773 42.4591149, -76.507277 42.4590612, -76.5071766 42.4590205, -76.5070912 42.458949, -76.5070487 42.4589404, -76.5070414 42.4589507, -76.5070102 42.4589466, -76.5069226 42.4588674, -76.5068432 42.4588205, -76.5067902 42.4587643, -76.5067277 42.458727, -76.5066434 42.4586879, -76.50659 42.4586356, -76.5065482 42.4585815, -76.5064783 42.4585382, -76.5064716 42.4581986, -76.5064489 42.4581256, -76.5063801 42.4580156, -76.5062695 42.4579217, -76.5061508 42.4578816, -76.5060657 42.4578486, -76.5059448 42.4577674, -76.5058984 42.4577237, -76.5058129 42.4577129, -76.5057425 42.4577254, -76.5056911 42.4577572, -76.5056712 42.4578113, -76.5057212 42.4578963, -76.5058174 42.4579694, -76.5059438 42.4580777, -76.5060828 42.4581972, -76.506107 42.4582775, -76.5060955 42.4583207, -76.5060013 42.4583391, -76.5058074 42.4583013, -76.5057663 42.4582551, -76.5056144 42.4581593, -76.5054396 42.4581055, -76.5053601 42.4580703, -76.5052804 42.4579869, -76.5051726 42.4578807, -76.5050276 42.4577855, -76.5049548 42.4577153, -76.5048793 42.457643, -76.5045794 42.4574645, -76.5042798 42.4573305, -76.5042187 42.4573082, -76.5040688 42.4572616, -76.5039583 42.4571752, -76.5033841 42.4567907, -76.5031315 42.4566119, -76.5029085 42.4564444, -76.5027553 42.4562827, -76.5024459 42.4560174, -76.5019438 42.4555343, -76.5018031 42.4553977, -76.5016099 42.4552706, -76.5013464 42.4550036, -76.5012587 42.4549437, -76.5010637 42.4548727, -76.5007667 42.4546983, -76.5003511 42.4544543, -76.5000326 42.4543648, -76.4991806 42.4541499, -76.498354 42.4539042, -76.4974172 42.453639, -76.4969417 42.4535145, -76.4966246 42.4534544, -76.4963061 42.4533933, -76.4956477 42.4532947, -76.4954445 42.4532728, -76.4952466 42.4532588, -76.4950604 42.4532259, -76.494837 42.4531804, -76.4946737 42.4531536, -76.4945657 42.4531375, -76.4942798 42.4531045, -76.4941687 42.4531008, -76.4941075 42.453108, -76.4940624 42.4531516, -76.4940105 42.4531979, -76.4939705 42.4532251, -76.4939151 42.45324, -76.493864 42.453237, -76.4938207 42.4532088, -76.4938114 42.453176, -76.4938031 42.453139, -76.493709 42.453123, -76.4935073 42.4530924, -76.4933165 42.4530676, -76.4932245 42.4530631, -76.4931593 42.453062, -76.4930743 42.4530162, -76.4929734 42.4529267, -76.4928463 42.4528705, -76.4927618 42.4528292, -76.4926609 42.4528245, -76.4926253 42.4528367, -76.4925609 42.4528133, -76.4924279 42.4527449, -76.4922248 42.4527443, -76.492141 42.4527375, -76.4920017 42.4526896, -76.4917321 42.4526245, -76.4916958 42.4526424, -76.4916402 42.4526326, -76.4916029 42.4526504, -76.4915135 42.4526074, -76.4914723 42.4525465, -76.4914111 42.4525441, -76.4913741 42.4525377, -76.4913419 42.4525301, -76.4912891 42.4525208, -76.4911735 42.4524922, -76.4911483 42.4525229, -76.4911153 42.4525638, -76.4910856 42.4526154, -76.49107 42.4526563, -76.4910561 42.4527099, -76.4910429 42.4527099, -76.4910033 42.4526778, -76.4910141 42.4526342, -76.4910342 42.4525926, -76.4910583 42.4525481, -76.4910859 42.4525083, -76.4910645 42.4524706, -76.4910271 42.4524404, -76.4909627 42.4524185, -76.4908878 42.4524172, -76.4908151 42.4524384, -76.4906354 42.4524292, -76.4905024 42.4524054, -76.4903125 42.4523876, -76.4902377 42.4523975, -76.4900742 42.4523939, -76.489996 42.4524069, -76.4899036 42.452415, -76.4897184 42.4524156, -76.489124 42.4523353, -76.4889833 42.4522786, -76.4888897 42.4521995, -76.488791 42.4521636, -76.4885399 42.4521442, -76.4882709 42.4519796, -76.4880358 42.4519131, -76.4877114 42.4518946, -76.4872781 42.4518641, -76.4870948 42.451857, -76.4867994 42.451861, -76.4862203 42.4519017, -76.4861177 42.4519088, -76.4859835 42.4519, -76.4859093 42.4518873, -76.4858566 42.4518667, -76.485821 42.4518323, -76.485755 42.4517475, -76.4856364 42.451687, -76.4854046 42.4516568, -76.4853085 42.4516263, -76.4852332 42.4516733, -76.4851043 42.4517303, -76.4848942 42.4517524, -76.4846801 42.4518161, -76.4845261 42.4517398, -76.4844169 42.4518001, -76.4842997 42.4518564, -76.4843512 42.4520319, -76.4842646 42.452151, -76.4842438 42.4522117, -76.4841827 42.4522547, -76.4840498 42.4523168, -76.4838618 42.4524707, -76.4834755 42.4524745, -76.4831994 42.4523937, -76.4830171 42.4523007, -76.4829151 42.4522067, -76.4825931 42.4520291, -76.4824967 42.4519089, -76.4824699 42.451895, -76.482486 42.4518663, -76.4821802 42.4517347, -76.4819865 42.4516819, -76.4818226 42.4515926, -76.4815804 42.4514574, -76.4815098 42.451435, -76.4813991 42.4514473, -76.4811875 42.451477, -76.481087 42.4515012, -76.4809799 42.4515126, -76.4808949 42.4515235, -76.48081 42.4515284, -76.4807921 42.4514631, -76.4808024 42.4513929, -76.48077 42.4513401, -76.4806625 42.4513519, -76.4805444 42.4513479, -76.4804516 42.4513664, -76.4803748 42.4513641, -76.4803114 42.4513549, -76.4802659 42.4513859, -76.4802325 42.4514189, -76.4802863 42.4514984, -76.4802736 42.4515406, -76.4802214 42.4516329, -76.480104 42.4516513, -76.4799859 42.4516924, -76.479857 42.4517215, -76.4796958 42.451752, -76.4795626 42.4517436, -76.4794951 42.4517322, -76.4793897 42.4516837, -76.4794033 42.4517951, -76.4794681 42.451888, -76.4795014 42.4519217, -76.4795517 42.4519658, -76.4796222 42.4520059, -76.4796988 42.4520396, -76.4798128 42.4520769, -76.4799617 42.4521144, -76.4799835 42.4521116, -76.4799559 42.4520228, -76.4799419 42.4520069, -76.479927 42.452006, -76.4798927 42.451932, -76.4798774 42.4519079, -76.4798817 42.4518492, -76.4798871 42.4518396, -76.4799163 42.4518382, -76.4799164 42.4518255, -76.4799652 42.4517888, -76.4800432 42.4517357, -76.4801318 42.4517121, -76.4801903 42.4517242, -76.4803042 42.4516734, -76.4803563 42.4516128, -76.4804468 42.4516131, -76.4805275 42.4515772, -76.480619 42.4515908, -76.4807589 42.4516115, -76.4808925 42.4515828, -76.4810181 42.4515809, -76.4811686 42.4515452, -76.4812599 42.4515244, -76.4813486 42.4515274, -76.4813999 42.4515536, -76.4814248 42.4515731, -76.4814712 42.4515847, -76.4814979 42.4515653, -76.4817083 42.4516794, -76.4818179 42.4517435, -76.481963 42.4518901, -76.4823331 42.4520266, -76.4825021 42.452181, -76.4824779 42.4523057, -76.4827703 42.4523512, -76.4830483 42.4524788, -76.4832659 42.4525814, -76.4835264 42.4526306, -76.4836182 42.4526221, -76.483718 42.4526215, -76.4839097 42.4525906, -76.4841011 42.4524928, -76.484322 42.4524089, -76.4844291 42.452273, -76.4845576 42.4521945, -76.4846291 42.4520428, -76.4846863 42.4520085, -76.4847516 42.4519604, -76.4848989 42.4519962, -76.4849605 42.452027, -76.4850623 42.4520301, -76.4852783 42.4520365, -76.4855322 42.4520882, -76.4858929 42.4521136, -76.4860901 42.4520836, -76.4861968 42.452084, -76.4863412 42.4521244, -76.4864127 42.4521315, -76.486569 42.4521291, -76.4865803 42.4521025, -76.4867299 42.4520958, -76.4867394 42.4521166, -76.4874008 42.4520404, -76.4876468 42.4520141, -76.4879008 42.4520214, -76.4881494 42.4522247, -76.4886038 42.4523387, -76.4889218 42.4523893, -76.4896871 42.4524768, -76.4899025 42.4524863, -76.4900399 42.4524672, -76.4901275 42.4524759, -76.4902151 42.4524609, -76.4902947 42.4524855, -76.4903703 42.4525289, -76.4904526 42.4525322, -76.4905769 42.4525488, -76.4906861 42.4525621, -76.4907114 42.4525373, -76.4907646 42.4525135, -76.4908175 42.4525271, -76.4909579 42.4528558, -76.4912034 42.4529169, -76.4913427 42.4528645, -76.4914678 42.4529047, -76.4916181 42.452981, -76.4916732 42.4530453, -76.4916564 42.4531096, -76.4916916 42.4532062, -76.4917712 42.4532492, -76.491942 42.453309, -76.4920574 42.4533477, -76.4921792 42.4533048, -76.4922916 42.4533079, -76.4924276 42.4532806, -76.4925079 42.4532512, -76.4925574 42.4532259, -76.492616 42.4531578, -76.4926235 42.4531309, -76.4926645 42.4531252, -76.4927068 42.4531511, -76.4927623 42.4531658, -76.492906 42.4531763, -76.4931763 42.4532188, -76.4931981 42.4532331, -76.493229 42.4532427, -76.493247 42.4532371, -76.493301 42.453246, -76.4934623 42.4533044, -76.4936987 42.4533385, -76.4938152 42.4533451, -76.4939063 42.4533533, -76.4939461 42.4533464, -76.493971 42.4533373, -76.4940031 42.4533084, -76.4940316 42.4532772, -76.4940817 42.4532718, -76.4941823 42.4532871, -76.4944564 42.4533241, -76.4947754 42.4533492, -76.4950116 42.4533678, -76.4955322 42.4534516, -76.4959564 42.4535125, -76.4965508 42.4536121, -76.4969739 42.4537007, -76.4977174 42.4538952, -76.4985589 42.4541542, -76.4993352 42.4543929, -76.499741 42.4544986, -76.4998023 42.4545282, -76.4998534 42.4545468, -76.5001118 42.4546409, -76.5003214 42.4547431, -76.5005534 42.4548447, -76.5008116 42.4550238, -76.5008519 42.4550755, -76.5008426 42.4551487, -76.5009169 42.4551801, -76.5010006 42.455202, -76.5010172 42.4551685, -76.5010912 42.4552119, -76.5011259 42.4552644, -76.5011344 42.455319, -76.5012045 42.4553821, -76.501308 42.4554589, -76.5015046 42.4555945, -76.5016474 42.4557976, -76.5017899 42.4559847, -76.5021329 42.4563271, -76.5025046 42.4566919, -76.5028505 42.4570512, -76.5029676 42.4571475, -76.5030367 42.4571923, -76.5031104 42.4572816, -76.5029094 42.4572268, -76.5028616 42.4572484, -76.5027714 42.457248, -76.502698 42.4572274, -76.5026367 42.4571594, -76.5025949 42.4571373, -76.5026353 42.4571846, -76.5026804 42.4572428, -76.502758 42.4572856, -76.5027656 42.4573422, -76.5027329 42.4573856, -76.5026881 42.4574101, -76.5025894 42.4573907, -76.5024496 42.45737, -76.5024244 42.4574594, -76.5024252 42.4575551, -76.5024617 42.45764, -76.5025617 42.4577316, -76.5027207 42.4577792, -76.5028993 42.457824, -76.5030987 42.4578057, -76.5032844 42.4577747, -76.503486 42.4577428, -76.503674 42.4578108, -76.5039155 42.457877, -76.5040865 42.4579112, -76.5041971 42.4579772, -76.5042586 42.4580879, -76.5043367 42.4581547, -76.5045466 42.4582725, -76.5047932 42.4583768, -76.504935 42.4584074, -76.5051595 42.4584396, -76.5052077 42.4584193, -76.5052516 42.4584134, -76.5053024 42.4584337, -76.5052984 42.4584904, -76.5053104 42.4585678, -76.5053899 42.4586829, -76.5054127 42.45875, -76.5054225 42.4588299, -76.5053904 42.4588816, -76.505331 42.4589029, -76.5052795 42.4589702, -76.5054845 42.4590535, -76.5056544 42.4591534, -76.505664 42.4591394, -76.5056804 42.4591147, -76.5057132 42.4590774, -76.5057227 42.4590402, -76.5057076 42.4590233, -76.5056924 42.4590157, -76.5057535 42.4589581, -76.5057979 42.4589511, -76.505833 42.4589494, -76.5058657 42.4589592, -76.50607 42.4590436, -76.5062801 42.45917, -76.5064712 42.4593031, -76.5066559 42.4594083, -76.5069266 42.4595217, -76.5070813 42.4595798, -76.5073858 42.459665, -76.507669 42.4597316, -76.5077806 42.4597651, -76.5085047 42.4599763, -76.5085939 42.4599642, -76.5087724 42.460012, -76.5088972 42.4600414, -76.5090605 42.4600689, -76.5092107 42.4601517, -76.5093454 42.4597897, -76.5093589 42.4595693))","[18770149, 8580521599, 10076888965, 8580521598, 8580521591, 8580521590, 8580536513, 8580521592, 1245798879, 1245799215, 10076888919, 10076888920, 10076888921, 10076888922, 10076888923, 10076888924, 10076888925, 10076888926, 10076888927, 10076888928, 10076888929, 10076888931, 10076888930, 1245798990, 1245799297, 1245799069, 10076888934, 10076888935, 10076888939, 10076888941, 10076888942, 10076888944, 10076888945, 10076888946, 10076888947, 10076888948, 10076888949, 10076888943, 10076888940, 10076888933, 10076888932, 10076888918, 10076888917, 3044882478, 10076861816, 8580767258, 10076861815, 8580767259, 10076861814, 3044882472, 8580767260, 10076861813, 3044882453, 3044882434, 8580767261, 3044882426, 3044882424, 3044882396, 3044882387, 8580767262, 3044882358, 10115304270, 3044882348, 10115304271, 3044882339, 8580716692, 3044881830, 10115304272, 3044881826, 11026967447, 3044881819, 3044881818, 8580716691, 3044881816, 3044881812, 3044881801, 8580716690, 8580716689, 3044881785, 8580716688, 8580716686, 8580716687, 3044881777, 11026967446, 3044881773, 8580716682, 8580716683, 8580716684, 8580716685, 8580716677, 10109749661, 8580692916, 8580785917, 10109749662, 8580785918, 10109749663, 5363859855, 8580785919, 8580785920, 8580785921, 10109749664, 8580785941, 8580785939, 5363859854, 8580785922, 8580785931, 10109749669, 8580785924, 10109749670, 10109749671, 10109749672, 8580785925, 8580785930, 8580777453, 8580777454, 8580777455, 8580777475, 8580777457, 8580777474, 8580777473, 8580777472, 8580777458, 8580777471, 10187658500, 8580777470, 8580777469, 10187658499, 8580777459, 8580777468, 5010740176, 5010740178, 8580521442, 5010740179, 8580796140, 8580796141, 10187658503, 8580777466, 5363859852, 8580796143, 8580796144, 8580777461, 8580796156, 8580796155, 8580796154, 8580777465, 8580796157, 8580796159, 8580793600, 10187658504, 8580793602, 10187658505, 8580793604, 8580793606, 8580793607, 8580793609, 8580793611, 10187658506, 8580793613, 8580793616, 8580829217, 8580816715, 8580816716, 8580816714, 8580816713, 8580816712, 8580816711, 8580816710, 8580811421, 8580816709, 8580811420, 8580816708, 8580811422, 8580816706, 8580816707, 8580811425, 8580816705, 8580811427, 8580816704, 8580816703, 8580816702, 8580811429, 8580811431, 8580816701, 8580811433, 10101824433, 8580811435, 10101824437, 10101824438, 10101824439, 8580811437, 8580816692, 8580811439, 8580811441, 8580816691, 8580811443, 8580816690, 8580816700, 8580811445, 8580816689, 8580811451, 8580816688, 8580811447, 8580811450, 8580816687, 8580811449, 8580811452, 8580816686, 8580811453, 8580816685, 8580811454, 8580811455, 8580811456, 8580811464, 8580811465, 8580816682, 8580811466, 8580811463, 8580816684, 8580816683, 1234924110, 1234924288, 1234924373, 8770671590, 1234923867, 10257711455, 1234924031, 8580544051, 8580816676, 10257711535, 8580816678, 8580816677, 8580816679, 8770671586, 10257711537, 10257711538, 10257711539, 10257711540, 10257711541, 8580816680, 8580811462, 8580811457, 8580811458, 8580811459, 8580811460, 8580811461, 8580816681, 8580811448, 8580811446, 8580816697, 8580811444, 8580816698, 8580816699, 8580816693, 8580816694, 8580816696, 8580811442, 8580816695, 8580811440, 8580811438, 10101824436, 8580811436, 10101824435, 8580811434, 10101824434, 8580811432, 8580829229, 8580811430, 8580829228, 8580829227, 8580811428, 8580829226, 8580811426, 8580829225, 8580811424, 8580829223, 8580829224, 8580811423, 8580829221, 8580829222, 8580829220, 10187658510, 8580811419, 8580811417, 8580829219, 8770637332, 8580793615, 10187658508, 10187658507, 8580793614, 8580793612, 10187658509, 8580793610, 8580829218, 8580793608, 8580793605, 8580793603, 8580793601, 8580796160, 8580796158, 8580777463, 8580796153, 8580796151, 8580796152, 8580796150, 8580796149, 8580796148, 8580796147, 8580796146, 8580796145, 8580777464, 8580777456, 10187658501, 10187658502, 8580785926, 8580777460, 10109749682, 8580777451, 10109749681, 8580777450, 8580777452, 8580785929, 10109749680, 8580785927, 10109749679, 8580785928, 8580785938, 10109749678, 8580785937, 8580785923, 10109749677, 8580785933, 8580785934, 10109749674, 10109749676, 10109749675, 10109749673, 8580785935, 8580785936, 8580716681, 10109749657, 10109749658, 8580716680, 10109749659, 8580716679, 10109749660, 8580716678, 8580716676, 3044881784, 10181354244, 3044881790, 3044881797, 3044881805, 3044881810, 3044881814, 3044881815, 3044881817, 3044881821, 3044881822, 3044881823, 10181346909, 3044881824, 3044881825, 10181346903, 3044881828, 10181346908, 10181346907, 8581139635, 10181346904, 8581118839, 3044882335, 10181346905, 3044882338, 10181346906, 6880066806, 3044882341, 3044882349, 8581118837, 3044882361, 8580716693, 10183666650, 10183666651, 10183666652, 3044882398, 10183666653, 10183666654, 10183666655, 10183666658, 10183666660, 10183666662, 10183666661, 10183666659, 10183666656, 3044882425, 10183666657, 8580804515, 8580804516, 10183666663, 8580830917, 3044882445, 8580830918, 10183666664, 3044882458, 3044882457, 8580830919, 10183666665, 3044882459, 3044882461, 10130540013, 10183666666, 10183666667, 10130540012, 10183666668, 10183666669, 3044882483, 10183666644, 3044882484, 10183666646, 10183666645, 10130540011, 3044882487, 10183666647, 3044882493, 10183666648, 10183666632, 10183666633, 10183666634, 1245798786, 1245798671, 1245798661, 10112259407, 10112259406, 10112259405, 10112259404, 10112259403, 10112259402, 10184050411, 10184050412, 10184050413, 10184050414, 10184050415, 10184050416, 10184088917, 10184088918, 10184088919, 10184088920, 10184088921, 10184088922, 10184088923, 10184088924, 10184088925, 10184088926, 10184088927, 10184088928, 1041278347, 1236639293, 18770149]",,water,river,,,,,,,,
way,479158803,,"POLYGON ((-76.4405456 42.5034174, -76.4401779 42.5034278, -76.4401636 42.5031525, -76.4405313 42.5031421, -76.4405456 42.5034174))","[4723073663, 4723073664, 4723073665, 4723073666, 4723073663]",,water,pond,,,,,,,,
way,479158804,,"POLYGON ((-76.4400716 42.5034249, -76.4397322 42.5034331, -76.4397205 42.5031705, -76.4400599 42.5031623, -76.4400716 42.5034249))","[4723073667, 4723073668, 4723073669, 4723073670, 4723073667]",,water,pond,,,,,,,,
way,479158805,,"POLYGON ((-76.4405323 42.5030798, -76.4401703 42.5030934, -76.4401517 42.5028245, -76.4405137 42.5028109, -76.4405323 42.5030798))","[4723073671, 4723073672, 4723073673, 4723073674, 4723073671]",,water,pond,,,,,,,,
way,479158806,,"POLYGON ((-76.4400837 42.5030891, -76.4397272 42.5031043, -76.439705 42.5028185, -76.4400614 42.5028034, -76.4400837 42.5030891))","[4723073675, 4723073676, 4723073677, 4723073678, 4723073675]",,water,pond,,,,,,,,
way,479158807,,"POLYGON ((-76.4405163 42.5027394, -76.4401456 42.5027498, -76.4401312 42.5024725, -76.4405019 42.5024621, -76.4405163 42.5027394))","[4723073679, 4723073680, 4723073681, 4723073682, 4723073679]",,water,pond,,,,,,,,
way,479158808,,"POLYGON ((-76.4400661 42.5027525, -76.4396955 42.5027619, -76.4396826 42.5024866, -76.4400532 42.5024772, -76.4400661 42.5027525))","[4723073683, 4723073684, 4723073685, 4723073686, 4723073683]",,water,pond,,,,,,,,
way,479158809,,"POLYGON ((-76.4405027 42.5024064, -76.4401378 42.5024198, -76.4401189 42.5021402, -76.4404838 42.5021268, -76.4405027 42.5024064))","[4723073687, 4723073688, 4723073689, 4723073690, 4723073687]",,water,pond,,,,,,,,
way,479158810,,"POLYGON ((-76.4400346 42.502402, -76.4396926 42.5024153, -76.4396735 42.5021486, -76.4400155 42.5021353, -76.4400346 42.502402))","[4723073691, 4723073692, 4723073693, 4723073694, 4723073691]",,water,pond,,,,,,,,
way,479158811,,"POLYGON ((-76.4404973 42.5020533, -76.4401296 42.502068, -76.4401096 42.5017969, -76.4404774 42.5017822, -76.4404973 42.5020533))","[4723073695, 4723073696, 4723073697, 4723073698, 4723073695]",,water,pond,,,,,,,,
