element_type,osmid,nodes,building,geometry,name,building:levels,amenity,cuisine,fast_food,height,ways,type
way,219032047,"[2282344500, 2282344499, 2282344489, 2282344490, 2282344491, 2282344492, 2282344497, 2282344496, 2282344495, 2282344494, 2282344500]",yes,"POLYGON ((121.5265363 38.8757961, 121.5269027 38.8757951, 121.526901 38.8753875, 121.5264764 38.8753886, 121.526477 38.8755458, 121.5260191 38.875547, 121.5260197 38.8757026, 121.5261479 38.8757022, 121.5261477 38.875662, 121.5265357 38.875661, 121.5265363 38.8757961))",,,,,,,,
way,219032067,"[2282344485, 2282344486, 2282344480, 2282344481, 2282344487, 2282344488, 2282344483, 2282344484, 2282344479, 2282344478, 2282344477, 2282344476, 2282344482, 2282344485]",yes,"POLYGON ((121.5262696 38.8750215, 121.526574 38.8750253, 121.5265763 38.8749125, 121.5270023 38.8749179, 121.5269964 38.875202, 121.5272532 38.8752053, 121.5272573 38.8750084, 121.5278213 38.8750156, 121.5278255 38.8748171, 121.5275174 38.8748132, 121.5275185 38.8747626, 121.5264894 38.8747495, 121.5262638 38.8749772, 121.5262696 38.8750215))",,,,,,,,
way,232259673,"[2406245334, 2406245336, 2406245312, 2406245310, 2406245334]",yes,"POLYGON ((121.5296352 38.8808418, 121.5300794 38.8808418, 121.5300794 38.8804316, 121.5296352 38.8804316, 121.5296352 38.8808418))",,,,,,,,
way,232259689,"[2406245389, 2406245392, 2406245355, 2406245351, 2406245389]",yes,"POLYGON ((121.5299171 38.8813499, 121.530585 38.8813594, 121.5305939 38.8809822, 121.5299259 38.8809726, 121.5299171 38.8813499))",,,,,,,,
way,233806458,"[2421358742, 2421358738, 2421358760, 2421358768, 2421358755, 2421358747, 2421358697, 2421358699, 2421358690, 2421358688, 2421358693, 2421358695, 2421358742]",yes,"POLYGON ((121.5259829 38.8786782, 121.5257356 38.8786572, 121.525714 38.8788113, 121.5264406 38.8788729, 121.5264621 38.8787189, 121.5262034 38.8786969, 121.5262529 38.8783912, 121.5264312 38.8784088, 121.5264506 38.8782902, 121.5258637 38.8782322, 121.5258444 38.8783508, 121.5260328 38.8783695, 121.5259829 38.8786782))",,,,,,,,
way,233806472,"[2421358907, 2421358909, 2421358858, 2421358856, 2421358907]",yes,"POLYGON ((121.5301945 38.880878, 121.5303669 38.880878, 121.5303669 38.8801528, 121.5301945 38.8801528, 121.5301945 38.880878))",,,,,,,,
way,233806477,"[2421358762, 2421358764, 2421358727, 2421358725, 2421358762]",yes,"POLYGON ((121.5283455 38.8788331, 121.5285414 38.8788378, 121.5285553 38.8784898, 121.5283595 38.878485, 121.5283455 38.8788331))",,,,,,,,
way,233806513,"[2421358662, 2421358664, 2421358660, 2421358659, 2421358662]",yes,"POLYGON ((121.5269168 38.8773544, 121.5275735 38.8773616, 121.5275763 38.8772095, 121.5269196 38.8772022, 121.5269168 38.8773544))",,,,,,,,
way,233806517,"[2421358598, 2421358623, 2421358624, 2421358599, 2421358598]",yes,"POLYGON ((121.526155 38.8759069, 121.526155 38.8762949, 121.5273846 38.8762949, 121.5273846 38.8759069, 121.526155 38.8759069))",,,,,,,,
way,233806531,"[2421358651, 2421358652, 5961411407, 2421358633, 2421358632, 5961411408, 2421358651]",yes,"POLYGON ((121.5261949 38.8770587, 121.527159 38.877066, 121.5271603 38.8769612, 121.5271675 38.8763809, 121.5262034 38.8763737, 121.5262012 38.8765509, 121.5261949 38.8770587))",刘长春体育馆,,,,,,,
way,233806536,"[2421358777, 2421358779, 2421358771, 2421358769, 2421358777]",yes,"POLYGON ((121.5276515 38.8792754, 121.5282104 38.879279, 121.528213 38.8790363, 121.5276541 38.8790326, 121.5276515 38.8792754))",,,,,,,,
way,233806546,"[2421359202, 2421359222, 2421359215, 2421359265, 2421359263, 2421359197, 2421359202]",yes,"POLYGON ((121.5294997 38.8821728, 121.5295013 38.8822721, 121.5297632 38.8822695, 121.5297689 38.8826265, 121.529977 38.8826245, 121.5299697 38.8821682, 121.5294997 38.8821728))",,12,,,,,,
way,233806548,"[2421358817, 2421358813, 2421358825, 2421358827, 2421358840, 2421358832, 2421358817]",yes,"POLYGON ((121.5298359 38.8796452, 121.5294447 38.8796307, 121.5294351 38.8797866, 121.5297725 38.8797991, 121.529944 38.8799532, 121.5300781 38.8798628, 121.5298359 38.8796452))",,,,,,,,
way,277568561,"[2820704706, 2820704709, 2820704702, 2820704099, 2820704094, 2820704095, 2820704076, 2820704079, 2820704070, 2820704067, 2820704706]",yes,"POLYGON ((121.5278149 38.8849266, 121.5282516 38.8849573, 121.5282627 38.8848615, 121.5279402 38.8848388, 121.5279454 38.8847937, 121.5280044 38.8847979, 121.5280395 38.8844955, 121.5283189 38.8845152, 121.5283277 38.8844396, 121.5278751 38.8844078, 121.5278149 38.8849266))",,,,,,,,
way,277568570,"[2820704849, 2820704851, 2820704836, 2820704837, 2820704824, 2820704821, 2820704812, 2820704813, 2820703678, 2820703680, 2820704724, 2820704721, 2820704849]",yes,"POLYGON ((121.5273686 38.885704, 121.527561 38.8857125, 121.5275697 38.8855936, 121.5278617 38.8856065, 121.5278683 38.8855171, 121.5274908 38.8855003, 121.5274955 38.8854365, 121.5275809 38.8854403, 121.5276009 38.8851678, 121.527804 38.8851768, 121.5278106 38.8850876, 121.527415 38.88507, 121.5273686 38.885704))",,,,,,,,
way,277568583,"[2820704900, 2820704898, 2820704882, 2820704883, 2820704875, 2820704874, 2820704858, 2820704852, 2820704844, 2820704843, 2820704827, 2820704825, 2820704817, 2820704816, 2820703700, 2820703698, 2820703679, 2820703681, 2820704804, 2820704810, 2820704803, 2820704802, 2820704885, 2820704886, 2820704868, 2820704870, 2820704900]",yes,"POLYGON ((121.5260664 38.8861159, 121.5272603 38.8861012, 121.5272569 38.885931, 121.5270348 38.8859337, 121.5270336 38.8858761, 121.5271561 38.8858745, 121.5271569 38.8857573, 121.5270306 38.8857272, 121.5270294 38.8856676, 121.5271447 38.8856661, 121.5271477 38.8855475, 121.5270266 38.8855294, 121.5270253 38.8854676, 121.5271289 38.8854664, 121.5271281 38.8853482, 121.5270226 38.8853315, 121.5270194 38.8851729, 121.526382 38.8851807, 121.5263856 38.8853588, 121.5267063 38.8854178, 121.5267068 38.8853549, 121.5268782 38.8853528, 121.52689 38.8859355, 121.526644 38.8859385, 121.5266422 38.885848, 121.5260611 38.8858552, 121.5260664 38.8861159))",研究生教学楼,,,,,,,
way,277568657,"[2820704708, 2820704714, 2820704704, 2820704701, 2820704708]",yes,"POLYGON ((121.5217618 38.8849398, 121.5222271 38.8850002, 121.5222483 38.8849015, 121.5217829 38.8848411, 121.5217618 38.8849398))",,,,,,,,
