osmid,y,x,street_count,geometry
346738591,38.8775277,121.5227336,3,POINT (121.5227336 38.8775277)
346738661,38.8775262,121.5236225,3,POINT (121.5236225 38.8775262)
346738678,38.87755,121.52778,3,POINT (121.52778 38.87755)
346739926,38.8829911,121.5196025,4,POINT (121.5196025 38.8829911)
374101113,38.8800055,121.5223463,3,POINT (121.5223463 38.8800055)
374101145,38.8822782,121.5222723,3,POINT (121.5222723 38.8822782)
374101161,38.8845017,121.5222864,3,POINT (121.5222864 38.8845017)
374101193,38.8855927,121.5235516,4,POINT (121.5235516 38.8855927)
374101218,38.8799978,121.5214848,4,POINT (121.5214848 38.8799978)
374101224,38.8800205,121.5232096,3,POINT (121.5232096 38.8800205)
374101230,38.8800703,121.5248114,4,POINT (121.5248114 38.8800703)
374101235,38.880072,121.5259643,4,POINT (121.5259643 38.880072)
374101251,38.8801593,121.5214833,1,POINT (121.5214833 38.8801593)
374101267,38.8791645,121.5215071,4,POINT (121.5215071 38.8791645)
374101286,38.877641,121.5220832,3,POINT (121.5220832 38.877641)
374101292,38.8792192,121.5248208,3,POINT (121.5248208 38.8792192)
374101299,38.8791951,121.5232458,3,POINT (121.5232458 38.8791951)
374101318,38.884559,121.523579,4,POINT (121.523579 38.884559)
374101345,38.8831785,121.524778,4,POINT (121.524778 38.8831785)
374101356,38.8817478,121.5248151,3,POINT (121.5248151 38.8817478)
374101365,38.8807375,121.5248333,4,POINT (121.5248333 38.8807375)
374101371,38.8788221,121.5248717,3,POINT (121.5248717 38.8788221)
374106330,38.8759657,121.5236639,3,POINT (121.5236639 38.8759657)
374106354,38.8751456,121.5253993,3,POINT (121.5253993 38.8751456)
374106368,38.8749733,121.5259763,3,POINT (121.5259763 38.8749733)
374106397,38.8764668,121.5231711,1,POINT (121.5231711 38.8764668)
374106446,38.8775335,121.5245798,3,POINT (121.5245798 38.8775335)
374106461,38.8790202,121.5260102,3,POINT (121.5260102 38.8790202)
374106541,38.8807411,121.5259146,3,POINT (121.5259146 38.8807411)
374106588,38.8817676,121.5259146,3,POINT (121.5259146 38.8817676)
374106612,38.8831739,121.5258735,4,POINT (121.5258735 38.8831739)
374106635,38.8849291,121.5258633,3,POINT (121.5258633 38.8849291)
375732076,38.8752457,121.5277581,3,POINT (121.5277581 38.8752457)
375732106,38.8752128,121.5261052,3,POINT (121.5261052 38.8752128)
375732184,38.8825336,121.5235371,4,POINT (121.5235371 38.8825336)
375732208,38.8827307,121.5234632,1,POINT (121.5234632 38.8827307)
375732216,38.8831906,121.5267479,4,POINT (121.5267479 38.8831906)
375732223,38.8831988,121.5276512,4,POINT (121.5276512 38.8831988)
375732239,38.8820323,121.5289218,3,POINT (121.5289218 38.8820323)
375732273,38.8828165,121.5238398,3,POINT (121.5238398 38.8828165)
375732307,38.8849377,121.5267315,3,POINT (121.5267315 38.8849377)
375732339,38.8824824,121.5278123,3,POINT (121.5278123 38.8824824)
375732350,38.881858,121.5280228,4,POINT (121.5280228 38.881858)
375732373,38.8809557,121.5291211,3,POINT (121.5291211 38.8809557)
375732391,38.8818414,121.5265852,3,POINT (121.5265852 38.8818414)
375732420,38.8820452,121.5293704,3,POINT (121.5293704 38.8820452)
375732465,38.8775604,121.5279217,3,POINT (121.5279217 38.8775604)
1866153752,38.8859177,121.5151511,3,POINT (121.5151511 38.8859177)
1866153776,38.8831405,121.51438,3,POINT (121.51438 38.8831405)
1866153782,38.8825937,121.5157397,3,POINT (121.5157397 38.8825937)
1866153786,38.8823987,121.5152113,3,POINT (121.5152113 38.8823987)
1866153827,38.881293,121.5151492,3,POINT (121.5151492 38.881293)
1866153845,38.8830247,121.5157578,3,POINT (121.5157578 38.8830247)
1866153859,38.8825729,121.5150814,3,POINT (121.5150814 38.8825729)
1866153888,38.8827263,121.5157008,3,POINT (121.5157008 38.8827263)
1866153897,38.8830001,121.519518,4,POINT (121.519518 38.8830001)
1866153916,38.8827407,121.5151288,3,POINT (121.5151288 38.8827407)
1866153947,38.8841096,121.5142552,3,POINT (121.5142552 38.8841096)
1866153954,38.8820833,121.5107818,3,POINT (121.5107818 38.8820833)
1866153969,38.8828417,121.5152807,4,POINT (121.5152807 38.8828417)
1866154014,38.8857572,121.5151809,3,POINT (121.5151809 38.8857572)
1866154033,38.8830596,121.5154007,3,POINT (121.5154007 38.8830596)
1866154065,38.8828344,121.5144653,3,POINT (121.5144653 38.8828344)
1866154090,38.8826643,121.51442,3,POINT (121.51442 38.8826643)
1866154115,38.8863395,121.515135,1,POINT (121.515135 38.8863395)
1866154164,38.8815481,121.5141298,3,POINT (121.5141298 38.8815481)
1866154174,38.8820435,121.5153981,3,POINT (121.5153981 38.8820435)
1866154184,38.8813863,121.514778,3,POINT (121.514778 38.8813863)
1866154198,38.8823552,121.5154905,3,POINT (121.5154905 38.8823552)
1866154206,38.8840721,121.5114014,3,POINT (121.5114014 38.8840721)
1866154232,38.8821172,121.5150299,3,POINT (121.5150299 38.8821172)
2264303675,38.8822598,121.5095935,1,POINT (121.5095935 38.8822598)
2264304614,38.8843435,121.50991,1,POINT (121.50991 38.8843435)
5261976534,38.8824456,121.5151495,3,POINT (121.5151495 38.8824456)
5261976544,38.8824227,121.5142344,3,POINT (121.5142344 38.8824227)
5262329542,38.8830294,121.5204933,3,POINT (121.5204933 38.8830294)
5262329545,38.8830635,121.5222477,3,POINT (121.5222477 38.8830635)
5262329547,38.8815335,121.5205348,4,POINT (121.5205348 38.8815335)
5262329548,38.8815695,121.5222948,4,POINT (121.5222948 38.8815695)
5262329551,38.8816144,121.5207107,3,POINT (121.5207107 38.8816144)
5262329554,38.8816324,121.5221444,3,POINT (121.5221444 38.8816324)
5262329555,38.8815513,121.5214032,3,POINT (121.5214032 38.8815513)
5262329556,38.8808046,121.521434,3,POINT (121.521434 38.8808046)
5262329557,38.8808215,121.5223189,3,POINT (121.5223189 38.8808215)
5262329558,38.8807782,121.5205549,4,POINT (121.5205549 38.8807782)
5262329570,38.8827128,121.5205072,3,POINT (121.5205072 38.8827128)
5262329571,38.8791609,121.5198887,3,POINT (121.5198887 38.8791609)
5262329572,38.8791419,121.5189737,4,POINT (121.5189737 38.8791419)
5262329574,38.879049,121.5164584,1,POINT (121.5164584 38.879049)
5262329578,38.8791518,121.5194489,3,POINT (121.5194489 38.8791518)
5262329580,38.878405,121.5209479,3,POINT (121.5209479 38.878405)
5262329584,38.8782564,121.5194569,4,POINT (121.5194569 38.8782564)
5262329585,38.8782321,121.5166275,4,POINT (121.5166275 38.8782321)
5262329586,38.8804733,121.5187857,3,POINT (121.5187857 38.8804733)
5262329587,38.8782496,121.5190128,4,POINT (121.5190128 38.8782496)
5262329588,38.8803614,121.5182106,4,POINT (121.5182106 38.8803614)
5262329590,38.8802242,121.516462,3,POINT (121.516462 38.8802242)
5262329592,38.8823436,121.5172644,3,POINT (121.5172644 38.8823436)
5262329594,38.8814951,121.5178627,3,POINT (121.5178627 38.8814951)
5262329597,38.8791197,121.5183731,3,POINT (121.5183731 38.8791197)
5262329598,38.8825975,121.5172177,3,POINT (121.5172177 38.8825975)
5262329601,38.8817515,121.5164852,3,POINT (121.5164852 38.8817515)
5262329609,38.8814518,121.5159657,3,POINT (121.5159657 38.8814518)
5262329611,38.8813146,121.5168238,3,POINT (121.5168238 38.8813146)
5262329612,38.8802603,121.5169768,4,POINT (121.5169768 38.8802603)
5262329613,38.8790741,121.5171389,3,POINT (121.5171389 38.8790741)
5262329614,38.8814169,121.5174125,3,POINT (121.5174125 38.8814169)
5262329615,38.8803103,121.5175877,4,POINT (121.5175877 38.8803103)
5262329616,38.879097,121.5177601,4,POINT (121.5177601 38.879097)
5262329617,38.878231,121.5178024,3,POINT (121.5178024 38.878231)
5262329620,38.8790539,121.5165919,3,POINT (121.5165919 38.8790539)
5262330221,38.8790513,121.5165216,3,POINT (121.5165216 38.8790513)
5262330227,38.8793876,121.5165549,3,POINT (121.5165549 38.8793876)
5262330228,38.8799898,121.516488,3,POINT (121.516488 38.8799898)
5262330229,38.8799722,121.5160419,4,POINT (121.5160419 38.8799722)
5262330230,38.8799352,121.515572,3,POINT (121.515572 38.8799352)
5262330232,38.8812278,121.5154746,3,POINT (121.5154746 38.8812278)
5262330234,38.8812804,121.5159417,3,POINT (121.5159417 38.8812804)
5262330238,38.879946,121.5150061,1,POINT (121.5150061 38.879946)
5262330239,38.8788966,121.5165423,3,POINT (121.5165423 38.8788966)
5262330241,38.8782245,121.5162329,3,POINT (121.5162329 38.8782245)
5262330243,38.8850823,121.5258602,3,POINT (121.5258602 38.8850823)
5262330244,38.885076,121.5269745,3,POINT (121.5269745 38.885076)
5262330250,38.8850823,121.5284201,3,POINT (121.5284201 38.8850823)
5262330260,38.8849703,121.5276751,3,POINT (121.5276751 38.8849703)
5262330265,38.8838211,121.5286031,3,POINT (121.5286031 38.8838211)
5262330269,38.8838668,121.5296683,3,POINT (121.5296683 38.8838668)
5961411544,38.8838315,121.5113301,3,POINT (121.5113301 38.8838315)
5961411545,38.8837019,121.5120589,1,POINT (121.5120589 38.8837019)
6365430942,38.8774133,121.5216764,4,POINT (121.5216764 38.8774133)
6365430945,38.8773565,121.5215868,3,POINT (121.5215868 38.8773565)
8310006738,38.8774818,121.5220617,3,POINT (121.5220617 38.8774818)
8310006767,38.8855973,121.5256468,1,POINT (121.5256468 38.8855973)
8310006768,38.8830512,121.5207467,3,POINT (121.5207467 38.8830512)
8310006778,38.8849062,121.5211507,3,POINT (121.5211507 38.8849062)
8310006779,38.8838596,121.5215938,3,POINT (121.5215938 38.8838596)
8310006781,38.8846811,121.5215933,3,POINT (121.5215933 38.8846811)
8310006782,38.8845937,121.5210022,3,POINT (121.5210022 38.8845937)
8310006789,38.8848218,121.5205514,1,POINT (121.5205514 38.8848218)
8310006790,38.8848514,121.5207621,3,POINT (121.5207621 38.8848514)
8310006791,38.8853797,121.5206417,3,POINT (121.5206417 38.8853797)
8310006792,38.8855391,121.5217921,3,POINT (121.5217921 38.8855391)
8310006793,38.8850291,121.5219165,3,POINT (121.5219165 38.8850291)
8310006794,38.8853258,121.5202954,1,POINT (121.5202954 38.8853258)
8310006796,38.8858133,121.5235448,1,POINT (121.5235448 38.8858133)
8657970589,38.8796577,121.5286545,4,POINT (121.5286545 38.8796577)
8657970603,38.8800086,121.5288799,3,POINT (121.5288799 38.8800086)
8657970608,38.8808618,121.5259146,3,POINT (121.5259146 38.8808618)
8657970610,38.8811129,121.5259146,3,POINT (121.5259146 38.8811129)
10087321554,38.8853181,121.5192865,3,POINT (121.5192865 38.8853181)
10614371846,38.8855632,121.515794,1,POINT (121.515794 38.8855632)
10614371848,38.8853471,121.516205,3,POINT (121.516205 38.8853471)
