osmid,y,x,street_count,geometry
4171203489,31.2077352,121.4093014,3,POINT (121.4093014 31.2077352)
4171203490,31.2046943,121.409727,3,POINT (121.409727 31.2046943)
4198271794,31.207617,121.41047,3,POINT (121.41047 31.207617)
4198271795,31.2069262,121.4108375,3,POINT (121.4108375 31.2069262)
4198271796,31.2083877,121.4098603,3,POINT (121.4098603 31.2083877)
4198271797,31.2076609,121.4108038,3,POINT (121.4108038 31.2076609)
4198271798,31.2072462,121.4093546,4,POINT (121.4093546 31.2072462)
4198271801,31.2076443,121.4107194,3,POINT (121.4107194 31.2076443)
4198271802,31.2088601,121.4097887,3,POINT (121.4097887 31.2088601)
4198271803,31.2077787,121.4118091,3,POINT (121.4118091 31.2077787)
4198271805,31.2073286,121.4100208,3,POINT (121.4100208 31.2073286)
4198271807,31.2085033,121.4106458,3,POINT (121.4106458 31.2085033)
4553246014,31.2078199,121.4099463,4,POINT (121.4099463 31.2078199)
4553246018,31.2077432,121.4093716,3,POINT (121.4093716 31.2077432)
4553246019,31.2084968,121.4092576,4,POINT (121.4092576 31.2084968)
4553246020,31.208787,121.4092013,3,POINT (121.4092013 31.208787)
4553246022,31.2081734,121.4098928,3,POINT (121.4098928 31.2081734)
4553246023,31.2080402,121.4088325,3,POINT (121.4088325 31.2080402)
4553246024,31.2084107,121.4087628,3,POINT (121.4087628 31.2084107)
4553246026,31.2085673,121.409834,3,POINT (121.409834 31.2085673)
4553246032,31.2084512,121.4103221,3,POINT (121.4103221 31.2084512)
4553246034,31.207875,121.4104329,3,POINT (121.4104329 31.207875)
4553246035,31.207695,121.4088902,3,POINT (121.4088902 31.207695)
4553246036,31.2064481,121.4094709,3,POINT (121.4094709 31.2064481)
4553246039,31.2039028,121.4091504,3,POINT (121.4091504 31.2039028)
4553246043,31.2057851,121.4095326,3,POINT (121.4095326 31.2057851)
4553246044,31.2058752,121.4102825,3,POINT (121.4102825 31.2058752)
4553246045,31.2054146,121.4095996,3,POINT (121.4095996 31.2054146)
4553246048,31.2050522,121.4096546,3,POINT (121.4096546 31.2050522)
4553246049,31.2050762,121.4085227,3,POINT (121.4085227 31.2050762)
4553246051,31.2055739,121.4110389,3,POINT (121.4110389 31.2055739)
4553246052,31.2054675,121.4103527,3,POINT (121.4103527 31.2054675)
4553246055,31.2053743,121.4122408,3,POINT (121.4122408 31.2053743)
4553246056,31.2052383,121.4110889,3,POINT (121.4110889 31.2052383)
5535959413,31.2039852,121.4098663,3,POINT (121.4098663 31.2039852)
8959211561,31.208366,121.4084651,1,POINT (121.4084651 31.208366)
8959211570,31.2043536,121.40909,1,POINT (121.40909 31.2043536)
8959211571,31.2062807,121.4080118,1,POINT (121.4080118 31.2062807)
8959211575,31.2050488,121.4083211,3,POINT (121.4083211 31.2050488)
8959211583,31.2062474,121.4125796,1,POINT (121.4125796 31.2062474)
8959211584,31.2047379,121.412023,1,POINT (121.412023 31.2047379)
8959211585,31.2053337,121.4118971,3,POINT (121.4118971 31.2053337)
8959211586,31.205098,121.4127164,1,POINT (121.4127164 31.205098)
8959211587,31.2054261,121.4126734,3,POINT (121.4126734 31.2054261)
8959211588,31.2080557,121.4117662,1,POINT (121.4117662 31.2080557)
8959211589,31.2076032,121.4118433,1,POINT (121.4118433 31.2076032)
8959211590,31.2078802,121.4117966,3,POINT (121.4117966 31.2078802)
8959211595,31.2048137,121.410468,4,POINT (121.410468 31.2048137)
8959211596,31.2081045,121.4093207,4,POINT (121.4093207 31.2081045)
