u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
4171203489,4553246035,0,459480085,service,False,False,39.362,"LINESTRING (121.4093014 31.2077352, 121.4088902 31.207695)",
4171203489,4553246018,0,459480085,service,False,True,6.735,"LINESTRING (121.4093014 31.2077352, 121.4093716 31.2077432)",
4171203489,4198271798,0,459480092,service,False,False,54.609,"LINESTRING (121.4093014 31.2077352, 121.4093546 31.2072462)",
4171203490,8959211595,0,419827353,service,False,True,71.714,"LINESTRING (121.409727 31.2046943, 121.410468 31.2048137)",
4171203490,5535959413,0,459480094,service,False,False,79.954,"LINESTRING (121.409727 31.2046943, 121.4098663 31.2039852)",
4171203490,4553246048,0,459480094,service,False,True,40.388,"LINESTRING (121.409727 31.2046943, 121.4096546 31.2050522)",
4198271794,4198271801,0,419827350,service,False,False,23.913,"LINESTRING (121.41047 31.207617, 121.4107194 31.2076443)",
4198271794,4198271805,0,419827350,service,False,True,72.685,"LINESTRING (121.41047 31.207617, 121.4105089 31.2073873, 121.4100208 31.2073286)",
4198271794,4553246034,0,459480089,service,False,True,28.905,"LINESTRING (121.41047 31.207617, 121.4104472 31.2077853, 121.4104329 31.207875)",
4198271795,4553246051,0,419827353,service,False,False,151.584,"LINESTRING (121.4108375 31.2069262, 121.4110389 31.2055739)",
4198271795,4198271801,0,419827353,service,False,True,80.635,"LINESTRING (121.4108375 31.2069262, 121.4107194 31.2076443)",
4198271795,4553246055,0,"[459480101, 459480102]",service,False,False,304.644,"LINESTRING (121.4108375 31.2069262, 121.4119215 31.2071411, 121.4120545 31.2064718, 121.4121066 31.2062097, 121.4122408 31.2053743)",
4198271796,4553246026,0,419827351,service,False,False,20.127,"LINESTRING (121.4098603 31.2083877, 121.409834 31.2085673)",
4198271796,4553246022,0,419827351,service,False,True,24.029,"LINESTRING (121.4098603 31.2083877, 121.4098928 31.2081734)",
4198271796,4553246032,0,419827352,service,False,True,44.483,"LINESTRING (121.4098603 31.2083877, 121.4103221 31.2084512)",
4198271797,4198271803,0,419827350,service,False,False,96.502,"LINESTRING (121.4108038 31.2076609, 121.4118091 31.2077787)",
4198271797,4198271801,0,419827350,service,False,True,8.236,"LINESTRING (121.4108038 31.2076609, 121.4107194 31.2076443)",
4198271797,4198271807,0,419827354,service,False,False,94.868,"LINESTRING (121.4108038 31.2076609, 121.4106458 31.2085033)",
4198271798,4198271805,0,419827350,service,False,False,64.018,"LINESTRING (121.4093546 31.2072462, 121.4100208 31.2073286)",
4198271798,4171203489,0,459480092,service,False,True,54.609,"LINESTRING (121.4093546 31.2072462, 121.4093014 31.2077352)",
4198271798,4553246036,0,459480093,service,False,False,89.431,"LINESTRING (121.4093546 31.2072462, 121.4094709 31.2064481)",yes
