element_type,osmid,access,amenity,bicycle_parking,capacity,fee,geometry,check_date,covered,name,note,nodes
node,415933176,yes,bicycle_parking,building,36,no,POINT (6.5647692 46.518727),,,,,
node,415933196,,bicycle_parking,,,,POINT (6.5651149 46.5199275),,,,,
node,415933224,,bicycle_parking,,,,POINT (6.5638097 46.5203468),2023-08-02,yes,Borne électrique,,
node,415933232,,bicycle_parking,tree,12,,POINT (6.5652382 46.5219532),,yes,,,
node,415933234,,bicycle_parking,,,,POINT (6.5664254 46.521039),,,,,
node,415933237,,bicycle_parking,,,,POINT (6.5662382 46.520484),,,Borne électrique,,
node,415933239,yes,bicycle_parking,ground_slots,2,,POINT (6.5682809 46.5206286),,yes,,Places vertes pour vélos électriques.,
node,415933242,,bicycle_parking,,,,POINT (6.5703264 46.5211379),,,Borne électrique,,
node,415933245,,bicycle_parking,,,,POINT (6.5709815 46.5205495),,,Borne électrique,,
node,415933246,,bicycle_parking,,,,POINT (6.5715685 46.5205554),,yes,Borne électrique,,
node,415933248,,bicycle_parking,handlebar_holder,8,,POINT (6.5717727 46.5184449),2023-08-02,no,Borne électrique,,
node,415933255,,bicycle_parking,shed,14,,POINT (6.5679575 46.5202522),,yes,,,
node,415933259,,bicycle_parking,handlebar_holder,30,,POINT (6.5697946 46.5199436),2023-03-15,yes,,,
node,415933265,,bicycle_parking,handlebar_holder,9,,POINT (6.5705688 46.519967),2023-03-15,yes,,,
node,415933270,,bicycle_parking,,,,POINT (6.5698116 46.521132),,,,,
node,415933276,,bicycle_parking,two-tier,34,,POINT (6.5701179 46.5199436),2023-03-15,yes,,,
node,415933278,,bicycle_parking,,,,POINT (6.5700626 46.5211262),,,,,
node,415933279,,bicycle_parking,,,,POINT (6.566804 46.5210472),,,,,
node,415933282,,bicycle_parking,,12,,POINT (6.5646955 46.5178509),,yes,,,
node,415933284,,bicycle_parking,,12,,POINT (6.5647004 46.5175278),,yes,,,
node,415933286,,bicycle_parking,,,,POINT (6.5654512 46.517836),,,Borne électrique,,
node,759469669,,bicycle_parking,wall_loops,36,,POINT (6.567667 46.5178541),,yes,,,
node,760204624,,bicycle_parking,wall_loops,72,,POINT (6.5684688 46.5187469),,yes,,,
node,1642345888,,bicycle_parking,shed,83,,POINT (6.5681677 46.5210123),,,,,
node,1973828620,,bicycle_parking,stands,30,,POINT (6.564296 46.5196113),,yes,Borne électrique,,
node,5361096702,,bicycle_parking,,14,,POINT (6.5677982 46.520249),,,,,
node,5361096703,yes,bicycle_parking,two-tier,84,,POINT (6.5682762 46.5208249),,yes,,,
node,5641702390,customers,bicycle_parking,building,24,no,POINT (6.5647765 46.5191329),,,,,
node,5641702391,yes,bicycle_parking,building,12,no,POINT (6.5641243 46.5187297),,,,,
node,5641702392,private,bicycle_parking,building,20,,POINT (6.5634928 46.5183502),,yes,,,
node,6370549105,,bicycle_parking,,,,POINT (6.5648497 46.5175655),,,,,
node,6400452788,,bicycle_parking,tree,12,,POINT (6.5632464 46.518331),,no,,,
node,6400452789,,bicycle_parking,tree,12,,POINT (6.5632663 46.5183487),,no,,,
node,6404902498,,bicycle_parking,tree,,,POINT (6.5685804 46.5204953),,yes,,,
node,6404902499,,bicycle_parking,tree,66,no,POINT (6.5681322 46.5204847),,yes,,,
node,6425260843,,bicycle_parking,rack,,no,POINT (6.568575 46.5205787),,yes,,,
node,6976464977,private,bicycle_parking,building,24,no,POINT (6.5628646 46.5183244),,yes,,,
node,6976464978,private,bicycle_parking,building,12,no,POINT (6.5628503 46.5187529),,yes,,,
node,7085743001,,bicycle_parking,handlebar_holder,18,no,POINT (6.5681641 46.5193439),,no,,,
node,7085743002,,bicycle_parking,,,no,POINT (6.5683386 46.5203345),,yes,,,
node,7085743003,,bicycle_parking,handlebar_holder,,no,POINT (6.5679131 46.5183868),,yes,,,
node,7085743006,,bicycle_parking,handlebar_holder,,no,POINT (6.5685321 46.5198576),,no,,,
node,9060359223,,bicycle_parking,,,,POINT (6.5671547 46.5199716),,,,,
node,9060387258,,bicycle_parking,,,,POINT (6.566771 46.5199739),,,,,
node,10197836232,unknown,bicycle_parking,,,,POINT (6.5629155 46.5169828),,yes,,,
way,30574166,,bicycle_parking,handlebar_holder,60,,"POLYGON ((6.5622227 46.5189279, 6.5622147 46.5189537, 6.5627284 46.5189503, 6.5627287 46.5189273, 6.5622227 46.5189279))",,yes,,,"[337861808, 337861816, 337861821, 337861811, 337861808]"
way,85711987,,bicycle_parking,,,,"POLYGON ((6.5630538 46.5175713, 6.5630229 46.5175711, 6.563021 46.5177126, 6.563052 46.5177127, 6.5630538 46.5175713))",,,,,"[994949921, 994949896, 994949907, 994949923, 994949921]"
way,241428903,,bicycle_parking,handlebar_holder,15,,"POLYGON ((6.562986 46.5186393, 6.5630008 46.5186294, 6.5630197 46.5186428, 6.5630049 46.5186527, 6.562986 46.5186393))",,yes,,,"[2490721473, 2490721475, 2490721477, 2490721479, 2490721473]"
way,975369657,,bicycle_parking,two-tier,60,,"POLYGON ((6.5644635 46.5212128, 6.5644262 46.5212125, 6.5644242 46.5213409, 6.5644616 46.5213412, 6.5644635 46.5212128))",,yes,,,"[9026075081, 9026075078, 9026075079, 9026075080, 9026075081]"
way,975369658,,bicycle_parking,two-tier,60,,"POLYGON ((6.5644613 46.5213535, 6.5644242 46.5213531, 6.5644217 46.5214837, 6.5644588 46.5214841, 6.5644613 46.5213535))",,yes,,,"[9026075085, 9026075082, 9026075083, 9026075084, 9026075085]"
