element_type,osmid,geometry,image,name,wikidata,wikimedia_commons,nodes,addr:city,addr:country,addr:housename,addr:postcode,building,building:levels,source,architect,building:colour,roof:levels,roof:shape,addr:street,layer,wheelchair,amenity,nohousenumber,name:fr,bridge,foot,lit,surface,building:min_level,noaddress,description,opening_hours,phone,service:bicycle:pump,shop,website,capacity,leisure,check_date,opening_date,shelter_type,ways,type,ref,alt_name,building:part
way,30088194,"POLYGON ((6.5616727 46.5182404, 6.5616658 46.5188218, 6.5621886 46.5188294, 6.5621926 46.5187566, 6.5621915 46.5186836, 6.5621945 46.5183673, 6.5621974 46.5182936, 6.5621964 46.5182432, 6.5616727 46.5182404))",File:EPFL BC Inside.jpg,BC,Q124097718,Category:EPFL BC,"[331400387, 331400388, 331400389, 654573198, 654573195, 654573193, 654573192, 331400390, 331400387]",Lausanne,CH,BC,1015,university,5,EPFL plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333343,"POLYGON ((6.562276 46.5184413, 6.5622778 46.5183682, 6.5621945 46.5183673, 6.5621974 46.5182936, 6.5622347 46.5182942, 6.562272 46.5182947, 6.5622725 46.518261, 6.5622779 46.51826, 6.5622775 46.5182454, 6.5628502 46.5182491, 6.5628495 46.5182617, 6.562857 46.5182618, 6.5628567 46.51829, 6.5629409 46.5183478, 6.5628912 46.5183812, 6.5628677 46.5183977, 6.5628557 46.5184057, 6.5628546 46.5184331, 6.5628471 46.5184331, 6.5628471 46.5184461, 6.562276 46.5184413))",,INR,Q124097663,Category:EPFL INR,"[334493555, 654573205, 654573193, 654573192, 1763068768, 654573204, 861310595, 861310610, 334493559, 861310633, 334493561, 861310692, 649302759, 649302757, 649302761, 649302753, 654573201, 654573202, 654573203, 334493557, 334493555]",Lausanne,CH,INR,1015,university,4,EPFL plan,Bernard Vouga,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333344,"POLYGON ((6.5622717 46.5188268, 6.5622719 46.5188136, 6.5622674 46.5188138, 6.5622674 46.5187776, 6.5622747 46.5187765, 6.5622748 46.518756, 6.5621926 46.5187566, 6.5621915 46.5186836, 6.5622645 46.5186836, 6.5622653 46.5186484, 6.5622703 46.5186481, 6.5622706 46.518634, 6.5628436 46.5186386, 6.5628432 46.5186506, 6.5628514 46.518651, 6.5628507 46.5186789, 6.5628632 46.5186864, 6.5628866 46.5187026, 6.5629316 46.5187346, 6.5628436 46.5187914, 6.5628435 46.5188206, 6.5628383 46.518821, 6.5628381 46.5188333, 6.5622717 46.5188268))",File:EPFL-nov-2005-01.jpg,INN,Q124097674,Category:EPFL INN,"[334493568, 654573207, 654573196, 654573208, 654573209, 654573210, 654573198, 654573195, 654573199, 861310581, 861310571, 334493565, 861310532, 654573213, 861310558, 654573212, 649302765, 649302773, 649302767, 649302764, 654573214, 334493567, 654573215, 334493568]",Lausanne,CH,INN,1015,university,4,EPFL plan,Bernard Vouga,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333345,"POLYGON ((6.5634934 46.5184497, 6.5634936 46.5184381, 6.5634875 46.518438, 6.563488 46.5184097, 6.5634754 46.5184008, 6.5634525 46.5183847, 6.5634051 46.5183516, 6.5634892 46.5182946, 6.5634896 46.5182677, 6.5634973 46.5182678, 6.5634975 46.5182556, 6.5640701 46.5182599, 6.56407 46.5182716, 6.5640763 46.5182716, 6.5640759 46.5183, 6.5641025 46.5183186, 6.5641586 46.5183577, 6.5641331 46.518375, 6.5641095 46.5183912, 6.5641085 46.5184543, 6.5634934 46.5184497))",File:INJ-L1001914.JPG,INJ,Q124097695,Category:EPFL INJ,"[334493579, 861310600, 861310586, 654573223, 649302783, 649302789, 649302781, 649302779, 860174579, 334493575, 860174581, 861310615, 334493580, 861310635, 649302816, 5685319673, 649302818, 3887300359, 649302815, 334493578, 334493579]",Lausanne,CH,INJ,1015,university,4,EPFL plan,Bernard Vouga,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333346,"POLYGON ((6.5641403 46.5186887, 6.56415 46.5186956, 6.5641498 46.5187974, 6.5641379 46.5188049, 6.5641154 46.5188194, 6.5641022 46.518828, 6.5640687 46.5188036, 6.5640683 46.5188299, 6.5640613 46.5188298, 6.5640611 46.5188422, 6.5634885 46.5188381, 6.5634887 46.5188263, 6.5634821 46.5188262, 6.5634825 46.5187984, 6.5633996 46.5187403, 6.5634483 46.5187074, 6.5634734 46.5186904, 6.5634835 46.5186834, 6.563484 46.5186558, 6.5634908 46.5186558, 6.563491 46.518643, 6.5641064 46.5186479, 6.5641061 46.5186644, 6.5641269 46.5186792, 6.5641403 46.5186887))",,INF,,,"[860174585, 861310701, 861310622, 861310677, 861310679, 649305552, 649302824, 861310580, 334493573, 861310569, 334493577, 861310585, 861310575, 649302804, 649302806, 649302809, 649302807, 649302802, 861310601, 861310619, 334493572, 649302821, 649305554, 3887300358, 860174585]",Lausanne,CH,INF,1015,university,4,EPFL plan,,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333347,"POLYGON ((6.564802 46.5188492, 6.5648029 46.5188032, 6.5648048 46.5186991, 6.5648058 46.5186219, 6.5653781 46.5186253, 6.5653753 46.5188533, 6.5652873 46.5188527, 6.5650471 46.5188515, 6.564802 46.5188492))",File:ELG-ELH-P1010064.JPG,ELH,Q124100331,Category:EPFL ELH,"[334493583, 649305560, 649305558, 334493582, 334493581, 334493586, 5641702382, 5641702381, 334493583]",Lausanne,CH,ELH,1015,university,2,EPFL plan,,#D9BD97,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333348,"POLYGON ((6.56415 46.5186956, 6.5641403 46.5186887, 6.5641408 46.5186615, 6.564147 46.5186615, 6.5641473 46.5186484, 6.5647214 46.5186532, 6.5647212 46.518666, 6.5647292 46.518666, 6.5647287 46.5186918, 6.5647447 46.5186806, 6.5647611 46.5186693, 6.5648048 46.5186991, 6.5648029 46.5188032, 6.5647601 46.5188313, 6.5647502 46.5188241, 6.5647369 46.518824, 6.5647365 46.5188472, 6.5645288 46.5188456, 6.5641463 46.5188433, 6.5641465 46.5188306, 6.5641376 46.5188305, 6.5641379 46.5188049, 6.5641498 46.5187974, 6.56415 46.5186956))",,ELG,Q124100314,Category:EPFL ELG,"[861310701, 860174585, 861310547, 861310562, 334493590, 334493592, 861310623, 861310607, 649302938, 4841714916, 861310593, 649305558, 649305560, 649305559, 861310495, 334493588, 861310565, 5641702383, 649308444, 861310589, 649308445, 861310677, 861310622, 861310701]",Lausanne,CH,ELG,1015,university,4,EPFL plan,,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333692,"POLYGON ((6.5647876 46.5192252, 6.5647877 46.5192134, 6.5647924 46.5192132, 6.5647943 46.5190852, 6.5647892 46.5190817, 6.5647894 46.5190548, 6.5647968 46.5190548, 6.5647969 46.5190431, 6.5650451 46.5190443, 6.5650471 46.5188515, 6.5652873 46.5188527, 6.5652853 46.519047, 6.5653702 46.5190474, 6.5653701 46.5190592, 6.5653784 46.5190593, 6.5653781 46.5190858, 6.5654093 46.5191075, 6.5654619 46.5191443, 6.5653767 46.5192021, 6.5653763 46.5192294, 6.5653683 46.5192294, 6.5653681 46.5192413, 6.5647939 46.5192378, 6.5647938 46.5192254, 6.5647876 46.5192252))",,ELE,,,"[334496954, 861310599, 861310563, 861310564, 649305563, 334496955, 861310611, 861310596, 5641702379, 5641702381, 5641702382, 5641702380, 861310572, 861310582, 334496950, 649302965, 4841714915, 649302967, 649302968, 861310559, 334496953, 861310533, 649302947, 649302950, 334496954]",Lausanne,CH,ELE,1015,university,3,EPFL plan,,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333693,"POLYGON ((6.5647877 46.5192134, 6.5647645 46.5192134, 6.5647532 46.5192213, 6.5647202 46.5191988, 6.5647199 46.5192241, 6.5647103 46.5192241, 6.5647102 46.5192357, 6.5641395 46.5192322, 6.5641396 46.5192194, 6.564133 46.5192193, 6.5641334 46.5191905, 6.5640995 46.5192141, 6.5640636 46.5191898, 6.5639815 46.5191336, 6.5641031 46.5190495, 6.564111 46.5190494, 6.5641334 46.5190494, 6.5641413 46.5190495, 6.5641415 46.519037, 6.5645255 46.5190401, 6.5645288 46.5188456, 6.5647365 46.5188472, 6.5647369 46.518824, 6.5647502 46.5188241, 6.5647601 46.5188313, 6.5647555 46.5190589, 6.5647892 46.5190817, 6.5647943 46.5190852, 6.5647924 46.5192132, 6.5647877 46.5192134))",File:EPFL ELD-P1010038.JPG,ELD,Q124094208,Category:EPFL ELD,"[861310599, 861310696, 649302946, 649302952, 334496948, 861310606, 861310592, 334496949, 861310579, 861310568, 649302891, 861310552, 5641702384, 649302889, 649305557, 5641702385, 649302886, 861310526, 334496952, 334496951, 5641702383, 861310565, 334493588, 861310495, 649305559, 649305562, 649305563, 861310564, 861310563, 861310599]",Lausanne,CH,ELD,1015,university,3,EPFL plan,,#D9BD97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30333694,"POLYGON ((6.5621173 46.5193731, 6.562119 46.5192796, 6.5621283 46.5192797, 6.5621283 46.5192763, 6.562015 46.5192754, 6.5620155 46.5192421, 6.5621293 46.5192431, 6.5621293 46.5192396, 6.5621202 46.5192395, 6.5621222 46.5191253, 6.5627419 46.5191304, 6.5627409 46.5191904, 6.562789 46.5191907, 6.5627885 46.519217, 6.5628245 46.5192173, 6.5628235 46.5193099, 6.5627859 46.5193096, 6.5627854 46.5193388, 6.5627389 46.5193385, 6.5627382 46.5193782, 6.5621173 46.5193731))",,MXH,Q124146030,Category:EPFL MXH,"[334496957, 861310578, 861310507, 861310602, 654573307, 654573310, 861310620, 861310551, 861310567, 334496956, 334496959, 649302832, 649302830, 649302851, 649302843, 649302849, 649302853, 649302847, 649302845, 334496961, 334496957]",Lausanne,CH,MXH,1015,university,1,EPFL plan,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
