u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
253154864,2942204089,0,30403019,footway,False,False,4.904,,,,,"LINESTRING (6.5633356 46.5180929, 6.563335 46.518137)",,,,,
253154864,415963496,0,51316823,unclassified,False,False,58.96,2,Route Jean-Daniel Colladon,30,,"LINESTRING (6.5633356 46.5180929, 6.5641061 46.5180992)",,,,,
253154864,654573217,0,51316823,unclassified,False,True,9.527,2,Route Jean-Daniel Colladon,30,,"LINESTRING (6.5633356 46.5180929, 6.5632111 46.5180919)",,,,,
253204612,415915274,0,30403003,service,False,False,9.037,,Rue Jean Tschumi,,driveway,"LINESTRING (6.5641517 46.521963, 6.5642042 46.5218902)",,,,,
253204612,253204614,0,23385359,unclassified,False,False,55.216,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5641517 46.521963, 6.564064 46.5219151, 6.5639758 46.521895, 6.5639094 46.5218847, 6.5638166 46.5218764, 6.5636278 46.5218786, 6.5635499 46.5218743, 6.5634623 46.5218674)",,,,,
253204612,415915273,0,23385359,unclassified,False,True,11.241,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5641517 46.521963, 6.564195 46.5219975, 6.5642372 46.5220448)",,,,,
253204614,335535675,0,23385359,unclassified,False,False,81.42099999999999,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5634623 46.5218674, 6.5633931 46.5218533, 6.5633258 46.5218303, 6.5632374 46.5217935, 6.5631562 46.5217414, 6.5630927 46.5216753, 6.5630317 46.5215915, 6.5630125 46.5215581, 6.5628652 46.521303)",,,,,
253204614,253204612,0,23385359,unclassified,False,True,55.216,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5634623 46.5218674, 6.5635499 46.5218743, 6.5636278 46.5218786, 6.5638166 46.5218764, 6.5639094 46.5218847, 6.5639758 46.521895, 6.564064 46.5219151, 6.5641517 46.521963)",,,,,
253301629,654573172,0,825869007,unclassified,False,True,10.169,2,Rue Jean-Daniel-Colladon,30,,"LINESTRING (6.5614913 46.5181414, 6.5613623 46.5181634)",,,,,
253301629,335535677,0,23385359,unclassified,False,True,104.452,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5614913 46.5181414, 6.5615322 46.5182048, 6.5615358 46.5182855, 6.5615276 46.5183638, 6.5615111 46.5184366, 6.5614627 46.5186477, 6.5614594 46.5187133, 6.5614621 46.5187753, 6.5614805 46.5188577, 6.561582 46.5190582)",,,,,
253301629,861358410,0,72570517,service,False,False,15.449,,Chemin Erna Hamburger,30,driveway,"LINESTRING (6.5614913 46.5181414, 6.5614183 46.5180783, 6.5613868 46.5180242)",,,,,
