osmid,y,x,street_count,highway,geometry
253154864,46.5180929,6.5633356,3,,POINT (6.5633356 46.5180929)
253204612,46.521963,6.5641517,3,,POINT (6.5641517 46.521963)
253204614,46.5218674,6.5634623,3,,POINT (6.5634623 46.5218674)
253301629,46.5181414,6.5614913,4,,POINT (6.5614913 46.5181414)
264892080,46.519196,6.5675561,3,crossing,POINT (6.5675561 46.519196)
265744953,46.5217696,6.5650067,1,,POINT (6.5650067 46.5217696)
265746811,46.5192144,6.5694633,4,,POINT (6.5694633 46.5192144)
265746812,46.5198829,6.5694398,3,,POINT (6.5694398 46.5198829)
265746818,46.5198953,6.5711668,3,,POINT (6.5711668 46.5198953)
265746819,46.5210717,6.5711612,3,,POINT (6.5711612 46.5210717)
265746828,46.5210999,6.5658502,3,,POINT (6.5658502 46.5210999)
265746833,46.5211021,6.5671395,4,,POINT (6.5671395 46.5211021)
266880742,46.5206119,6.5711643,4,,POINT (6.5711643 46.5206119)
267022644,46.5192219,6.5709753,4,crossing,POINT (6.5709753 46.5192219)
267496123,46.5218364,6.5650073,3,,POINT (6.5650073 46.5218364)
267496124,46.5219779,6.5649607,3,,POINT (6.5649607 46.5219779)
312048903,46.5180899,6.562971,4,,POINT (6.562971 46.5180899)
312048905,46.5176706,6.5629752,3,,POINT (6.5629752 46.5176706)
312048942,46.517948,6.5629729,4,,POINT (6.5629729 46.517948)
332090230,46.5201865,6.5684109,3,bus_stop,POINT (6.5684109 46.5201865)
334496980,46.5190605,6.5627765,3,,POINT (6.5627765 46.5190605)
335535633,46.5210501,6.5645532,1,,POINT (6.5645532 46.5210501)
335535638,46.5216698,6.5645836,3,,POINT (6.5645836 46.5216698)
335535672,46.5213034,6.5631822,3,,POINT (6.5631822 46.5213034)
335535675,46.521303,6.5628652,3,,POINT (6.5628652 46.521303)
335535677,46.5190582,6.561582,3,,POINT (6.561582 46.5190582)
335535681,46.5186462,6.562944,3,,POINT (6.562944 46.5186462)
335543375,46.5214625,6.5643795,3,,POINT (6.5643795 46.5214625)
335543380,46.5214516,6.5632479,3,,POINT (6.5632479 46.5214516)
343328977,46.5219498,6.5653832,3,,POINT (6.5653832 46.5219498)
343329038,46.5219672,6.5658481,4,crossing,POINT (6.5658481 46.5219672)
343329550,46.5200535,6.5660769,3,,POINT (6.5660769 46.5200535)
343329551,46.5200502,6.565751,3,,POINT (6.565751 46.5200502)
343329554,46.5198767,6.5663437,3,,POINT (6.5663437 46.5198767)
343331346,46.5192908,6.5655882,3,,POINT (6.5655882 46.5192908)
343331436,46.5186006,6.5647605,3,,POINT (6.5647605 46.5186006)
343331438,46.5188036,6.5656012,3,,POINT (6.5656012 46.5188036)
369567405,46.5185098,6.5655056,3,,POINT (6.5655056 46.5185098)
369567433,46.5182133,6.5633338,3,,POINT (6.5633338 46.5182133)
369567491,46.5185104,6.56561,3,,POINT (6.56561 46.5185104)
415911771,46.5189663,6.5718095,3,,POINT (6.5718095 46.5189663)
415915271,46.5218452,6.5683553,4,crossing,POINT (6.5683553 46.5218452)
415915273,46.5220448,6.5642372,4,crossing,POINT (6.5642372 46.5220448)
415915274,46.5218902,6.5642042,3,crossing,POINT (6.5642042 46.5218902)
415933171,46.5182527,6.5632303,3,,POINT (6.5632303 46.5182527)
415933191,46.5188037,6.565419,3,,POINT (6.565419 46.5188037)
415957548,46.5199397,6.5674746,3,,POINT (6.5674746 46.5199397)
415957759,46.5192206,6.5707251,3,,POINT (6.5707251 46.5192206)
415957760,46.5197601,6.5707129,1,,POINT (6.5707129 46.5197601)
415957761,46.5202879,6.5711607,3,,POINT (6.5711607 46.5202879)
415957762,46.5202866,6.5706811,1,,POINT (6.5706811 46.5202866)
415957769,46.5207756,6.5708794,3,,POINT (6.5708794 46.5207756)
415957771,46.5209389,6.5703982,3,,POINT (6.5703982 46.5209389)
415957772,46.5207603,6.5711624,3,,POINT (6.5711624 46.5207603)
415957773,46.5210714,6.5713182,3,,POINT (6.5713182 46.5210714)
415957775,46.5215158,6.5710828,3,,POINT (6.5710828 46.5215158)
415957776,46.5210718,6.5710921,3,,POINT (6.5710921 46.5210718)
415957777,46.5215143,6.5708834,3,,POINT (6.5708834 46.5215143)
415957778,46.5210722,6.5708905,3,,POINT (6.5708905 46.5210722)
415957782,46.5199002,6.5717538,4,crossing,POINT (6.5717538 46.5199002)
415957798,46.5191651,6.571502,3,,POINT (6.571502 46.5191651)
