element_type,osmid,access,amenity,fee,name,parking,geometry,noexit,nodes,capacity,capacity:disabled,source,layer,parking:orientation,surface,ways,type
node,660391336,yes,parking,yes,PSE,surface,POINT (6.5619634 46.5179761),,,,,,,,,,
node,660391337,yes,parking,yes,PSE,surface,POINT (6.5625487 46.5179839),,,,,,,,,,
node,1768232143,private,parking,,,underground,POINT (6.5622593 46.51773),yes,,,,,,,,,
node,1978502964,private,parking,,,underground,POINT (6.5641069 46.5199642),,,,,,,,,,
way,28407421,private,parking,yes,Colladon,surface,"POLYGON ((6.5630172 46.5180243, 6.5630116 46.5180155, 6.5630114 46.5178786, 6.5630171 46.5177301, 6.5630183 46.5175254, 6.5630239 46.5171642, 6.5630251 46.5171149, 6.5630307 46.5171149, 6.5639307 46.5171194, 6.5639368 46.5171269, 6.563958 46.5171881, 6.5640365 46.5174351, 6.5640411 46.5176832, 6.5640405 46.5177256, 6.5640412 46.5177299, 6.5640764 46.5177319, 6.5640707 46.5179848, 6.5639984 46.5179837, 6.5639967 46.5180293, 6.5630172 46.5180243))",,"[312048898, 9820778369, 9823433448, 994949899, 9825500212, 2117767891, 312048899, 9828677183, 2942204082, 9828677193, 9820778400, 2942204086, 9828677191, 9828677192, 9820778402, 9820778407, 9828595540, 312048897, 9828595542, 312048898]",,,,,,,,
way,28407425,private,parking,yes,Forel,surface,"POLYGON ((6.5714289 46.5215537, 6.5710479 46.5215519, 6.5708542 46.5215509, 6.5708585 46.5211281, 6.5710515 46.521129, 6.5711333 46.5211448, 6.5713584 46.5211459, 6.5714331 46.5211463, 6.5714289 46.5215537))",,"[312048947, 9379367986, 312048950, 312048952, 9379367976, 9379367975, 9379367987, 312048948, 312048947]",,,,,,,,
way,28407426,private,parking,yes,Mercier,surface,"POLYGON ((6.5704968 46.5207492, 6.5704939 46.5209946, 6.5709692 46.5209973, 6.5709721 46.5207518, 6.5704968 46.5207492))",,"[312048953, 312048955, 312048957, 312048954, 312048953]",,,,,,,,
way,30402999,private,parking,yes,Rivier,surface,"POLYGON ((6.5630621 46.5213682, 6.5630778 46.5213916, 6.5630936 46.521415, 6.5631093 46.5214384, 6.5631251 46.5214618, 6.5631408 46.5214852, 6.5631565 46.5215085, 6.563167 46.5215241, 6.5631723 46.5215319, 6.563188 46.5215553, 6.5632038 46.5215787, 6.5632195 46.5216021, 6.5633033 46.5216126, 6.5633077 46.5216155, 6.5633172 46.521633, 6.5633173 46.5216776, 6.563363 46.5216776, 6.5633953 46.5216776, 6.5634276 46.5216775, 6.5634599 46.5216775, 6.5634922 46.5216775, 6.5635246 46.5216775, 6.5635569 46.5216775, 6.5635892 46.5216775, 6.5636215 46.5216775, 6.5636538 46.5216775, 6.5636861 46.5216775, 6.5637185 46.5216775, 6.5637508 46.5216775, 6.5637831 46.5216775, 6.5638154 46.5216775, 6.5638477 46.5216775, 6.56388 46.5216775, 6.5639124 46.5216775, 6.5639447 46.5216775, 6.563977 46.5216775, 6.5640093 46.5216775, 6.5640416 46.5216775, 6.5640739 46.5216775, 6.5641063 46.5216775, 6.5641386 46.5216775, 6.5641709 46.5216775, 6.5642032 46.5216775, 6.5642355 46.5216775, 6.5642678 46.5216775, 6.5643002 46.5216775, 6.5643325 46.5216775, 6.5643325 46.5216597, 6.5643324 46.521633, 6.5644031 46.5216358, 6.5644158 46.5212782, 6.5644165 46.5212319, 6.5639002 46.5212288, 6.5631508 46.5212222, 6.56315 46.5212689, 6.563146 46.5213775, 6.5630621 46.5213682))",,"[415933229, 9053757729, 9053757727, 9053757725, 9053757723, 9053757721, 9053757719, 9053731121, 9053757717, 9053757715, 9053757713, 654573358, 654573399, 9053731145, 654573398, 335535620, 9026075090, 9053757787, 9053757785, 9053757783, 9053757781, 9053757779, 9053757777, 9053757775, 9053757773, 9053757771, 9053757769, 9053757767, 9053757765, 9053757763, 9053757761, 9053757759, 9053757757, 9053757755, 9053757753, 9053757751, 9053757749, 9053757747, 9053757745, 9053757743, 9053757741, 9053757739, 9053757737, 9053757735, 9053757733, 9053757731, 1844132908, 9053731138, 1844132906, 1844132907, 9053757705, 335535626, 9053757700, 415933230, 9053757701, 654573359, 415933229]",209,2,plan.epfl.ch,,,,,
way,30574168,private,parking,yes,,surface,"POLYGON ((6.5620817 46.5191214, 6.5627434 46.519128, 6.5627453 46.5189695, 6.5620834 46.5189623, 6.5620817 46.5191214))",,"[337861824, 337861830, 337861833, 337861827, 337861824]",,,EPFL plan,,,,,
way,35465929,private,parking,yes,,surface,"POLYGON ((6.5654545 46.5185798, 6.5654547 46.518529, 6.5653571 46.5185289, 6.5653573 46.5184676, 6.5651443 46.5184673, 6.5651441 46.5185272, 6.5647969 46.5185266, 6.5647968 46.5185787, 6.5654545 46.5185798))",,"[415933180, 415933182, 5641702372, 5641702374, 5641702373, 5641702371, 415933185, 415933181, 415933180]",,,,,,,,
