element_type,osmid,amenity,diet:vegan,diet:vegetarian,name,opening_hours,wheelchair,geometry,website,cuisine,check_date:opening_hours,email,mobile,opening_hours:kitchen,outdoor_seating,reservation,smoking,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,capacity,takeaway
node,330358519,restaurant,no,yes,L'esplanade,Mo-Fr 07:00-20:00,yes,POINT (6.5654592 46.5201327),,,,,,,,,,,,,,,,
node,334500409,restaurant,,yes,Piano,Mo-Fr 11:30-13:30,yes,POINT (6.5643819 46.520841),https://www.epfl.ch/campus/restaurants-shops-hotels/fr/restauration/self-service/le-corbusier/,,,,,,,,,,,,,,,
node,334500410,restaurant,,yes,Le Parmentier,Mo-Fr 11:00-14:00; Mo-Th 18:00-20:00,,POINT (6.5672157 46.5203721),,,,,,,,,,,,,,,,
node,334500411,restaurant,,yes,Le Vinci,Mo-Fr 11:30-14:00,,POINT (6.5675081 46.520374),,,,,,,,,,,,,,,,
node,334500412,restaurant,,,Le Copernic,Mo-Fr 12:00-14:00,,POINT (6.5688234 46.520333),,,,,,,,,,,,,,,,
node,1973868411,restaurant,,no,L'Atlantide,Mo-Fr 07:00-16:30,,POINT (6.567002 46.5204437),,vietnamese,,,,,,,,,,,,,,
node,1978496514,restaurant,,yes,L'Ornithorynque,Mo-Fr 11:30-14:00,,POINT (6.5636699 46.5200508),https://restauration.epfl.ch/op/edit/Ornithorynque,,,,,,,,,,,,,,,
node,1978496521,restaurant,,yes,La Table de Vallotton,"Mo-Fr 11:45-14:00,18:30-22:00",yes,POINT (6.5688787 46.517884),,,2023-05-18,,,,,,,,,,,,,
node,1978513795,restaurant,,,Puur Innovation,Mo-Fr 8:00-16:00,yes,POINT (6.5621224 46.5163226),https://www.epfl.ch/campus/restaurants-shops-hotels/self-service-2/puur/,regional,2024-02-21,puur.epfl@eurest.ch,+41 79 812 49 13,Mo-Fr 11:30-14:00,yes,yes,outside,,,,,,,
node,4604892664,restaurant,,,Sushizen,Mo-Fr 09:00-19:30,,POINT (6.5667973 46.5195259),,sushi,,,,,no,,no,Ecublens,CH,9-10,1015,Chemin des Machines,50,yes
