osmid,y,x,street_count,geometry
1130831352,31.2287027,121.4029514,3,POINT (121.4029514 31.2287027)
1130831356,31.2287415,121.3999484,3,POINT (121.3999484 31.2287415)
1130831357,31.2291521,121.402532,3,POINT (121.402532 31.2291521)
1130831360,31.2288245,121.4010028,3,POINT (121.4010028 31.2288245)
1130831365,31.2284213,121.4000516,3,POINT (121.4000516 31.2284213)
1130831368,31.2293735,121.4034133,3,POINT (121.4034133 31.2293735)
1130831371,31.2290545,121.4021124,3,POINT (121.4021124 31.2290545)
1130831376,31.2302275,121.4027375,3,POINT (121.4027375 31.2302275)
1130831380,31.2273854,121.4031658,3,POINT (121.4031658 31.2273854)
1130831381,31.2292379,121.4028719,3,POINT (121.4028719 31.2292379)
1130831384,31.2323252,121.4017583,4,POINT (121.4017583 31.2323252)
1130831385,31.2289339,121.4007881,3,POINT (121.4007881 31.2289339)
1130836040,31.2328252,121.3985177,1,POINT (121.3985177 31.2328252)
1130836054,31.2275726,121.4001711,3,POINT (121.4001711 31.2275726)
1130836065,31.2279888,121.4056926,3,POINT (121.4056926 31.2279888)
1130836110,31.2279737,121.4049966,3,POINT (121.4049966 31.2279737)
1130836133,31.2283419,121.3999321,3,POINT (121.3999321 31.2283419)
1130836138,31.2287698,121.3997991,3,POINT (121.3997991 31.2287698)
1130836719,31.2331719,121.4013338,3,POINT (121.4013338 31.2331719)
1288541774,31.23065,121.4035795,3,POINT (121.4035795 31.23065)
1288541837,31.2310238,121.4034156,3,POINT (121.4034156 31.2310238)
1288541868,31.2295289,121.4040335,4,POINT (121.4040335 31.2295289)
1288541877,31.2318841,121.3988258,3,POINT (121.3988258 31.2318841)
1288541891,31.2305823,121.404526,1,POINT (121.404526 31.2305823)
1288546433,31.2290056,121.4041889,3,POINT (121.4041889 31.2290056)
1288546442,31.2282997,121.4029733,3,POINT (121.4029733 31.2282997)
1288546443,31.2282376,121.4037671,4,POINT (121.4037671 31.2282376)
1288546454,31.2278989,121.4030033,3,POINT (121.4030033 31.2278989)
1288652662,31.2260393,121.3989075,3,POINT (121.3989075 31.2260393)
1288652663,31.2246056,121.3988649,3,POINT (121.3988649 31.2246056)
1288652668,31.2329391,121.4004349,1,POINT (121.4004349 31.2329391)
1288652670,31.2298316,121.4030508,3,POINT (121.4030508 31.2298316)
1288652677,31.2325569,121.4016228,3,POINT (121.4016228 31.2325569)
1288652679,31.2315484,121.3989372,4,POINT (121.3989372 31.2315484)
1288652680,31.2317603,121.3997998,3,POINT (121.3997998 31.2317603)
1288652681,31.2316869,121.3998273,3,POINT (121.3998273 31.2316869)
1288652692,31.2294778,121.3995791,3,POINT (121.3995791 31.2294778)
1288652694,31.2297743,121.4008855,3,POINT (121.4008855 31.2297743)
1288652697,31.2237951,121.3981832,1,POINT (121.3981832 31.2237951)
1288652698,31.228858,121.4011862,4,POINT (121.4011862 31.228858)
1288652700,31.2300721,121.4038116,3,POINT (121.4038116 31.2300721)
1288652706,31.2277949,121.4011535,3,POINT (121.4011535 31.2277949)
1288652707,31.2271436,121.4013491,3,POINT (121.4013491 31.2271436)
1288652709,31.2262128,121.4014315,3,POINT (121.4014315 31.2262128)
1288652713,31.2251928,121.4015131,3,POINT (121.4015131 31.2251928)
1288652716,31.2262278,121.3998337,3,POINT (121.3998337 31.2262278)
1288664478,31.2275345,121.4035377,3,POINT (121.4035377 31.2275345)
1288664479,31.2259744,121.4035804,1,POINT (121.4035804 31.2259744)
1288664481,31.2275313,121.4057859,3,POINT (121.4057859 31.2275313)
1288664482,31.2262112,121.4007586,4,POINT (121.4007586 31.2262112)
1288664483,31.2276549,121.4040077,3,POINT (121.4040077 31.2276549)
1288664485,31.2278249,121.4030094,3,POINT (121.4030094 31.2278249)
1288664487,31.2317129,121.3981051,3,POINT (121.3981051 31.2317129)
1288664488,31.2272145,121.4025059,3,POINT (121.4025059 31.2272145)
1288664497,31.2257523,121.4028954,1,POINT (121.4028954 31.2257523)
1288664499,31.232633,121.3978367,1,POINT (121.3978367 31.232633)
1288664500,31.2310855,121.4017917,3,POINT (121.4017917 31.2310855)
1288664503,31.2328408,121.4012014,3,POINT (121.4012014 31.2328408)
1288664507,31.2305907,121.4021526,3,POINT (121.4021526 31.2305907)
1288664511,31.2272877,121.4028001,3,POINT (121.4028001 31.2272877)
1288664512,31.2260691,121.4040689,1,POINT (121.4040689 31.2260691)
1288664513,31.2258853,121.4033003,1,POINT (121.4033003 31.2258853)
1288664515,31.2273627,121.4030846,3,POINT (121.4030846 31.2273627)
1288664520,31.2262518,121.4045052,1,POINT (121.4045052 31.2262518)
1288689054,31.225909,121.4028472,3,POINT (121.4028472 31.225909)
1297097619,31.2304497,121.401285,3,POINT (121.401285 31.2304497)
1297097666,31.2262117,121.4002115,3,POINT (121.4002115 31.2262117)
1297097730,31.2269046,121.4002184,3,POINT (121.4002184 31.2269046)
1297097747,31.2305038,121.403637,3,POINT (121.403637 31.2305038)
1297097771,31.2271391,121.3996146,3,POINT (121.3996146 31.2271391)
1297097799,31.2318321,121.401267,3,POINT (121.401267 31.2318321)
1297097803,31.2315954,121.4005421,3,POINT (121.4005421 31.2315954)
1297097868,31.2308617,121.4009455,3,POINT (121.4009455 31.2308617)
1297097898,31.2266785,121.4002189,3,POINT (121.4002189 31.2266785)
1297097902,31.2307392,121.4025006,4,POINT (121.4025006 31.2307392)
1297097945,31.2310093,121.4008595,3,POINT (121.4008595 31.2310093)
1317204199,31.2320616,121.4011619,3,POINT (121.4011619 31.2320616)
1317204252,31.2333735,121.4020087,1,POINT (121.4020087 31.2333735)
1317204260,31.233109,121.4009003,3,POINT (121.4009003 31.233109)
1317204275,31.2335043,121.400972,1,POINT (121.400972 31.2335043)
1317204277,31.2314446,121.4041307,1,POINT (121.4041307 31.2314446)
1317204315,31.2291656,121.399677,4,POINT (121.399677 31.2291656)
1317204334,31.2332436,121.4019868,3,POINT (121.4019868 31.2332436)
1317204352,31.2299407,121.4014788,3,POINT (121.4014788 31.2299407)
1317204373,31.230026,121.3994105,3,POINT (121.3994105 31.230026)
1317204408,31.2277,121.3989954,3,POINT (121.3989954 31.2277)
1317204423,31.2279401,121.4000569,3,POINT (121.4000569 31.2279401)
1317204425,31.2316555,121.3978619,3,POINT (121.3978619 31.2316555)
1317204464,31.2293337,121.4019859,3,POINT (121.4019859 31.2293337)
1317204480,31.2312528,121.3990333,3,POINT (121.3990333 31.2312528)
1317204483,31.2290213,121.4019704,3,POINT (121.4019704 31.2290213)
1317204486,31.2246092,121.398565,1,POINT (121.398565 31.2246092)
1317204544,31.2292058,121.4027422,3,POINT (121.4027422 31.2292058)
1317204551,31.2318779,121.4019781,3,POINT (121.4019781 31.2318779)
1317204563,31.228928,121.3986152,3,POINT (121.3986152 31.228928)
1317204570,31.2317059,121.4014557,4,POINT (121.4014557 31.2317059)
1317204585,31.231,121.3979541,3,POINT (121.3979541 31.231)
1317204604,31.2294696,121.4025063,3,POINT (121.4025063 31.2294696)
1317204652,31.2253601,121.4007553,3,POINT (121.4007553 31.2253601)
1317204727,31.2259809,121.4007587,3,POINT (121.4007587 31.2259809)
1317204749,31.2306034,121.3992379,3,POINT (121.3992379 31.2306034)
1317216508,31.2274405,121.4052192,3,POINT (121.4052192 31.2274405)
1317216513,31.2267488,121.404337,3,POINT (121.404337 31.2267488)
1317216562,31.2269762,121.4053819,3,POINT (121.4053819 31.2269762)
1317248020,31.2326152,121.4018648,3,POINT (121.4018648 31.2326152)
3786062547,31.2318456,121.4003654,3,POINT (121.4003654 31.2318456)
3787350668,31.230676,121.4020642,3,POINT (121.4020642 31.230676)
3787665965,31.2299849,121.3992214,3,POINT (121.3992214 31.2299849)
3787792962,31.22936,121.4033611,3,POINT (121.4033611 31.22936)
