element_type,osmid,nodes,access,amenity,capacity,geometry,parking,surface
way,113655491,"[1288541891, 1288541810, 3793898276, 1288541811, 1288541822, 1288541891]",permissive,parking,100,"POLYGON ((121.404526 31.2305823, 121.4047349 31.2300368, 121.4051444 31.2301515, 121.4049254 31.2307233, 121.4045159 31.2306086, 121.404526 31.2305823))",,
way,114518360,"[1297097864, 1297097601, 1297097866, 3824265600, 3824265597, 1297097655, 3824265580, 1297097864]",,parking,65,"POLYGON ((121.400196 31.2268113, 121.4000801 31.2272246, 121.3996761 31.2271376, 121.3997211 31.2269677, 121.3997315 31.2269282, 121.3997818 31.2267334, 121.399788 31.2266397, 121.400196 31.2268113))",surface,asphalt
way,375498855,"[3788622814, 3788622816, 3788622817, 3788622821, 3788622824, 3788622822, 3790337599, 3790337608, 3788622814]",,parking,40,"POLYGON ((121.4025186 31.2277267, 121.4026915 31.227769, 121.4026775 31.2278109, 121.402534 31.228237, 121.4025141 31.2282978, 121.4022821 31.2282412, 121.4024248 31.2278327, 121.4024899 31.2278111, 121.4025186 31.2277267))",surface,
way,375930130,"[3792691692, 3792660847, 3792691681, 3792691696, 3792691692]",,parking,8,"POLYGON ((121.4019741 31.2305817, 121.4017816 31.230529, 121.4017687 31.2305637, 121.4019614 31.2306159, 121.4019741 31.2305817))",surface,concrete
way,375930134,"[3792660843, 3792660784, 3792660812, 3792691667, 3792660843]",,parking,8,"POLYGON ((121.4016924 31.230504, 121.4013303 31.2304033, 121.401317 31.230438, 121.4016798 31.2305382, 121.4016924 31.230504))",surface,concrete
way,376371792,"[1288541849, 3798076047, 3792330713, 3792330730, 3792330729, 3792330722, 3792330720, 3792330715, 3794671266, 1288541854, 1288541824, 1288541849]",,parking,,"POLYGON ((121.4054787 31.2291768, 121.4053808 31.2294846, 121.4053541 31.2294779, 121.4052983 31.2296398, 121.4052811 31.2296356, 121.4051922 31.2296133, 121.4051994 31.2295926, 121.405082 31.2295631, 121.4050883 31.2295435, 121.4051182 31.2295505, 121.4052543 31.2291244, 121.4054787 31.2291768))",surface,
way,377185185,"[3805651401, 3805651409, 3805651413, 3805651408, 3805651401]",,parking,8,"POLYGON ((121.4019083 31.2299023, 121.4021015 31.2299543, 121.4020852 31.2299973, 121.4018926 31.2299457, 121.4019083 31.2299023))",surface,sett
way,377317554,"[3803413383, 3803413381, 3806928012, 3806928014, 3803413383]",,parking,8,"POLYGON ((121.4022582 31.2289162, 121.4023183 31.2287364, 121.402225 31.2287136, 121.4021661 31.2288937, 121.4022582 31.2289162))",surface,sett
way,377443735,"[3807157867, 3808132689, 3806677542, 3808132686, 3807157343, 3807157342, 3787721581, 3787721580, 3807157867]",,parking,12,"POLYGON ((121.4014138 31.2297278, 121.4013785 31.2297191, 121.4014208 31.2295995, 121.4014545 31.2296044, 121.4014897 31.2296087, 121.4015707 31.229613, 121.4015295 31.2297584, 121.4014358 31.2297338, 121.4014138 31.2297278))",surface,paved
way,378015000,"[3814284680, 3814284683, 3814284684, 3788661751, 3814284680]",,parking,5,"POLYGON ((121.400403 31.2288866, 121.4003629 31.2290091, 121.4004166 31.229022, 121.4004573 31.2288992, 121.400403 31.2288866))",surface,asphalt
way,378015001,"[3788661747, 3814284681, 3814284682, 3814284679, 3788661747]",,parking,5,"POLYGON ((121.4002577 31.2288493, 121.4002176 31.2289718, 121.4002713 31.2289846, 121.4003114 31.2288622, 121.4002577 31.2288493))",surface,asphalt
way,380840209,"[3833844718, 3841476359, 3841476361, 3833844717, 3841476358, 3833844719, 3833844718]",customers,parking,7,"POLYGON ((121.4013889 31.2322406, 121.4013594 31.2322991, 121.4011546 31.2323266, 121.4011346 31.2322229, 121.4011502 31.2322348, 121.40123 31.2322608, 121.4013889 31.2322406))",surface,asphalt
way,389371671,"[3871267563, 3925409222, 3925409220, 3925409217, 3925409216, 3871267563]",,parking,40,"POLYGON ((121.3988464 31.2259353, 121.3982673 31.225815, 121.3982763 31.2257489, 121.3982708 31.2256062, 121.3988421 31.2255907, 121.3988464 31.2259353))",surface,
way,389373566,"[3925427731, 3925427732, 3925427735, 3925427736, 3925427725, 3925427724, 3925427729, 3925427731]",,parking,,"POLYGON ((121.3988518 31.2251619, 121.3987169 31.2251646, 121.398717 31.2252078, 121.3983521 31.2252119, 121.3983614 31.2248661, 121.3988406 31.2248566, 121.3988506 31.2251306, 121.3988518 31.2251619))",surface,paved
way,389540312,"[3927075294, 3927075304, 3927075306, 3927075296, 3927075294]",no,parking,,"POLYGON ((121.4013803 31.2256011, 121.4013794 31.225892, 121.4010181 31.2258942, 121.4010168 31.2256039, 121.4013803 31.2256011))",surface,
